

<<START>>,<<FMS_AGMT_MST>>,, 	(03-MAR-2025 13:08:18)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,TIMESTAMP
2,2,F,0,7,45,3, 	(03-MAR-2025 13:08:20)
2,2,F,0,7,45,4, 	(03-MAR-2025 13:08:20)
2,3,F,2,1,45,1, 	(03-MAR-2025 13:08:20)
2,3,F,2,1,45,2, 	(03-MAR-2025 13:08:20)
2,3,F,2,1,45,3, 	(03-MAR-2025 13:08:20)
2,3,F,2,1,45,4, 	(03-MAR-2025 13:08:20)
2,3,F,0,1,45,1, 	(03-MAR-2025 13:08:20)
2,3,F,0,1,45,2, 	(03-MAR-2025 13:08:20)
2,3,F,0,1,45,3, 	(03-MAR-2025 13:08:20)
2,3,F,0,1,45,4, 	(03-MAR-2025 13:08:20)
2,3,F,1,1,45,1, 	(03-MAR-2025 13:08:20)
2,3,F,1,1,45,2, 	(03-MAR-2025 13:08:20)
2,3,F,1,1,45,3, 	(03-MAR-2025 13:08:20)
2,3,F,1,1,45,4, 	(03-MAR-2025 13:08:20)
2,3,F,0,2,45,1, 	(03-MAR-2025 13:08:20)
2,3,F,0,2,45,2, 	(03-MAR-2025 13:08:20)
2,3,F,0,2,45,3, 	(03-MAR-2025 13:08:20)
2,3,F,0,2,45,4, 	(03-MAR-2025 13:08:20)
2,3,F,0,3,45,1, 	(03-MAR-2025 13:08:20)
2,3,F,0,3,45,2, 	(03-MAR-2025 13:08:20)
2,3,F,0,3,45,3, 	(03-MAR-2025 13:08:20)
2,3,F,0,3,45,4, 	(03-MAR-2025 13:08:20)
2,3,F,3,1,45,1, 	(03-MAR-2025 13:08:20)
2,3,F,3,1,45,2, 	(03-MAR-2025 13:08:20)
2,3,F,3,1,45,3, 	(03-MAR-2025 13:08:20)
2,3,F,3,1,45,4, 	(03-MAR-2025 13:08:20)
2,0,F,0,1,45,1, 	(03-MAR-2025 13:08:20)
2,0,F,0,1,45,2, 	(03-MAR-2025 13:08:20)
2,0,F,0,1,45,3, 	(03-MAR-2025 13:08:20)
2,0,F,0,1,45,4, 	(03-MAR-2025 13:08:20)
2,0,F,0,1,45,1, 	(03-MAR-2025 13:08:20)	 (Not Inserted)
2,0,F,0,1,45,2, 	(03-MAR-2025 13:08:20)	 (Not Inserted)
2,0,F,0,1,45,3, 	(03-MAR-2025 13:08:20)	 (Not Inserted)
2,0,F,0,1,45,4, 	(03-MAR-2025 13:08:20)	 (Not Inserted)
2,217,F,0,1,45,1, 	(03-MAR-2025 13:08:20)
2,217,F,0,1,45,2, 	(03-MAR-2025 13:08:20)
2,217,F,0,1,45,3, 	(03-MAR-2025 13:08:20)
2,217,F,0,1,45,4, 	(03-MAR-2025 13:08:20)
2,6,F,0,1,45,1, 	(03-MAR-2025 13:08:20)
2,6,F,0,1,45,2, 	(03-MAR-2025 13:08:20)
2,6,F,0,1,45,3, 	(03-MAR-2025 13:08:20)
2,6,F,0,1,45,4, 	(03-MAR-2025 13:08:20)
2,7,F,0,2,45,1, 	(03-MAR-2025 13:08:20)
2,7,F,0,2,45,2, 	(03-MAR-2025 13:08:20)
2,7,F,0,2,45,3, 	(03-MAR-2025 13:08:20)
2,7,F,0,2,45,4, 	(03-MAR-2025 13:08:20)
2,218,F,0,1,45,1, 	(03-MAR-2025 13:08:20)
2,218,F,0,1,45,2, 	(03-MAR-2025 13:08:20)
2,218,F,0,1,45,3, 	(03-MAR-2025 13:08:20)
2,218,F,0,1,45,4, 	(03-MAR-2025 13:08:20)
2,10,F,0,1,45,1, 	(03-MAR-2025 13:08:20)
2,10,F,0,1,45,2, 	(03-MAR-2025 13:08:20)
2,10,F,0,1,45,3, 	(03-MAR-2025 13:08:20)
2,10,F,0,1,45,4, 	(03-MAR-2025 13:08:20)
2,11,F,0,1,45,1, 	(03-MAR-2025 13:08:20)
2,11,F,0,1,45,2, 	(03-MAR-2025 13:08:20)
2,11,F,0,1,45,3, 	(03-MAR-2025 13:08:20)
2,11,F,0,1,45,4, 	(03-MAR-2025 13:08:20)
2,14,F,0,1,45,1, 	(03-MAR-2025 13:08:20)
2,14,F,0,1,45,2, 	(03-MAR-2025 13:08:20)
2,14,F,0,1,45,3, 	(03-MAR-2025 13:08:20)
2,14,F,0,1,45,4, 	(03-MAR-2025 13:08:20)
2,269,F,0,1,45,1, 	(03-MAR-2025 13:08:20)
2,269,F,0,1,45,2, 	(03-MAR-2025 13:08:20)
2,269,F,0,1,45,3, 	(03-MAR-2025 13:08:20)
2,269,F,0,1,45,4, 	(03-MAR-2025 13:08:20)
2,15,F,2,1,45,1, 	(03-MAR-2025 13:08:20)
2,15,F,2,1,45,2, 	(03-MAR-2025 13:08:20)
2,15,F,2,1,45,3, 	(03-MAR-2025 13:08:20)
2,15,F,2,1,45,4, 	(03-MAR-2025 13:08:20)
2,15,F,0,2,45,1, 	(03-MAR-2025 13:08:20)
2,15,F,0,2,45,2, 	(03-MAR-2025 13:08:20)
2,15,F,0,2,45,3, 	(03-MAR-2025 13:08:20)
2,15,F,0,2,45,4, 	(03-MAR-2025 13:08:20)
2,15,F,1,1,45,1, 	(03-MAR-2025 13:08:20)
2,15,F,1,1,45,2, 	(03-MAR-2025 13:08:20)
2,15,F,1,1,45,3, 	(03-MAR-2025 13:08:20)
2,15,F,1,1,45,4, 	(03-MAR-2025 13:08:20)
2,15,F,0,1,45,1, 	(03-MAR-2025 13:08:20)
2,15,F,0,1,45,2, 	(03-MAR-2025 13:08:20)
2,15,F,0,1,45,3, 	(03-MAR-2025 13:08:20)
2,15,F,0,1,45,4, 	(03-MAR-2025 13:08:20)
2,18,F,0,1,45,1, 	(03-MAR-2025 13:08:20)
2,18,F,0,1,45,2, 	(03-MAR-2025 13:08:20)
2,18,F,0,1,45,3, 	(03-MAR-2025 13:08:20)
2,18,F,0,1,45,4, 	(03-MAR-2025 13:08:20)
2,228,F,0,1,45,1, 	(03-MAR-2025 13:08:20)
2,228,F,0,1,45,2, 	(03-MAR-2025 13:08:20)
2,228,F,0,1,45,3, 	(03-MAR-2025 13:08:20)
2,228,F,0,1,45,4, 	(03-MAR-2025 13:08:20)
2,160,F,0,1,45,1, 	(03-MAR-2025 13:08:20)
2,160,F,0,1,45,2, 	(03-MAR-2025 13:08:20)
2,160,F,0,1,45,3, 	(03-MAR-2025 13:08:20)
2,160,F,0,1,45,4, 	(03-MAR-2025 13:08:20)
2,20,F,3,2,45,1, 	(03-MAR-2025 13:08:20)
2,20,F,3,2,45,2, 	(03-MAR-2025 13:08:20)
2,20,F,3,2,45,3, 	(03-MAR-2025 13:08:20)
2,20,F,3,2,45,4, 	(03-MAR-2025 13:08:20)
2,20,F,0,2,45,1, 	(03-MAR-2025 13:08:20)
2,20,F,0,2,45,2, 	(03-MAR-2025 13:08:20)
2,20,F,0,2,45,3, 	(03-MAR-2025 13:08:20)
2,20,F,0,2,45,4, 	(03-MAR-2025 13:08:20)
2,20,F,0,1,45,1, 	(03-MAR-2025 13:08:20)
2,20,F,0,1,45,2, 	(03-MAR-2025 13:08:20)
2,20,F,0,1,45,3, 	(03-MAR-2025 13:08:20)
2,20,F,0,1,45,4, 	(03-MAR-2025 13:08:20)
2,20,F,0,3,45,1, 	(03-MAR-2025 13:08:20)
2,20,F,0,3,45,2, 	(03-MAR-2025 13:08:20)
2,20,F,0,3,45,3, 	(03-MAR-2025 13:08:20)
