

<<START>>,<<FMS_METER_MST>>,,,,, 	(15-MAR-2025 17:18:39)
 
COMPANY_CD,CD,ABBR,PLANT_SEQ,METER_TYPE,METER_SEQ,TIMESTAMP
2 ,29 , PipeInfra , 1 , R , 1, 	(15-MAR-2025 17:18:39)
2 ,29 , PipeInfra , 1 , R , 2, 	(15-MAR-2025 17:18:39)
2 ,29 , PipeInfra , 2 , R , 1, 	(15-MAR-2025 17:18:39)
2 ,29 , PipeInfra , 2 , R , 2, 	(15-MAR-2025 17:18:39)
2 ,45 , GSPL , 1 , R , 1, 	(15-MAR-2025 17:18:39)
2 ,45 , GSPL , 1 , R , 2, 	(15-MAR-2025 17:18:39)
2 ,45 , GSPL , 1 , R , 3, 	(15-MAR-2025 17:18:39)
2 ,45 , GSPL , 2 , R , 1, 	(15-MAR-2025 17:18:39)
2 ,45 , GSPL , 2 , R , 2, 	(15-MAR-2025 17:18:39)
2 ,45 , GSPL , 3 , R , 1, 	(15-MAR-2025 17:18:39)
2 ,45 , GSPL , 4 , R , 1, 	(15-MAR-2025 17:18:39)
2 ,45 , GSPL , 4 , R , 2, 	(15-MAR-2025 17:18:39)
2 ,4 , Gail , 1 , R , 1, 	(15-MAR-2025 17:18:39)
2 ,4 , Gail , 2 , R , 1, 	(15-MAR-2025 17:18:39)
2 ,4 , Gail , 3 , R , 1, 	(15-MAR-2025 17:18:39)
2,4 , Gail , 1 , R , 1, 	(15-MAR-2025 17:18:39)	 (Not Inserted)
2 ,4 , Gail , 1 , R , 2, 	(15-MAR-2025 17:18:39)
2,4 , Gail , 2 , R , 1, 	(15-MAR-2025 17:18:39)	 (Not Inserted)
2 ,4 , Gail , 2 , R , 2, 	(15-MAR-2025 17:18:39)
2,4 , Gail , 1 , R , 1, 	(15-MAR-2025 17:18:39)	 (Not Inserted)
2,29 , PipeInfra , 1 , R , 1, 	(15-MAR-2025 17:18:39)	 (Not Inserted)
2,29 , PipeInfra , 2 , R , 1, 	(15-MAR-2025 17:18:39)	 (Not Inserted)
2 ,29 , PipeInfra , 3 , R , 1, 	(15-MAR-2025 17:18:39)
2,29 , PipeInfra , 1 , R , 1, 	(15-MAR-2025 17:18:39)	 (Not Inserted)
2,29 , PipeInfra , 2 , R , 1, 	(15-MAR-2025 17:18:39)	 (Not Inserted)
2,29 , PipeInfra , 3 , R , 1, 	(15-MAR-2025 17:18:39)	 (Not Inserted)
2,29 , PipeInfra , 1 , R , 1, 	(15-MAR-2025 17:18:39)	 (Not Inserted)
2,29 , PipeInfra , 2 , R , 1, 	(15-MAR-2025 17:18:39)	 (Not Inserted)
2,29 , PipeInfra , 3 , R , 1, 	(15-MAR-2025 17:18:39)	 (Not Inserted)
2,4 , Gail , 1 , R , 1, 	(15-MAR-2025 17:18:39)	 (Not Inserted)
2,4 , Gail , 2 , R , 1, 	(15-MAR-2025 17:18:39)	 (Not Inserted)
2, , PARK-ANK , 1 , R , 1, 	(15-MAR-2025 17:18:39)	 (Not Inserted)
2, , PARK-ANK , 1 , R , 3, 	(15-MAR-2025 17:18:39)	 (Not Inserted)
2, , PARK-ANK , 2 , R , 1, 	(15-MAR-2025 17:18:39)	 (Not Inserted)
2 ,53 , RGPL , 1 , R , 1, 	(15-MAR-2025 17:18:39)
2 ,53 , RGPL , 2 , R , 1, 	(15-MAR-2025 17:18:39)
2, , PARK-MSK , 1 , R , 1, 	(15-MAR-2025 17:18:39)	 (Not Inserted)
2, , PARK-BHD , 1 , R , 1, 	(15-MAR-2025 17:18:39)	 (Not Inserted)
2, , PARKPHUCBM , 1 , R , 1, 	(15-MAR-2025 17:18:39)	 (Not Inserted)
2,29 , PipeInfra , 1 , R , 1, 	(15-MAR-2025 17:18:39)	 (Not Inserted)
2,4 , Gail , 1 , R , 1, 	(15-MAR-2025 17:18:39)	 (Not Inserted)
