

<<START>>,<<FMS_METER_MST>>,,,,, 	(03-MAR-2025 10:09:05)
 
COMPANY_CD,CD,ABBR,PLANT_SEQ,METER_TYPE,METER_SEQ,TIMESTAMP
2,29 , PipeInfra , 5 , R , 5, 	(03-MAR-2025 10:09:06)	 (Not Inserted)
2,29 , PipeInfra , 6 , R , 1, 	(03-MAR-2025 10:09:06)	 (Not Inserted)
2,29 , PipeInfra , 6 , R , 2, 	(03-MAR-2025 10:09:06)	 (Not Inserted)
2,29 , PipeInfra , 7 , R , 1, 	(03-MAR-2025 10:09:06)	 (Not Inserted)
2,29 , PipeInfra , 8 , R , 1, 	(03-MAR-2025 10:09:06)	 (Not Inserted)
2,29 , PipeInfra , 8 , R , 2, 	(03-MAR-2025 10:09:06)	 (Not Inserted)
2,168 , GSIGLIM , 1 , R , 1, 	(03-MAR-2025 10:09:06)	 (Not Inserted)
2,168 , GSIGLIM , 2 , R , 1, 	(03-MAR-2025 10:09:06)	 (Not Inserted)
2,134 , GSINLIM , 1 , R , 1, 	(03-MAR-2025 10:09:06)	 (Not Inserted)
2,134 , GSINLIM , 1 , R , 2, 	(03-MAR-2025 10:09:06)	 (Not Inserted)

TOTAL DATA IN EXCEL : ,74,,,,, 	(03-MAR-2025 10:09:06)
 

TOTAL DATA INSERTED : ,0,,,,, 	(03-MAR-2025 10:09:06)
 

TOTAL SKIPPED DATA ,74,,,,, 	(03-MAR-2025 10:09:06)
 
<<END>>,<<FMS_METER_MST>>,,,,, 	(03-MAR-2025 10:09:06)
 
