

<<START>>,<<FMS_CARGO_SVC_CONT_MST>>,,,, 	(28-MAY-2025 16:46:12)
 
COMPANY_CD,CD,ENTITY_TYPE,CONT_NO,CONTRACT_TYPE,TIMESTAMP
2,232, S, 325001, Y, 	(28-MAY-2025 16:46:13)
2,126, S, 325002, Y, 	(28-MAY-2025 16:46:13)
2,264, S, 325003, Y, 	(28-MAY-2025 16:46:13)
2,null, H, 125001, H, 	(28-MAY-2025 16:46:13)	 (Not Inserted)
2,282, H, 125001, H, 	(28-MAY-2025 16:46:13)
2,265, H, 125002, H, 	(28-MAY-2025 16:46:13)

TOTAL DATA IN EXCEL : 6 	(28-MAY-2025 16:46:13)
 

TOTAL DATA INSERTED : 5 	(28-MAY-2025 16:46:13)
 

TOTAL SKIPPED DATA 1 	(28-MAY-2025 16:46:13)
 
<<END>><<FMS_CARGO_SVC_MST>> 	(28-MAY-2025 16:46:13)
 

<<START>>,<<FMS_CARGO_SVC_CONT_SVC_BU>>,,,, 	(28-MAY-2025 16:46:46)
 
COMPANY_CD,CD,CONT_NAME,CONTRACT_TYPE,PLANT_SEQ_NO,TIMESTAMP
2,232, 325001, Y, 1, 	(28-MAY-2025 16:46:46)
2,126, 325002, Y, 1, 	(28-MAY-2025 16:46:46)
2,264, 325003, Y, 1, 	(28-MAY-2025 16:46:46)
2,null, 325003, , 1, 	(28-MAY-2025 16:46:46)	 (Not Inserted)
2,282, 125001, H, 1, 	(28-MAY-2025 16:46:46)
2,282, 125001, H, 1, 	(28-MAY-2025 16:46:46)	 (Not Inserted)
2,265, 125002, H, 1, 	(28-MAY-2025 16:46:46)

TOTAL DATA IN EXCEL : 7 	(28-MAY-2025 16:46:46)
 

TOTAL DATA INSERTED : 5 	(28-MAY-2025 16:46:46)
 

TOTAL SKIPPED DATA 2 	(28-MAY-2025 16:46:46)
 
<<END>><<FMS_CARGO_SVC_CONT_SVC_BU>> 	(28-MAY-2025 16:46:46)
 

<<START>>,<<FMS_CARGO_SVC_CONT_BU>>,,,, 	(28-MAY-2025 16:46:46)
 
COMPANY_CD,CD,CONT_NO,CONTRACT_TYPE,PLANT_SEQ_NO,TIMESTAMP
2,232 325001 Y 1, 	(28-MAY-2025 16:46:46)
2,126 325002 Y 1, 	(28-MAY-2025 16:46:46)
2,264 325003 Y 1, 	(28-MAY-2025 16:46:46)
2,null 325003  1, 	(28-MAY-2025 16:46:46)	 (Not Inserted)
2,282 125001 H 1, 	(28-MAY-2025 16:46:46)
2,282 125001 H 1, 	(28-MAY-2025 16:46:46)	 (Not Inserted)
2,265 125002 H 1, 	(28-MAY-2025 16:46:46)

TOTAL DATA IN EXCEL : 7 	(28-MAY-2025 16:46:46)
 

TOTAL DATA INSERTED : 5 	(28-MAY-2025 16:46:46)
 

TOTAL SKIPPED DATA 2 	(28-MAY-2025 16:46:46)
 
<<END>><<FMS_CARGO_SVC_CONT_BU>> 	(28-MAY-2025 16:46:46)
 
