

<<START>>,<<FMS_SECURITY_MST>>,,,,, 	(13-MAY-2025 10:21:58)
 
COMPANY_CD,COUNTERPARTY_ABBR,COUNTERPARTY_CD, SEQ_NO, SEQ_REV_NO, GX,TIMESTAMP,
2,RIL,1,1,0,K, 	(13-MAY-2025 10:21:59)	 (Not Inserted)
2,RIL,1,2,0,K, 	(13-MAY-2025 10:21:59)	 (Not Inserted)
2,RIL,1,3,0,K, 	(13-MAY-2025 10:21:59)	 (Not Inserted)
2,RIL,1,4,0,K, 	(13-MAY-2025 10:21:59)	 (Not Inserted)
2,RIL,1,5,0,K, 	(13-MAY-2025 10:21:59)	 (Not Inserted)
2,MGL,2,1,0,K, 	(13-MAY-2025 10:21:59)
2,MGL,2,2,0,K, 	(13-MAY-2025 10:21:59)
2,MGL,2,3,0,K, 	(13-MAY-2025 10:21:59)
2,MGL,2,4,0,K, 	(13-MAY-2025 10:21:59)
2,MGL,2,5,0,K, 	(13-MAY-2025 10:21:59)
2,MGL,2,6,0,K, 	(13-MAY-2025 10:21:59)
2,MGL,2,7,0,K, 	(13-MAY-2025 10:21:59)
2,MGL,2,8,0,K, 	(13-MAY-2025 10:21:59)
2,MGL,2,9,0,K, 	(13-MAY-2025 10:21:59)
2,MGL,2,10,0,K, 	(13-MAY-2025 10:21:59)
2,MGL,2,11,0,K, 	(13-MAY-2025 10:21:59)
2,MGL,2,12,0,K, 	(13-MAY-2025 10:21:59)
2,MGL,2,13,0,K, 	(13-MAY-2025 10:21:59)
2,MGL,2,14,0,K, 	(13-MAY-2025 10:21:59)
2,MGL,2,15,0,K, 	(13-MAY-2025 10:21:59)
2,MGL,2,16,0,K, 	(13-MAY-2025 10:21:59)
2,MGL,2,17,0,K, 	(13-MAY-2025 10:21:59)
2,MGL,2,18,0,K, 	(13-MAY-2025 10:21:59)
2,MGL,2,19,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,1,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,2,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,3,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,4,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,5,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,6,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,7,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,8,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,9,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,10,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,11,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,12,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,13,0,K, 	(13-MAY-2025 10:21:59)
2,GSPCL,3,14,0,K, 	(13-MAY-2025 10:21:59)
