

<<START>>,<<FMS_ENTITY_SERVICE_TAX_DTL>>,,,,,,, 	(10-MAR-2025 13:13:06)
 
COMPANY_CD,CD,ABBR,ENTITY,PLANT_SEQ_NO,INVOICE_TYPE,EFF_DT,BU_UNIT,TIMESTAMP
2 ,1 , RIL , C , 1 , SI , 15/11/2015 00:00:00 , 1, 	(10-MAR-2025 13:13:06)	 (Not Inserted)
2 ,1 , RIL , C , 2 , SI , 15/11/2015 00:00:00 , 1, 	(10-MAR-2025 13:13:06)	 (Not Inserted)
2 ,1 , RIL , C , 3 , SI , 15/11/2015 00:00:00 , 1, 	(10-MAR-2025 13:13:06)	 (Not Inserted)
2 ,1 , RIL , C , 4 , SI , 15/11/2015 00:00:00 , 1, 	(10-MAR-2025 13:13:06)	 (Not Inserted)
2 ,1 , RIL , C , 7 , SI , 15/11/2015 00:00:00 , 1, 	(10-MAR-2025 13:13:06)	 (Not Inserted)
2 ,1 , RIL , C , 10 , SI , 15/11/2015 00:00:00 , 1, 	(10-MAR-2025 13:13:06)	 (Not Inserted)
2 ,1 , RIL , C , 9 , SI , 15/11/2015 00:00:00 , 1, 	(10-MAR-2025 13:13:06)	 (Not Inserted)
2 ,1 , RIL , C , 8 , SI , 15/11/2015 00:00:00 , 1, 	(10-MAR-2025 13:13:06)	 (Not Inserted)
2 ,1 , RIL , C , 5 , SI , 15/11/2015 00:00:00 , 1, 	(10-MAR-2025 13:13:06)	 (Not Inserted)
2 ,1 , RIL , C , 9 , SI , 01/07/2017 00:00:00 , 1, 	(10-MAR-2025 13:13:06)
**********AutomationEMS Error  (10-MAR-2025 13:13:06) **********
java.sql.SQLException: ORA-01847: day of month must be between 1 and last day of month


com.etrm.fms.migration.Master_SEIPL_Data_Reader.FMS_ENTITY_SERVICE_TAX_DTL(Master_SEIPL_Data_Reader.java:6260)
com.etrm.fms.migration.Master_SEIPL_Data_Reader.init(Master_SEIPL_Data_Reader.java:221)
**************************************************

<<FUNCTION FMS_ENTITY_SERVICE_TAX_DTL() ENDED WITH ERRORS>>


<<START>>,<<FMS_ENTITY_SERVICE_TAX_DTL>>,,,,,,, 	(10-MAR-2025 13:13:48)
 
COMPANY_CD,CD,ABBR,ENTITY,PLANT_SEQ_NO,INVOICE_TYPE,EFF_DT,BU_UNIT,TIMESTAMP
2 ,1 , RIL , C , 1 , SI , 15/11/2015 00:00:00 , 1, 	(10-MAR-2025 13:13:48)	 (Not Inserted)
