

<<START>>,<<FMS_GTA_CONT_MAP>>,, 	(09-MAY-2025 15:49:12)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,CONT_REF_NO,CUST_CD,SELL_CONT_MAP,TIMESTAMP,
2,4 , 1,0,1,0,C,1-1-1604-333S1-0-26-0-3,20,S-1-0-26-0, 	(09-MAY-2025 15:49:12)
2,4 , 1,0,2,0,C,1-1-1603-701S1-0-4-0-1,39,S-1-0-4-0, 	(09-MAY-2025 15:49:12)
2,4 , 1,0,3,0,C,1-1-1603-861S1-0-1-2-1,48,S-1-0-1-2, 	(09-MAY-2025 15:49:12)
2,4 , 1,0,4,0,C,1-1-1604-101S2-0-5-0-1,7,S-2-0-5-0, 	(09-MAY-2025 15:49:12)
2,4 , 1,0,5,0,C,1-1-1602-101S2-0-5-0-1,7,S-2-0-5-0, 	(09-MAY-2025 15:49:12)
2,4 , 1,0,6,0,C,1-1-1604-101S2-0-6-0-1,7,S-2-0-6-0, 	(09-MAY-2025 15:49:12)
2,4 , 1,0,7,0,C,1-1-1604-542S1-0-3-0-2,34,S-1-0-3-0, 	(09-MAY-2025 15:49:12)
2,4 , 1,0,8,0,C,1-1-1604-1101S1-0-1-0-1,63,S-1-0-1-0, 	(09-MAY-2025 15:49:12)
2,4 , 1,0,9,0,C,1-1-1603-852S1-0-1-1-2,47,S-1-0-1-1, 	(09-MAY-2025 15:49:12)
2,4 , 1,0,10,0,C,1-1-1604-782L2-0-1-0-2,42,, 	(09-MAY-2025 15:49:12)	 (Not Inserted)
2,4 , 1,0,11,0,C,1-1-1604-91,6,, 	(09-MAY-2025 15:49:12)	 (Not Inserted)
2,4 , 1,0,12,0,C,1-1-1601-81L53-0-1-0-1,5,, 	(09-MAY-2025 15:49:12)	 (Not Inserted)
2,4 , 1,0,13,0,C,1-1-1601-82L54-0-1-0-2,5,, 	(09-MAY-2025 15:49:12)	 (Not Inserted)
2,4 , 1,0,14,0,C,1-1-1604-92L31-0-1-0-2,6,, 	(09-MAY-2025 15:49:12)	 (Not Inserted)
2,4 , 1,0,15,0,C,1-1-1601-91L32-0-1-0-1,6,, 	(09-MAY-2025 15:49:12)	 (Not Inserted)
2,4 , 1,0,16,0,C,1-1-1603-391S1-0-5-0-1,25,S-1-0-5-0, 	(09-MAY-2025 15:49:12)
2,4 , 1,0,17,0,C,1-1-1601-83L55-0-1-0-3,5,, 	(09-MAY-2025 15:49:12)	 (Not Inserted)
2,4 , 1,0,18,0,C,1-1-1601-84L56-0-1-0-4,5,, 	(09-MAY-2025 15:49:12)	 (Not Inserted)
2,4 , 1,0,19,0,C,1-1-1604-349S1-0-15-0-9,154,S-1-0-15-0, 	(09-MAY-2025 15:49:12)
2,4 , 1,0,20,0,C,1-1-1603-893S1-0-3-0-3,50,S-1-0-3-0, 	(09-MAY-2025 15:49:12)
2,4 , 1,0,21,0,C,1-1-1603-381S1-0-6-0-1,24,S-1-0-6-0, 	(09-MAY-2025 15:49:12)
2,4 , 1,0,22,0,C,1-1-1604-261S2-0-19-0-1,15,S-2-0-19-0, 	(09-MAY-2025 15:49:12)
2,4 , 1,0,23,0,C,1-1-1604-333S1-0-31-0-3,20,S-1-0-31-0, 	(09-MAY-2025 15:49:12)
2,4 , 1,0,24,0,C,1-1-1601-347,154,, 	(09-MAY-2025 15:49:12)	 (Not Inserted)
2,4 , 1,0,25,0,C,1-1-1601-343S1-0-15-0-3,154,S-1-0-15-0, 	(09-MAY-2025 15:49:12)
2,4 , 1,0,26,0,C,1-1-1603-1132L6-0-1-0-2,105,, 	(09-MAY-2025 15:49:12)	 (Not Inserted)
2,4 , 1,0,27,0,C,1-1-1601-1201L3-0-1-0-1,107,, 	(09-MAY-2025 15:49:12)	 (Not Inserted)
2,4 , 1,0,28,0,C,1-1-1604-334S1-0-33-0-4,20,S-1-0-33-0, 	(09-MAY-2025 15:49:12)
2,4 , 1,0,29,0,C,1-1-1604-721L18-0-1-0-1,41,, 	(09-MAY-2025 15:49:12)	 (Not Inserted)
2,4 , 1,0,30,0,C,1-1-1604-263S2-0-20-0-3,15,S-2-0-20-0, 	(09-MAY-2025 15:49:12)
2,4 , 1,0,31,0,C,1-1-1601-292L1-0-1-0-2,18,, 	(09-MAY-2025 15:49:12)	 (Not Inserted)
2,4 , 1,0,32,0,C,1-1-1601-401L7-0-1-0-1,26,, 	(09-MAY-2025 15:49:12)	 (Not Inserted)
2,4 , 1,0,33,0,C,1-1-1601-403L7-0-1-0-3,26,, 	(09-MAY-2025 15:49:12)	 (Not Inserted)
2,4 , 1,0,34,0,C,1-1-1601-442L6-0-1-0-2,30,, 	(09-MAY-2025 15:49:12)	 (Not Inserted)
2,4 , 1,0,35,0,C,1-1-1603-1001S1-0-2-0-1,54,S-1-0-2-0, 	(09-MAY-2025 15:49:12)
2,4 , ,,,,,1-1-1603-372S1-0-14-0-2,,S-1-0-14-0, 	(09-MAY-2025 15:49:12)	 (Not Inserted)
2,4 , ,,,,,1-1-1603-371S1-0-14-0-1,,S-1-0-14-0, 	(09-MAY-2025 15:49:12)	 (Not Inserted)
2,4 , 1,0,36,0,C,1-1-1603-1131L6-0-1-0-1,105,, 	(09-MAY-2025 15:49:12)	 (Not Inserted)
2,4 , 1,0,37,0,C,1-1-1606-701S1-0-7-0-1,39,S-1-0-7-0, 	(09-MAY-2025 15:49:12)
2,4 , 1,0,38,0,C,1-1-1606-91L34-0-1-0-1,6,, 	(09-MAY-2025 15:49:12)	 (Not Inserted)
2,4 , 1,0,39,0,C,1-1-1606-892L4-0-1-0-2,50,, 	(09-MAY-2025 15:49:12)	 (Not Inserted)
2,4 , 1,0,40,0,C,1-1-1601-81L124-0-1-0-1,5,, 	(09-MAY-2025 15:49:12)	 (Not Inserted)
2,4 , 1,0,41,0,C,1-1-1601-1133L6-0-1-0-3,105,, 	(09-MAY-2025 15:49:12)	 (Not Inserted)
2,4 , 1,0,42,0,C,1-1-1604-851,47,, 	(09-MAY-2025 15:49:12)	 (Not Inserted)
2,4 , 1,0,43,0,C,1-1-1604-1133L6-0-1-0-3,105,, 	(09-MAY-2025 15:49:12)	 (Not Inserted)
2,4 , 1,0,44,0,C,1-1-1604-333S1-0-35-0-3,20,S-1-0-35-0, 	(09-MAY-2025 15:49:12)
2,4 , 1,0,45,0,C,1-1-1603-701S1-0-8-0-1,39,S-1-0-8-0, 	(09-MAY-2025 15:49:12)
