

<<START>>,<<FMS_SHIP_MST>>,, 	(26-FEB-2025 12:06:16)
 
CD,SHIP_NAME,EFF_DT,TIMESTAMP
114 , MARIB SPIRIT , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , GRACILIS , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , GRAND ELENA , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , SOHAR LNG , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , BERGE ARZEW , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , SERI ALAM , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , LNG TENEGA AMPET , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , SERI BEGAWAN , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , SALALAH LNG , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , SERI BIJASKSANA , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , BRITISH RUBY , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , GOLAR MAZO , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , GRAND MEREYA , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , HYUNDAI AQUAPIA , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , AL SAHLA , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , AL NUAMAN , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , LNG PIONEER , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , AL WAJBAH , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , AL BIDDA , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , CADIZ KNUTSEN , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , SERI BALHAF , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , MURWAB , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , OYO , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , AL KARAANA , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , AL SADD , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , AL KHATTIYA , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , TRINITY ARROW , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , BW GDF SUEZ PARIS , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , AL REKAYYAT , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , UMMAL AMAD , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , LNG ENUGU , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , NEO ENERGY , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , EJNAN  , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , GRANOSA , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , AL THAKHIRA , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , LNG BAYELSA , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , LNG CROSS RIVER , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , LNG MARAN GAS ASCLEPIUS , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , GRAND ANIVA , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , BRITISH MERCHANT , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , GASELYS , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , GALEA , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , LNG FINIMA , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , EXCEL , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , DUMMY VESSEL , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , MITHANE SHIRLEY ELISABETH , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , MAESK METHANE , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , AL HAMLA , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , AL GATTARA , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , FUWAIRIT , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , AL AREESH , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , AL UTOURIYA , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , LNG SOKOTO , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , MAERSK MARIB , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , AL GHARIYA , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , AL KHOR , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , AL ZUBARAH , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , AL SAFLIYA , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , AL BAHIYA , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , ENERGY NAVIGATOR , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , ARCTIC LADY , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , AL HUWAILA , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
114 , DUHAIL , 01/01/2007 00:00:00, 	(26-FEB-2025 12:06:16)	 (Not Inserted)
