

<<START>>,<<FMS_COUNTERPARTY_MST>>,, 	(28-FEB-2025 11:33:35)
 
CD,ABBR,EFF_DT,TIMESTAMP
233 , JGPL,11/10/2022 00:00:00, 	(28-FEB-2025 11:33:35)
233 , JGPL,18/02/2021 00:00:00, 	(28-FEB-2025 11:33:35)
279 , WALLCERA,17/02/2021 00:00:00, 	(28-FEB-2025 11:33:35)
193 , ASTIS,11/10/2022 00:00:00, 	(28-FEB-2025 11:33:35)
193 , ASTIS,17/02/2021 00:00:00, 	(28-FEB-2025 11:33:35)
109 , PROTON,11/10/2022 00:00:00, 	(28-FEB-2025 11:33:35)
109 , PROTON,16/06/2021 00:00:00, 	(28-FEB-2025 11:33:35)
109 , PROTON,16/02/2021 00:00:00, 	(28-FEB-2025 11:33:35)
192 , ANTIQUE,11/10/2022 00:00:00, 	(28-FEB-2025 11:33:35)
192 , ANTIQUE,16/06/2021 00:00:00, 	(28-FEB-2025 11:33:35)
192 , ANTIQUE,16/02/2021 00:00:00, 	(28-FEB-2025 11:33:35)
 , ACER,11/10/2022 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , ACER,16/06/2021 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
 , ACER,16/02/2021 00:00:00, 	(28-FEB-2025 11:33:35)	 (Not Inserted)
38 , KAJARIA,30/11/2020 00:00:00, 	(28-FEB-2025 11:33:35)
222 , GASGROWS,11/10/2022 00:00:00, 	(28-FEB-2025 11:33:35)
222 , GASGROWS,07/05/2020 00:00:00, 	(28-FEB-2025 11:33:35)
39 , SISECAM,09/06/2021 00:00:00, 	(28-FEB-2025 11:33:35)
40 , ATPL,17/12/2020 00:00:00, 	(28-FEB-2025 11:33:35)
41 , OPAL,28/07/2021 00:00:00, 	(28-FEB-2025 11:33:35)
234 , JKPAPER,02/08/2021 00:00:00, 	(28-FEB-2025 11:33:35)
263 , STL,25/08/2021 00:00:00, 	(28-FEB-2025 11:33:35)
273 , UEPL,11/10/2022 00:00:00, 	(28-FEB-2025 11:33:35)
273 , UEPL,03/09/2021 00:00:00, 	(28-FEB-2025 11:33:35)
206 , CELLO,01/12/2021 00:00:00, 	(28-FEB-2025 11:33:35)
204 , CALDERYS,11/10/2022 00:00:00, 	(28-FEB-2025 11:33:35)
204 , CALDERYS,20/12/2021 00:00:00, 	(28-FEB-2025 11:33:35)
42 , RCF,30/12/2021 00:00:00, 	(28-FEB-2025 11:33:35)
201 , BWRL,25/01/2022 00:00:00, 	(28-FEB-2025 11:33:35)
235 , KRYO,11/10/2022 00:00:00, 	(28-FEB-2025 11:33:35)
235 , KRYO,31/01/2022 00:00:00, 	(28-FEB-2025 11:33:35)
