

<<START>>,<<FMS_FFLOW_INV_FILE_DTL_UPDATE>>, 	(16-OCT-2025 18:11:47)
 
COMPANY_CD,BU_STATE_TIN,INVOICE_SEQ,FINANCIAL_YEAR,INVOICE_TYPE,PDF_TYPE,FILE_NAME,TIMESTAMP
2,24,13,LP,2024-2025,T,LATEPAY_INVOICE-29042024-HCGD-B-HCGDB_Bhiwadi-I-4-T.pdf ,  	(16-OCT-2025 18:11:47)	 (Not Inserted)
2,24,12,LP,2024-2025,O,LATEPAY_INVOICE-13052024-HCGD-B-HCGDB_Bhiwadi-I-6-O.pdf ,  	(16-OCT-2025 18:11:47)	 (Not Inserted)
2,24,12,LP,2024-2025,D,LATEPAY_INVOICE-13052024-HCGD-B-HCGDB_Bhiwadi-I-6-D.pdf ,  	(16-OCT-2025 18:11:47)	 (Not Inserted)
2,24,12,LP,2024-2025,T,LATEPAY_INVOICE-13052024-HCGD-B-HCGDB_Bhiwadi-I-6-T.pdf ,  	(16-OCT-2025 18:11:47)	 (Not Inserted)
2,24,11,LP,2024-2025,O,LATEPAY_INVOICE-26112024-HCGD-B-HCGDB_Bhiwadi-I-8-O.pdf ,  	(16-OCT-2025 18:11:47)	 (Not Inserted)
2,24,11,LP,2024-2025,D,LATEPAY_INVOICE-26112024-HCGD-B-HCGDB_Bhiwadi-I-8-D.pdf ,  	(16-OCT-2025 18:11:47)	 (Not Inserted)
2,24,11,LP,2024-2025,T,LATEPAY_INVOICE-26112024-HCGD-B-HCGDB_Bhiwadi-I-8-T.pdf ,  	(16-OCT-2025 18:11:47)	 (Not Inserted)
2,24,46,LP,2022-2023,O,LATEPAY_INVOICE-30082022-TGLPL-TGLPL-Ludhiana-I-2-O.pdf ,  	(16-OCT-2025 18:11:47)	 (Not Inserted)
2,24,46,LP,2022-2023,D,LATEPAY_INVOICE-30082022-TGLPL-TGLPL-Ludhiana-I-2-D.pdf ,  	(16-OCT-2025 18:11:47)	 (Not Inserted)
2,24,46,LP,2022-2023,T,LATEPAY_INVOICE-30082022-TGLPL-TGLPL-Ludhiana-I-2-T.pdf ,  	(16-OCT-2025 18:11:47)	 (Not Inserted)
2,24,45,LP,2022-2023,O,LATEPAY_INVOICE-30082022-TGLPL-TGLPL-Jalandhar-I-3-O.pdf ,  	(16-OCT-2025 18:11:47)	 (Not Inserted)
2,24,45,LP,2022-2023,D,LATEPAY_INVOICE-30082022-TGLPL-TGLPL-Jalandhar-I-3-D.pdf ,  	(16-OCT-2025 18:11:47)	 (Not Inserted)
2,24,45,LP,2022-2023,T,LATEPAY_INVOICE-30082022-TGLPL-TGLPL-Jalandhar-I-3-T.pdf ,  	(16-OCT-2025 18:11:47)	 (Not Inserted)
2,24,44,LP,2022-2023,O,LATEPAY_INVOICE-27122022-TGLPL-TGLPL-Jalandhar-I-4-O.pdf ,  	(16-OCT-2025 18:11:47)	 (Not Inserted)
2,24,44,LP,2022-2023,D,LATEPAY_INVOICE-27122022-TGLPL-TGLPL-Jalandhar-I-4-D.pdf ,  	(16-OCT-2025 18:11:47)	 (Not Inserted)
2,24,44,LP,2022-2023,T,LATEPAY_INVOICE-27122022-TGLPL-TGLPL-Jalandhar-I-4-T.pdf ,  	(16-OCT-2025 18:11:47)	 (Not Inserted)
2,24,52,LP,2023-2024,O,LATEPAY_INVOICE-10082023-GFCL-GFCL-Dahej-I-6-O.pdf ,  	(16-OCT-2025 18:11:47)	 (Not Inserted)
