

<<START>>,<<FMS_CONT_PRICE_DTL(P)>>,,,, 	(13-JUN-2025 18:34:10)
 
COMPANY_CD,MAPPING_ID,CONTRACT_TYPE,SEQ_NO,TIMESTAMP
2,15--, D ,1, 	(13-JUN-2025 18:34:10)	 (Not Inserted)
2,15--, D ,1, 	(13-JUN-2025 18:34:10)	 (Not Inserted)
2,15---, N ,1, 	(13-JUN-2025 18:34:10)	 (Not Inserted)
2,15--, D ,1, 	(13-JUN-2025 18:34:10)	 (Not Inserted)
2,15--, D ,2, 	(13-JUN-2025 18:34:10)	 (Not Inserted)
2,15-0-822010 ,D ,1, 	(13-JUN-2025 18:34:10)
2,20---, N ,1, 	(13-JUN-2025 18:34:10)	 (Not Inserted)
2,20-0-822017 ,T ,1, 	(13-JUN-2025 18:34:10)
2,20---, N ,1, 	(13-JUN-2025 18:34:10)	 (Not Inserted)
2,20-0-822018 ,D ,1, 	(13-JUN-2025 18:34:10)
2,20-0-823072 ,T ,1, 	(13-JUN-2025 18:34:10)
2,20-0-823073 ,T ,1, 	(13-JUN-2025 18:34:10)
2,20-0-823076 ,T ,1, 	(13-JUN-2025 18:34:10)
2,154-0-822028 ,D ,1, 	(13-JUN-2025 18:34:10)
2,154-0-823078 ,D ,1, 	(13-JUN-2025 18:34:10)
2,154---, N ,1, 	(13-JUN-2025 18:34:10)	 (Not Inserted)
2,154---, N ,1, 	(13-JUN-2025 18:34:10)	 (Not Inserted)
2,154-0-823081 ,D ,1, 	(13-JUN-2025 18:34:10)
2,154-0-823079 ,D ,1, 	(13-JUN-2025 18:34:10)
2,154-0-823080 ,D ,1, 	(13-JUN-2025 18:34:10)
2,154-0-823082 ,D ,1, 	(13-JUN-2025 18:34:10)
2,154-0-823083 ,D ,1, 	(13-JUN-2025 18:34:10)
2,154-0-823084 ,D ,1, 	(13-JUN-2025 18:34:10)
2,154-0-823087 ,D ,1, 	(13-JUN-2025 18:34:10)
2,154-0-823088 ,D ,1, 	(13-JUN-2025 18:34:10)
2,154-0-823091 ,D ,1, 	(13-JUN-2025 18:34:10)
2,154-0-823091 ,D ,2, 	(13-JUN-2025 18:34:10)
2,154-0-823090 ,D ,1, 	(13-JUN-2025 18:34:10)
2,154-0-823090 ,D ,2, 	(13-JUN-2025 18:34:10)
2,154-0-824014 ,D ,1, 	(13-JUN-2025 18:34:10)
2,154-0-824016 ,D ,1, 	(13-JUN-2025 18:34:10)
2,154-0-824015 ,D ,1, 	(13-JUN-2025 18:34:10)
2,154-0-825002 ,T ,1, 	(13-JUN-2025 18:34:10)
2,154-0-825003 ,D ,1, 	(13-JUN-2025 18:34:10)
2,256---, N ,1, 	(13-JUN-2025 18:34:10)	 (Not Inserted)
2,256---, N ,1, 	(13-JUN-2025 18:34:10)	 (Not Inserted)
2,256---, N ,1, 	(13-JUN-2025 18:34:10)	 (Not Inserted)
2,256-1-721004-1 ,N ,1, 	(13-JUN-2025 18:34:10)
2,256-1-721004-2 ,N ,1, 	(13-JUN-2025 18:34:10)
2,256---, N ,1, 	(13-JUN-2025 18:34:10)	 (Not Inserted)
2,256---, N ,1, 	(13-JUN-2025 18:34:10)	 (Not Inserted)
2,256---, N ,1, 	(13-JUN-2025 18:34:10)	 (Not Inserted)
2,256---, N ,1, 	(13-JUN-2025 18:34:10)	 (Not Inserted)
2,256---, N ,1, 	(13-JUN-2025 18:34:10)	 (Not Inserted)
2,1-0-823018 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-823019 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-823020 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-823021 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-823022 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-823023 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-823024 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-823025 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-823026 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-823027 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-823028 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-823029 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-823030 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-823031 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-823032 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-823033 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-823034 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-823035 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-823036 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-823037 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-823038 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-823039 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-823040 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-823041 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-823042 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-823043 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-823044 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-823045 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-823046 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-823047 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-823048 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-823049 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-823050 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-823051 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-823052 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-824004 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-824005 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-824005 ,D ,2, 	(13-JUN-2025 18:34:10)
2,1-0-824006 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-824007 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-824007 ,D ,2, 	(13-JUN-2025 18:34:10)
2,1-0-823053 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-823053 ,D ,2, 	(13-JUN-2025 18:34:10)
2,1-0-824008 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-824001 ,I ,1, 	(13-JUN-2025 18:34:10)
2,1-0-824002 ,I ,1, 	(13-JUN-2025 18:34:10)
2,1-0-824003 ,I ,1, 	(13-JUN-2025 18:34:10)
2,43-0-824009 ,I ,1, 	(13-JUN-2025 18:34:10)
2,43-0-824010 ,I ,1, 	(13-JUN-2025 18:34:10)
2,43-0-824011 ,I ,1, 	(13-JUN-2025 18:34:10)
2,20--, D ,1, 	(13-JUN-2025 18:34:10)	 (Not Inserted)
2,1--, D ,1, 	(13-JUN-2025 18:34:10)	 (Not Inserted)
2,1--, D ,1, 	(13-JUN-2025 18:34:10)	 (Not Inserted)
2,1--, D ,1, 	(13-JUN-2025 18:34:10)	 (Not Inserted)
2,1--, D ,1, 	(13-JUN-2025 18:34:10)	 (Not Inserted)
2,1--, D ,1, 	(13-JUN-2025 18:34:10)	 (Not Inserted)
2,1--, D ,1, 	(13-JUN-2025 18:34:10)	 (Not Inserted)
2,1--, D ,1, 	(13-JUN-2025 18:34:10)	 (Not Inserted)
2,1-0-822005 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-822006 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-822007 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-822008 ,D ,1, 	(13-JUN-2025 18:34:10)
2,1-0-822009 ,D ,1, 	(13-JUN-2025 18:34:10)
2,51--, D ,1, 	(13-JUN-2025 18:34:10)	 (Not Inserted)
2,51-0-823071 ,D ,1, 	(13-JUN-2025 18:34:10)
2,51-0-822012 ,I ,1, 	(13-JUN-2025 18:34:10)
2,110-1-724001-1 ,N ,1, 	(13-JUN-2025 18:34:10)
2,110-1-724001-2 ,N ,1, 	(13-JUN-2025 18:34:10)
2,110-1-724003-1 ,N ,1, 	(13-JUN-2025 18:34:10)
2,110-1-724004-1 ,N ,1, 	(13-JUN-2025 18:34:10)
2,110---, N ,1, 	(13-JUN-2025 18:34:10)	 (Not Inserted)
2,110-1-725001-1 ,N ,1, 	(13-JUN-2025 18:34:10)
2,110-1-725002-1 ,N ,1, 	(13-JUN-2025 18:34:10)
2,186-0-823096 ,D ,1, 	(13-JUN-2025 18:34:10)
2,159-0-823095 ,D ,1, 	(13-JUN-2025 18:34:10)
2,278--, D ,1, 	(13-JUN-2025 18:34:10)	 (Not Inserted)
