

<<START>>,<<FMS_AGMT_MST(DLNG)>>,,,, 	(28-MAY-2025 09:56:16)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,TIMESTAMP,
2,34,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,222,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,149,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,38,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,223,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,204,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,235,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,188,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,210,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,33,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,263,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,196,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,238,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,35,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,234,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,231,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,150,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,206,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,276,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,272,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,52,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,255,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,21,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,227,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,190,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,254,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,197,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,187,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,202,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,40,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,201,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,140,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,167,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,220,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,198,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,233,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,192,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,193,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,151,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,109,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,257,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,279,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,273,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,174,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,277,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,47,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,19,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,207,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)
2,12,D,1,0, 	(28-MAY-2025 09:56:16)	 (Not Inserted)

TOTAL DATA IN EXCEL : ,51,,,, 	(28-MAY-2025 09:56:16)
 

TOTAL DATA INSERTED : ,0,,,, 	(28-MAY-2025 09:56:16)
 

TOTAL SKIPPED DATA ,51,,,, 	(28-MAY-2025 09:56:16)
 
<<END>>,<<FMS_AGMT_MST(DLNG)>>,,,, 	(28-MAY-2025 09:56:16)
 

<<START>>,<<FMS_AGMT_BU>>, 	(28-MAY-2025 09:56:16)
 

TOTAL DATA IN EXCEL : ,0, 	(28-MAY-2025 09:56:16)
 

TOTAL DATA INSERTED : ,0, 	(28-MAY-2025 09:56:16)
 

TOTAL SKIPPED DATA ,136, 	(28-MAY-2025 09:56:16)
 
<<END>>,<<FMS_AGMT_BU>>, 	(28-MAY-2025 09:56:16)
 
