

<<START>>,<<FMS_BUY_DAILY_BUYER_NOM>>,,,,,, 	(06-JUN-2025 11:49:10)
 
COMNPANY_CD,CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP
2,51, 0, 0,823069, 1,I, 	(06-JUN-2025 11:49:11)
2,211, 0, 0,823094, 1,I, 	(06-JUN-2025 11:49:11)
2,154, 0, 0,823084, 0,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823039, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823039, 4,D, 	(06-JUN-2025 11:49:11)
2,51, 0, 0,823069, 1,I, 	(06-JUN-2025 11:49:11)
2,20, 0, 0,823073, 1,T, 	(06-JUN-2025 11:49:11)
2,20, 0, 0,823073, 1,T, 	(06-JUN-2025 11:49:11)
2,43, 0, 0,823059, 1,I, 	(06-JUN-2025 11:49:11)
2,43, 0, 0,823059, 1,I, 	(06-JUN-2025 11:49:11)
2,43, 0, 0,823059, 1,I, 	(06-JUN-2025 11:49:11)
2,43, 0, 0,823059, 1,I, 	(06-JUN-2025 11:49:11)
2,43, 0, 0,823059, 1,I, 	(06-JUN-2025 11:49:11)
2,51, 0, 0,823069, 1,I, 	(06-JUN-2025 11:49:11)
2,51, 0, 0,823069, 1,I, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823002, 1,I, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823003, 1,I, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823004, 1,I, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823005, 1,I, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823005, 1,I, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823005, 1,I, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823005, 1,I, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823005, 1,I, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823040, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823040, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,822009, 0,D, 	(06-JUN-2025 11:49:11)
2,154, 0, 0,823087, 0,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823040, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823040, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823040, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,822009, 0,D, 	(06-JUN-2025 11:49:11)
2,154, 0, 0,823087, 0,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823040, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,822009, 0,D, 	(06-JUN-2025 11:49:11)
2,154, 0, 0,823087, 0,D, 	(06-JUN-2025 11:49:11)
2,43, 0, 0,823064, 1,I, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823010, 1,I, 	(06-JUN-2025 11:49:11)
2,20, 0, 0,823073, 1,T, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823040, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823040, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,822009, 0,D, 	(06-JUN-2025 11:49:11)
2,154, 0, 0,823087, 0,D, 	(06-JUN-2025 11:49:11)
2,43, 0, 0,823064, 1,I, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823010, 1,I, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823040, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823040, 4,D, 	(06-JUN-2025 11:49:11)
2,43, 0, 0,823064, 1,I, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823010, 1,I, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,822009, 0,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 11:49:11)
