

<<START>>,<<FMS_COUNTERPARTY_MST>>,, 	(09-APR-2025 19:57:58)
 
CD,ABBR,EFF_DT,TIMESTAMP
257 , STVPL,11/10/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
257 , STVPL,18/02/2021 00:00:00, 	(09-APR-2025 19:57:58)
233 , JGPL,11/10/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
233 , JGPL,18/02/2021 00:00:00, 	(09-APR-2025 19:57:58)
279 , WALLCERA,17/02/2021 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
193 , ASTIS,11/10/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
193 , ASTIS,17/02/2021 00:00:00, 	(09-APR-2025 19:57:58)
109 , PROTON,11/10/2022 00:00:00, 	(09-APR-2025 19:57:58)
109 , PROTON,16/06/2021 00:00:00, 	(09-APR-2025 19:57:58)
109 , PROTON,16/02/2021 00:00:00, 	(09-APR-2025 19:57:58)
192 , ANTIQUE,11/10/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
192 , ANTIQUE,16/06/2021 00:00:00, 	(09-APR-2025 19:57:58)
192 , ANTIQUE,16/02/2021 00:00:00, 	(09-APR-2025 19:57:58)
149 , ACEGRAL,11/10/2022 00:00:00, 	(09-APR-2025 19:57:58)
149 , ACEGRAL,16/06/2021 00:00:00, 	(09-APR-2025 19:57:58)
149 , ACEGRAL,16/02/2021 00:00:00, 	(09-APR-2025 19:57:58)
38 , KAJARIA,30/11/2020 00:00:00, 	(09-APR-2025 19:57:58)
222 , GASGROWS,11/10/2022 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
222 , GASGROWS,07/05/2020 00:00:00, 	(09-APR-2025 19:57:58)
39 , SISECAM,09/06/2021 00:00:00, 	(09-APR-2025 19:57:58)
40 , ATPL,17/12/2020 00:00:00, 	(09-APR-2025 19:57:58)
41 , OPAL,28/07/2021 00:00:00, 	(09-APR-2025 19:57:58)
234 , JKPAPER,02/08/2021 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
263 , STL,25/08/2021 00:00:00, 	(09-APR-2025 19:57:58)	 (Not Inserted)
