

<<START>>,<<FMS_COUNTERPARTY_MST>>,,,, 	(25-FEB-2025 16:06:57)
 
CD,ABBR,EFF_DT,TIMESTAMP
1 , RIL,14/09/2008 00:00:00 	(25-FEB-2025 16:06:57)
2 , MGL,16/07/2009 00:00:00 	(25-FEB-2025 16:06:57)
3 , GSPCL,24/03/2005 00:00:00 	(25-FEB-2025 16:06:57)
4 , Gail,08/03/2007 00:00:00 	(25-FEB-2025 16:06:57)
282 , BPL,09/04/2010 00:00:00 	(25-FEB-2025 16:06:57)
282 , BPL,09/12/2022 00:00:00 	(25-FEB-2025 16:06:57)
283 , EPL,09/04/2010 00:00:00 	(25-FEB-2025 16:06:57)
283 , EPL,09/12/2022 00:00:00 	(25-FEB-2025 16:06:57)
217 , ESL,01/04/2006 00:00:00 	(25-FEB-2025 16:06:57)	 (Not Inserted)
217 , ESL,09/12/2022 00:00:00 	(25-FEB-2025 16:06:57)
5 , NTPC,01/06/2006 00:00:00 	(25-FEB-2025 16:06:57)
6 , KRIBHCO,05/12/2007 00:00:00 	(25-FEB-2025 16:06:57)
7 , DFPCL,03/12/2007 00:00:00 	(25-FEB-2025 16:06:57)
8 , AIGL,22/07/2009 00:00:00 	(25-FEB-2025 16:06:57)
218 , ESEZ,04/04/2008 00:00:00 	(25-FEB-2025 16:06:57)	 (Not Inserted)
284 , KSFL,20/12/2007 00:00:00 	(25-FEB-2025 16:06:57)
242 , MAHAGENCO,16/04/2008 00:00:00 	(25-FEB-2025 16:06:57)	 (Not Inserted)
249 , NPL,28/02/2008 00:00:00 	(25-FEB-2025 16:06:57)	 (Not Inserted)
9 , SIGIL,11/10/2022 00:00:00 	(25-FEB-2025 16:06:57)
9 , SIGIL,01/04/2009 00:00:00 	(25-FEB-2025 16:06:57)
225 , VIL,12/12/2007 00:00:00 	(25-FEB-2025 16:06:57)	 (Not Inserted)
285 , VSIL,23/05/2009 00:00:00 	(25-FEB-2025 16:06:57)
10 , GGCL,11/05/2012 00:00:00 	(25-FEB-2025 16:06:57)
11 , TPL,04/08/2012 00:00:00 	(25-FEB-2025 16:06:57)
280 , WMSL,31/05/2011 00:00:00 	(25-FEB-2025 16:06:57)	 (Not Inserted)
12 , MNGL,20/06/2013 00:00:00 	(25-FEB-2025 16:06:57)
13 , IGL,04/02/2011 00:00:00 	(25-FEB-2025 16:06:57)
14 , BPCL,24/07/2014 00:00:00 	(25-FEB-2025 16:06:57)
269 , TEL,06/08/2014 00:00:00 	(25-FEB-2025 16:06:57)	 (Not Inserted)
15 , HPCL,17/11/2010 00:00:00 	(25-FEB-2025 16:06:57)
16 , JSW,11/10/2022 00:00:00 	(25-FEB-2025 16:06:57)
16 , JSW,25/11/2014 00:00:00 	(25-FEB-2025 16:06:57)
17 , BGL,11/10/2022 00:00:00 	(25-FEB-2025 16:06:57)
17 , BGL,28/07/2016 00:00:00 	(25-FEB-2025 16:06:57)
18 , GSFC,14/03/2016 00:00:00 	(25-FEB-2025 16:06:57)
228 , H-Energy,14/11/2016 00:00:00 	(25-FEB-2025 16:06:57)	 (Not Inserted)
160 , SIMPL,11/10/2022 00:00:00 	(25-FEB-2025 16:06:57)
160 , SIMPL,14/11/2016 00:00:00 	(25-FEB-2025 16:06:57)
19 , ATGL,11/10/2022 00:00:00 	(25-FEB-2025 16:06:57)
19 , ATGL,13/01/2017 00:00:00 	(25-FEB-2025 16:06:57)
20 , AMNS,26/08/2006 00:00:00 	(25-FEB-2025 16:06:57)
286 , SEMTPL,28/07/2017 00:00:00 	(25-FEB-2025 16:06:57)
21 , SGIPL,28/11/2017 00:00:00 	(25-FEB-2025 16:06:57)
22 , VGL,03/07/2019 00:00:00 	(25-FEB-2025 16:06:57)
23 , PGPGPL,28/04/2021 00:00:00 	(25-FEB-2025 16:06:57)
23 , PGPGPL,01/04/2021 00:00:00 	(25-FEB-2025 16:06:57)
287 , PGPL,04/10/2019 00:00:00 	(25-FEB-2025 16:06:57)
24 , HCG,02/12/2019 00:00:00 	(25-FEB-2025 16:06:57)
25 , GGL,09/12/2019 00:00:00 	(25-FEB-2025 16:06:57)
26 , CFC,01/01/2020 00:00:00 	(25-FEB-2025 16:06:57)
27 , IFFCO,01/01/2020 00:00:00 	(25-FEB-2025 16:06:57)
28 , HGL-RLNG,01/02/2020 00:00:00 	(25-FEB-2025 16:06:57)
29 , PipeInfra,11/10/2022 00:00:00 	(25-FEB-2025 16:06:57)
29 , PipeInfra,01/01/2020 00:00:00 	(25-FEB-2025 16:06:57)
30 , NFL,01/05/2020 00:00:00 	(25-FEB-2025 16:06:57)
31 , HSIL,01/05/2020 00:00:00 	(25-FEB-2025 16:06:57)
288 , VVF,01/05/2020 00:00:00 	(25-FEB-2025 16:06:57)
288 , VVF,14/07/2022 00:00:00 	(25-FEB-2025 16:06:57)
32 , KFL,23/07/2020 00:00:00 	(25-FEB-2025 16:06:57)
197 , BIL,25/06/2020 00:00:00 	(25-FEB-2025 16:06:57)	 (Not Inserted)
254 , RIPL,19/11/2020 00:00:00 	(25-FEB-2025 16:06:57)	 (Not Inserted)
207 , CP,15/10/2020 00:00:00 	(25-FEB-2025 16:06:57)	 (Not Inserted)
289 , HHFG DLNG,26/10/2020 00:00:00 	(25-FEB-2025 16:06:57)
187 , VIDUWIL,01/01/2021 00:00:00 	(25-FEB-2025 16:06:57)
33 , AGP CGD,25/01/2021 00:00:00 	(25-FEB-2025 16:06:57)
34 , MINDA,29/01/2021 00:00:00 	(25-FEB-2025 16:06:57)
238 , LEIPL,04/11/2020 00:00:00 	(25-FEB-2025 16:06:57)	 (Not Inserted)
35 , SCHOTT,24/02/2020 00:00:00 	(25-FEB-2025 16:06:57)
36 , HIL,01/01/2021 00:00:00 	(25-FEB-2025 16:06:57)
37 , HCGD-B,01/04/2021 00:00:00 	(25-FEB-2025 16:06:57)
198 , BIPL,21/07/2020 00:00:00 	(25-FEB-2025 16:06:57)	 (Not Inserted)
220 , EXXARO,23/06/2021 00:00:00 	(25-FEB-2025 16:06:57)	 (Not Inserted)
220 , EXXARO,29/05/2021 00:00:00 	(25-FEB-2025 16:06:57)
257 , STVPL,11/10/2022 00:00:00 	(25-FEB-2025 16:06:58)	 (Not Inserted)
257 , STVPL,18/02/2021 00:00:00 	(25-FEB-2025 16:06:58)
233 , JGPL,11/10/2022 00:00:00 	(25-FEB-2025 16:06:58)	 (Not Inserted)
233 , JGPL,18/02/2021 00:00:00 	(25-FEB-2025 16:06:58)
279 , WALLCERA,17/02/2021 00:00:00 	(25-FEB-2025 16:06:58)	 (Not Inserted)
193 , ASTIS,11/10/2022 00:00:00 	(25-FEB-2025 16:06:58)	 (Not Inserted)
193 , ASTIS,17/02/2021 00:00:00 	(25-FEB-2025 16:06:58)
109 , PROTON,11/10/2022 00:00:00 	(25-FEB-2025 16:06:58)
109 , PROTON,16/06/2021 00:00:00 	(25-FEB-2025 16:06:58)
109 , PROTON,16/02/2021 00:00:00 	(25-FEB-2025 16:06:58)
192 , ANTIQUE,11/10/2022 00:00:00 	(25-FEB-2025 16:06:58)	 (Not Inserted)
192 , ANTIQUE,16/06/2021 00:00:00 	(25-FEB-2025 16:06:58)
192 , ANTIQUE,16/02/2021 00:00:00 	(25-FEB-2025 16:06:58)
290 , ACER,11/10/2022 00:00:00 	(25-FEB-2025 16:06:58)
290 , ACER,16/06/2021 00:00:00 	(25-FEB-2025 16:06:58)
290 , ACER,16/02/2021 00:00:00 	(25-FEB-2025 16:06:58)
38 , KAJARIA,30/11/2020 00:00:00 	(25-FEB-2025 16:06:58)
222 , GASGROWS,11/10/2022 00:00:00 	(25-FEB-2025 16:06:58)	 (Not Inserted)
222 , GASGROWS,07/05/2020 00:00:00 	(25-FEB-2025 16:06:58)
39 , SISECAM,09/06/2021 00:00:00 	(25-FEB-2025 16:06:58)
40 , ATPL,17/12/2020 00:00:00 	(25-FEB-2025 16:06:58)
41 , OPAL,28/07/2021 00:00:00 	(25-FEB-2025 16:06:58)
234 , JKPAPER,02/08/2021 00:00:00 	(25-FEB-2025 16:06:58)	 (Not Inserted)
263 , STL,25/08/2021 00:00:00 	(25-FEB-2025 16:06:58)	 (Not Inserted)
273 , UEPL,11/10/2022 00:00:00 	(25-FEB-2025 16:06:58)	 (Not Inserted)
273 , UEPL,03/09/2021 00:00:00 	(25-FEB-2025 16:06:58)
206 , CELLO,01/12/2021 00:00:00 	(25-FEB-2025 16:06:58)	 (Not Inserted)
204 , CALDERYS,11/10/2022 00:00:00 	(25-FEB-2025 16:06:58)	 (Not Inserted)
204 , CALDERYS,20/12/2021 00:00:00 	(25-FEB-2025 16:06:58)
42 , RCF,30/12/2021 00:00:00 	(25-FEB-2025 16:06:58)
201 , BWRL,25/01/2022 00:00:00 	(25-FEB-2025 16:06:58)	 (Not Inserted)
235 , KRYO,11/10/2022 00:00:00 	(25-FEB-2025 16:06:58)	 (Not Inserted)
235 , KRYO,31/01/2022 00:00:00 	(25-FEB-2025 16:06:58)
