

<<START>>,<<FMS_METER_MST>>,,,,, 	(12-MAR-2025 11:59:26)
 
COMPANY_CD,CD,ABBR,PLANT_SEQ,METER_TYPE,METER_SEQ,TIMESTAMP
2,29 , PipeInfra , 1 , R , 1, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,29 , PipeInfra , 1 , R , 2, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,29 , PipeInfra , 1 , R , 3, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,29 , PipeInfra , 1 , R , 4, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,45 , GSPL , 1 , R , 1, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2 ,45 , GSPL , 1 , R , 2, 	(12-MAR-2025 11:59:27)
2 ,45 , GSPL , 1 , R , 3, 	(12-MAR-2025 11:59:27)
2,45 , GSPL , 2 , R , 1, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2 ,45 , GSPL , 2 , R , 2, 	(12-MAR-2025 11:59:27)
2,45 , GSPL , 3 , R , 1, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,45 , GSPL , 4 , R , 1, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,45 , GSPL , 4 , R , 2, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,4 , Gail , 1 , R , 1, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,4 , Gail , 1 , R , 2, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,4 , Gail , 1 , R , 3, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,4 , Gail , 6 , R , 1, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,4 , Gail , 6 , R , 2, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,4 , Gail , 6 , R , 3, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,4 , Gail , 6 , R , 4, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,4 , Gail , 10 , R , 1, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,29 , PipeInfra , 2 , R , 1, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,29 , PipeInfra , 2 , R , 2, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,29 , PipeInfra , 2 , R , 3, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,29 , PipeInfra , 5 , R , 1, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,29 , PipeInfra , 5 , R , 2, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,29 , PipeInfra , 5 , R , 3, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,29 , PipeInfra , 3 , R , 1, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,29 , PipeInfra , 3 , R , 2, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,29 , PipeInfra , 3 , R , 3, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,4 , Gail , 9 , R , 1, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,4 , Gail , 9 , R , 2, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2, , PARK-ANK , 1 , R , 1, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2, , PARK-ANK , 1 , R , 3, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2, , PARK-ANK , 2 , R , 1, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,53 , RGPL , 1 , R , 1, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2,53 , RGPL , 1 , R , 1, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2, , PARK-MSK , 1 , R , 1, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
2, , PARK-BHD , 1 , R , 1, 	(12-MAR-2025 11:59:27)	 (Not Inserted)
