

<<START>>,<<FMS_SUPPLY_AGMT_LIABILITY>>,, 	(20-SEP-2025 12:45:01)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,TIMESTAMP,
2,255 , F , 1,0,, 	(20-SEP-2025 12:45:01)
2,54 , F , 1,0,, 	(20-SEP-2025 12:45:01)	 (Not Inserted)
2,55 , F , 1,0,, 	(20-SEP-2025 12:45:01)	 (Not Inserted)
2,56 , F , 1,0,, 	(20-SEP-2025 12:45:01)	 (Not Inserted)
2,59 , F , 1,0,, 	(20-SEP-2025 12:45:01)	 (Not Inserted)
2,61 , F , 1,0,, 	(20-SEP-2025 12:45:01)	 (Not Inserted)
2,63 , F , 1,0,, 	(20-SEP-2025 12:45:01)	 (Not Inserted)
2,65 , F , 1,0,, 	(20-SEP-2025 12:45:01)	 (Not Inserted)
2,77 , F , 1,0,, 	(20-SEP-2025 12:45:01)
2,144 , F , 1,0,, 	(20-SEP-2025 12:45:01)	 (Not Inserted)
2,92 , F , 1,0,, 	(20-SEP-2025 12:45:01)	 (Not Inserted)
2,92 , F , 2,0,, 	(20-SEP-2025 12:45:01)	 (Not Inserted)
2,104 , F , 1,0,, 	(20-SEP-2025 12:45:01)	 (Not Inserted)
2,104 , F , 2,0,, 	(20-SEP-2025 12:45:01)	 (Not Inserted)
2,162 , F , 1,0,, 	(20-SEP-2025 12:45:01)	 (Not Inserted)
2,278 , F , 1,0,, 	(20-SEP-2025 12:45:01)	 (Not Inserted)
2,108 , F , 1,0,, 	(20-SEP-2025 12:45:01)
2,183 , F , 1,0,, 	(20-SEP-2025 12:45:01)	 (Not Inserted)
2,184 , F , 1,0,, 	(20-SEP-2025 12:45:01)	 (Not Inserted)
2,118 , F , 1,0,, 	(20-SEP-2025 12:45:01)
2,130 , F , 1,0,, 	(20-SEP-2025 12:45:01)	 (Not Inserted)

TOTAL DATA IN EXCEL : ,95,,,,,, 	(20-SEP-2025 12:45:01)
 

TOTAL DATA INSERTED : ,5,,,,,, 	(20-SEP-2025 12:45:01)
 

TOTAL SKIPPED DATA ,90,,,,,, 	(20-SEP-2025 12:45:01)
 
<<END>>,<<FMS_SUPPLY_AGMT_LIABILITY>>,,,,,, 	(20-SEP-2025 12:45:01)
 
