

<<START>>,<<FMS_SUPPLY_BILLING_DTL>>,, 	(02-MAY-2025 16:02:14)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONT_TYPE,EFF_DT,TIMESTAMP,
2,3,1,3,27,0,S,17/11/2007 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,49,0,S,07/01/2009 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,50,0,S,16/01/2009 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,51,0,S,16/02/2009 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,52,0,S,04/03/2009 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,53,0,S,14/03/2009 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,54,0,S,28/03/2009 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,55,0,S,10/04/2009 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,56,0,S,28/04/2009 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,57,0,S,01/09/2009 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,11,1,S,16/02/2007 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,11,2,S,16/02/2007 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,11,3,S,16/02/2007 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,75,1,S,20/11/2010 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,75,3,S,20/11/2010 00:00:00,1 	(02-MAY-2025 16:02:15)
2,1,2,0,19,0,S,01/09/2010 00:00:00,1 	(02-MAY-2025 16:02:15)
2,1,2,0,20,0,S,26/09/2010 00:00:00,1 	(02-MAY-2025 16:02:15)
2,1,2,0,24,0,S,21/01/2011 00:00:00,1 	(02-MAY-2025 16:02:15)
2,1,2,0,25,0,S,21/02/2011 00:00:00,1 	(02-MAY-2025 16:02:15)
2,1,2,0,26,0,S,20/03/2011 00:00:00,1 	(02-MAY-2025 16:02:15)
2,1,2,0,27,0,S,14/05/2011 00:00:00,2 	(02-MAY-2025 16:02:15)
2,1,2,0,27,1,S,14/05/2011 00:00:00,2 	(02-MAY-2025 16:02:15)
2,1,2,0,28,0,S,20/06/2011 00:00:00,1 	(02-MAY-2025 16:02:15)
2,1,2,0,28,1,S,20/06/2011 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,67,3,S,01/03/2011 00:00:00,1 	(02-MAY-2025 16:02:15)
2,1,2,0,25,1,S,21/02/2011 00:00:00,1 	(02-MAY-2025 16:02:15)
2,1,2,0,24,1,S,21/01/2011 00:00:00,1 	(02-MAY-2025 16:02:15)
2,1,2,0,24,2,S,21/01/2011 00:00:00,1 	(02-MAY-2025 16:02:15)
2,1,2,0,27,3,S,14/05/2011 00:00:00,2 	(02-MAY-2025 16:02:15)
2,1,2,0,29,0,S,01/09/2011 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,67,4,S,01/03/2011 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,77,1,S,22/07/2011 00:00:00,1 	(02-MAY-2025 16:02:15)
2,2,2,0,1,1,S,17/08/2011 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,68,1,S,08/08/2011 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,69,1,S,12/10/2011 00:00:00,1 	(02-MAY-2025 16:02:15)
2,2,2,0,2,0,S,16/12/2011 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,78,0,S,18/01/2012 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,78,1,S,18/01/2012 00:00:00,1 	(02-MAY-2025 16:02:15)
2,2,2,0,3,0,S,01/02/2012 00:00:00,1 	(02-MAY-2025 16:02:15)
2,1,2,0,30,0,S,02/02/2012 00:00:00,1 	(02-MAY-2025 16:02:15)
2,2,2,0,4,0,S,16/02/2012 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,70,1,S,02/03/2012 00:00:00,1 	(02-MAY-2025 16:02:15)
2,1,2,0,31,0,S,06/03/2012 00:00:00,1 	(02-MAY-2025 16:02:15)
2,11,1,0,1,0,S,07/08/2012 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,81,2,S,04/04/2013 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,82,0,S,15/05/2013 00:00:00,1 	(02-MAY-2025 16:02:15)
2,280,1,0,1,0,S,19/05/2013 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,82,1,S,15/05/2013 00:00:00,1 	(02-MAY-2025 16:02:15)
2,280,1,0,1,1,S,19/05/2013 00:00:00,1 	(02-MAY-2025 16:02:15)
2,280,1,0,2,0,S,01/06/2013 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,83,0,S,24/06/2013 00:00:00,1 	(02-MAY-2025 16:02:15)
2,12,1,0,1,0,S,01/07/2013 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,84,0,S,18/08/2013 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,84,1,S,18/08/2013 00:00:00,1 	(02-MAY-2025 16:02:15)
2,1,2,1,35,0,S,04/10/2013 00:00:00,1 	(02-MAY-2025 16:02:15)
2,280,1,0,3,0,S,06/11/2013 00:00:00,1 	(02-MAY-2025 16:02:15)
2,2,3,0,2,0,S,01/11/2013 00:00:00,1 	(02-MAY-2025 16:02:15)
2,12,1,0,3,0,S,01/12/2013 00:00:00,1 	(02-MAY-2025 16:02:15)
2,280,1,0,4,0,S,09/12/2013 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,86,1,S,16/11/2013 00:00:00,1 	(02-MAY-2025 16:02:15)
2,1,2,1,37,0,S,26/02/2014 00:00:00,1 	(02-MAY-2025 16:02:15)
2,13,1,0,3,0,S,01/03/2014 00:00:00,1 	(02-MAY-2025 16:02:15)
2,13,1,0,3,1,S,01/03/2014 00:00:00,1 	(02-MAY-2025 16:02:15)
2,2,3,0,6,0,S,01/06/2014 00:00:00,1 	(02-MAY-2025 16:02:15)
2,1,2,1,41,0,S,14/07/2014 00:00:00,1 	(02-MAY-2025 16:02:15)
2,1,2,1,41,1,S,14/07/2014 00:00:00,1 	(02-MAY-2025 16:02:15)
2,269,1,0,3,0,S,26/08/2014 00:00:00,1 	(02-MAY-2025 16:02:15)
2,14,1,0,2,0,S,07/08/2014 00:00:00,1 	(02-MAY-2025 16:02:15)
2,14,1,0,3,0,S,16/08/2014 00:00:00,1 	(02-MAY-2025 16:02:15)
2,14,1,0,2,1,S,07/08/2014 00:00:00,1 	(02-MAY-2025 16:02:15)
2,2,3,0,9,0,S,01/10/2014 00:00:00,1 	(02-MAY-2025 16:02:15)
2,15,1,0,1,0,S,16/09/2014 00:00:00,1 	(02-MAY-2025 16:02:15)
2,1,2,1,43,0,S,01/10/2014 00:00:00,1 	(02-MAY-2025 16:02:15)
2,2,3,0,10,0,S,16/10/2014 00:00:00,1 	(02-MAY-2025 16:02:15)
2,269,1,0,4,0,S,10/11/2014 00:00:00,1 	(02-MAY-2025 16:02:15)
2,14,1,0,5,1,S,01/12/2014 00:00:00,1 	(02-MAY-2025 16:02:15)
2,15,1,0,4,0,S,01/12/2014 00:00:00,1 	(02-MAY-2025 16:02:15)
2,14,1,0,4,0,S,29/10/2014 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,89,0,S,15/12/2014 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,89,1,S,15/12/2014 00:00:00,1 	(02-MAY-2025 16:02:15)
2,11,1,0,2,0,S,07/01/2015 00:00:00,1 	(02-MAY-2025 16:02:15)
2,269,1,0,5,0,S,18/02/2015 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,91,0,S,22/02/2015 00:00:00,1 	(02-MAY-2025 16:02:15)
2,14,1,0,7,0,S,16/05/2015 00:00:00,1 	(02-MAY-2025 16:02:15)
2,2,3,0,13,0,S,16/03/2015 00:00:00,1 	(02-MAY-2025 16:02:15)
2,15,1,0,6,0,S,21/03/2015 00:00:00,1 	(02-MAY-2025 16:02:15)
2,14,1,0,6,0,S,01/04/2015 00:00:00,1 	(02-MAY-2025 16:02:15)
2,14,1,0,7,1,S,16/05/2015 00:00:00,1 	(02-MAY-2025 16:02:15)
2,14,1,0,8,0,S,01/08/2015 00:00:00,1 	(02-MAY-2025 16:02:15)
2,15,1,0,7,0,S,01/06/2015 00:00:00,1 	(02-MAY-2025 16:02:15)
2,15,1,0,8,0,S,16/06/2015 00:00:00,1 	(02-MAY-2025 16:02:15)
2,2,4,0,1,0,S,16/07/2015 00:00:00,1 	(02-MAY-2025 16:02:15)
2,15,1,1,11,0,S,01/01/2016 00:00:00,1 	(02-MAY-2025 16:02:15)
2,15,1,2,13,1,S,01/03/2016 00:00:00,1 	(02-MAY-2025 16:02:15)
2,15,1,2,12,0,S,01/02/2016 00:00:00,2 	(02-MAY-2025 16:02:15)
2,2,4,0,3,0,S,16/03/2016 00:00:00,1 	(02-MAY-2025 16:02:15)
2,14,1,0,12,0,S,16/03/2016 00:00:00,1 	(02-MAY-2025 16:02:15)
2,14,1,0,12,1,S,16/03/2016 00:00:00,1 	(02-MAY-2025 16:02:15)
2,15,1,2,14,0,S,01/06/2016 00:00:00,1 	(02-MAY-2025 16:02:15)
2,2,4,0,4,0,S,16/05/2016 00:00:00,1 	(02-MAY-2025 16:02:15)
2,15,2,0,1,0,S,01/07/2016 00:00:00,1 	(02-MAY-2025 16:02:15)
2,17,1,0,1,0,S,01/08/2016 00:00:00,1 	(02-MAY-2025 16:02:15)
2,2,5,0,1,0,S,01/08/2016 00:00:00,1 	(02-MAY-2025 16:02:15)
2,2,5,0,2,0,S,16/09/2016 00:00:00,1 	(02-MAY-2025 16:02:15)
2,18,1,0,2,0,S,01/09/2016 00:00:00,1 	(02-MAY-2025 16:02:15)
2,2,5,0,3,0,S,01/11/2016 00:00:00,1 	(02-MAY-2025 16:02:15)
2,13,2,0,1,0,S,01/11/2016 00:00:00,1 	(02-MAY-2025 16:02:15)
2,13,2,0,1,1,S,01/11/2016 00:00:00,1 	(02-MAY-2025 16:02:15)
2,13,2,0,2,0,S,16/11/2016 00:00:00,1 	(02-MAY-2025 16:02:15)
2,15,2,0,3,0,S,01/12/2016 00:00:00,1 	(02-MAY-2025 16:02:15)
2,15,2,0,4,0,S,18/12/2016 00:00:00,1 	(02-MAY-2025 16:02:15)
2,160,1,0,1,0,S,01/12/2016 00:00:00,1 	(02-MAY-2025 16:02:15)
2,13,2,0,2,1,S,16/11/2016 00:00:00,1 	(02-MAY-2025 16:02:15)
2,228,1,0,1,0,S,01/12/2016 00:00:00,1 	(02-MAY-2025 16:02:15)
2,20,1,0,3,0,S,13/04/2017 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,97,0,S,12/07/2018 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,95,0,S,12/04/2018 00:00:00,1 	(02-MAY-2025 16:02:15)
2,154,1,0,1,0,S,01/05/2018 00:00:00,1 	(02-MAY-2025 16:02:15)
2,21,1,0,4,0,S,01/04/2019 00:00:00,1 	(02-MAY-2025 16:02:15)
2,21,1,0,1,0,S,01/02/2019 00:00:00,1 	(02-MAY-2025 16:02:15)
2,21,1,0,1,1,S,01/02/2019 00:00:00,1 	(02-MAY-2025 16:02:15)
2,21,1,0,2,0,S,01/03/2019 00:00:00,1 	(02-MAY-2025 16:02:15)
2,21,1,0,3,0,S,01/04/2019 00:00:00,1 	(02-MAY-2025 16:02:15)
2,15,2,0,5,0,S,05/04/2019 00:00:00,1 	(02-MAY-2025 16:02:15)
2,12,1,0,5,0,S,01/04/2019 00:00:00,1 	(02-MAY-2025 16:02:15)
2,2,6,0,1,1,S,01/05/2019 00:00:00,1 	(02-MAY-2025 16:02:15)
2,12,1,0,4,2,S,01/03/2019 00:00:00,1 	(02-MAY-2025 16:02:15)
2,2,6,0,1,0,S,01/05/2019 00:00:00,1 	(02-MAY-2025 16:02:15)
2,4,2,1,1,0,S,16/06/2019 00:00:00,1 	(02-MAY-2025 16:02:15)
2,4,2,1,2,0,S,16/07/2019 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,101,0,S,14/08/2019 00:00:00,1 	(02-MAY-2025 16:02:15)
2,21,1,0,8,0,S,01/08/2019 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,100,1,S,26/07/2019 00:00:00,1 	(02-MAY-2025 16:02:15)
2,21,1,0,9,0,S,01/09/2019 00:00:00,1 	(02-MAY-2025 16:02:15)
2,22,1,0,1,0,S,01/09/2019 00:00:00,1 	(02-MAY-2025 16:02:15)
2,21,1,0,10,0,S,01/10/2019 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,101,1,S,14/08/2019 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,102,1,S,01/10/2019 00:00:00,1 	(02-MAY-2025 16:02:15)
2,14,1,0,5,3,S,01/12/2014 00:00:00,1 	(02-MAY-2025 16:02:15)
2,1,2,1,44,0,S,01/02/2015 00:00:00,1 	(02-MAY-2025 16:02:15)
2,14,1,0,5,4,S,01/12/2014 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,90,0,S,07/02/2015 00:00:00,1 	(02-MAY-2025 16:02:15)
2,15,1,0,5,0,S,13/02/2015 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,91,1,S,22/02/2015 00:00:00,1 	(02-MAY-2025 16:02:15)
2,14,1,0,10,0,S,01/11/2015 00:00:00,1 	(02-MAY-2025 16:02:15)
2,14,1,0,8,1,S,01/08/2015 00:00:00,1 	(02-MAY-2025 16:02:15)
2,15,1,0,9,0,S,01/09/2015 00:00:00,2 	(02-MAY-2025 16:02:15)
2,14,1,0,9,0,S,16/10/2015 00:00:00,1 	(02-MAY-2025 16:02:15)
2,15,1,0,10,0,S,19/10/2015 00:00:00,2 	(02-MAY-2025 16:02:15)
2,14,1,0,9,1,S,16/10/2015 00:00:00,1 	(02-MAY-2025 16:02:15)
2,2,4,0,2,0,S,01/02/2016 00:00:00,1 	(02-MAY-2025 16:02:15)
2,15,1,2,12,1,S,01/02/2016 00:00:00,2 	(02-MAY-2025 16:02:15)
2,14,1,0,11,0,S,10/02/2016 00:00:00,1 	(02-MAY-2025 16:02:15)
2,15,1,2,13,0,S,01/03/2016 00:00:00,1 	(02-MAY-2025 16:02:15)
2,14,1,0,11,1,S,10/02/2016 00:00:00,1 	(02-MAY-2025 16:02:15)
2,14,1,0,13,0,S,01/07/2016 00:00:00,1 	(02-MAY-2025 16:02:15)
2,15,2,0,1,1,S,01/07/2016 00:00:00,1 	(02-MAY-2025 16:02:15)
2,15,2,0,2,0,S,01/08/2016 00:00:00,1 	(02-MAY-2025 16:02:15)
2,14,1,0,13,1,S,01/07/2016 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,92,0,S,16/01/2017 00:00:00,1 	(02-MAY-2025 16:02:15)
2,13,2,0,3,0,S,01/03/2017 00:00:00,1 	(02-MAY-2025 16:02:15)
2,13,2,0,4,0,S,01/04/2017 00:00:00,1 	(02-MAY-2025 16:02:15)
2,20,1,0,2,0,S,12/03/2017 00:00:00,1 	(02-MAY-2025 16:02:15)
2,20,1,0,1,0,S,10/03/2017 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,93,0,S,08/09/2017 00:00:00,1 	(02-MAY-2025 16:02:15)
2,13,2,0,4,1,S,01/04/2017 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,94,0,S,12/09/2017 00:00:00,1 	(02-MAY-2025 16:02:15)
2,13,2,0,5,0,S,01/01/2018 00:00:00,1 	(02-MAY-2025 16:02:15)
2,20,1,0,4,0,S,27/02/2018 00:00:00,1 	(02-MAY-2025 16:02:15)
2,20,1,0,5,0,S,03/03/2018 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,96,0,S,01/06/2018 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,98,0,S,06/08/2018 00:00:00,1 	(02-MAY-2025 16:02:15)
2,12,1,0,4,0,S,01/03/2019 00:00:00,1 	(02-MAY-2025 16:02:15)
2,21,1,0,5,0,S,01/05/2019 00:00:00,1 	(02-MAY-2025 16:02:15)
2,12,1,0,4,1,S,01/03/2019 00:00:00,1 	(02-MAY-2025 16:02:15)
2,21,1,0,6,0,S,01/06/2019 00:00:00,1 	(02-MAY-2025 16:02:15)
2,21,1,0,1,2,S,01/02/2019 00:00:00,1 	(02-MAY-2025 16:02:15)
2,21,1,0,7,0,S,01/07/2019 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,99,0,S,18/06/2019 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,100,0,S,26/07/2019 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,100,2,S,26/07/2019 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,102,0,S,01/10/2019 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,102,2,S,01/10/2019 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,102,3,S,01/10/2019 00:00:00,1 	(02-MAY-2025 16:02:15)
2,,1,0,1,0,S,01/11/2019 00:00:00, 	(02-MAY-2025 16:02:15)	 (Not Inserted)
2,25,1,0,2,0,S,01/05/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,25,1,0,1,0,S,01/01/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,103,0,S,01/01/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,154,1,0,2,0,S,01/01/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,2,6,0,2,0,S,04/01/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,,1,0,2,0,S,01/01/2020 00:00:00, 	(02-MAY-2025 16:02:15)	 (Not Inserted)
2,21,1,0,11,0,S,01/01/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,18,1,0,3,0,S,01/01/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,104,0,S,05/01/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,2,6,0,2,1,S,04/01/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,21,1,0,12,0,S,01/02/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,105,0,S,11/01/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,20,1,0,6,1,S,20/01/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,20,1,0,6,0,S,20/01/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,4,2,1,3,0,S,24/01/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,4,2,1,3,1,S,24/01/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,4,2,1,4,0,S,28/01/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,4,2,1,4,1,S,28/01/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,13,2,0,6,0,S,01/02/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,18,1,0,4,0,S,01/02/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,13,2,0,7,0,S,01/03/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,2,6,0,3,0,S,01/03/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,18,1,0,4,1,S,01/02/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,18,1,0,4,2,S,01/02/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,13,2,0,8,1,S,16/04/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,20,1,0,7,0,S,23/03/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,13,2,0,10,0,S,01/06/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,2,6,0,4,0,S,01/04/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,154,1,0,3,0,S,01/04/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,154,1,0,2,1,S,01/01/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,3,1,3,106,0,S,05/03/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,13,2,0,8,0,S,16/04/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,,1,0,3,0,S,01/05/2020 00:00:00, 	(02-MAY-2025 16:02:15)	 (Not Inserted)
2,31,1,0,1,1,S,16/05/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,18,1,0,5,0,S,01/05/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,13,2,0,9,0,S,01/05/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,18,1,0,3,1,S,01/01/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,20,1,0,6,2,S,20/01/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,18,1,0,4,3,S,01/02/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,13,2,0,7,1,S,01/03/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
2,2,6,0,3,1,S,01/03/2020 00:00:00,1 	(02-MAY-2025 16:02:15)
