

<<START>>,<<FMS_SECTOR_MST>>, 	(25-FEB-2025 14:38:17)
 
ABBR,,TIMESTAMP
MANGANESE,, 	(25-FEB-2025 14:38:18)
STONE QUARRYING,, 	(25-FEB-2025 14:38:18)
MINING MISCELLANEOUS,, 	(25-FEB-2025 14:38:18)
POST & TELEGRAPHS,, 	(25-FEB-2025 14:38:18)
STATE ELEC. BOARDS,, 	(25-FEB-2025 14:38:18)
CATERING & HOTELS,, 	(25-FEB-2025 14:38:18)
UNIVERSITIES ETC,, 	(25-FEB-2025 14:38:18)
LAUNDRIES,, 	(25-FEB-2025 14:38:18)
REFINERIES,, 	(25-FEB-2025 14:38:18)
TPP-OIL,, 	(25-FEB-2025 14:38:18)
HYDEL POWER PLANTS,, 	(25-FEB-2025 14:38:18)
ATOMIC POWER PLANTS,, 	(25-FEB-2025 14:38:18)
GAS TURBINES,, 	(25-FEB-2025 14:38:18)
POWER MISCELLANEOUS,, 	(25-FEB-2025 14:38:18)
RAILWAYS,, 	(25-FEB-2025 14:38:18)
OTHER ROAD TRANSPORT,, 	(25-FEB-2025 14:38:18)
STATE ROAD TRANSPORT,, 	(25-FEB-2025 14:38:18)
SHIP. COASTAL,, 	(25-FEB-2025 14:38:18)
SHIP. INTERNATIONAL,, 	(25-FEB-2025 14:38:18)
INLAND WATERWAYS,, 	(25-FEB-2025 14:38:18)
OTHERS (PORT TRUST),, 	(25-FEB-2025 14:38:18)
DOMESTIC DIST.,, 	(25-FEB-2025 14:38:18)
INDUSTRIAL DIST.,, 	(25-FEB-2025 14:38:18)
OWN CONSUMPTION,, 	(25-FEB-2025 14:38:18)
PARALLEL MARKETERS,, 	(25-FEB-2025 14:38:18)
TEA PLANTATION,, 	(25-FEB-2025 14:38:18)
RUBBER/COFFEE ETC,, 	(25-FEB-2025 14:38:18)
FORESTRY&TIMBER,, 	(25-FEB-2025 14:38:18)
AGRI.CROPS/ORCHARD,, 	(25-FEB-2025 14:38:18)
SUGAR MILLS,, 	(25-FEB-2025 14:38:18)
FLOUR MILLS ETC,, 	(25-FEB-2025 14:38:18)
VEG. OIL MILLS,, 	(25-FEB-2025 14:38:18)
FOOD PROCESSING,, 	(25-FEB-2025 14:38:18)
DAIRIES&MILK PROC,, 	(25-FEB-2025 14:38:18)
FISHERIES,, 	(25-FEB-2025 14:38:18)
AGRI. MISCELLANEOUS,, 	(25-FEB-2025 14:38:18)
DOMESTIC AIRLINES,, 	(25-FEB-2025 14:38:18)
FOREIGN AIRLINES,, 	(25-FEB-2025 14:38:18)
DAIRIES&MILK PROC,, 	(25-FEB-2025 14:38:18)	 (Not Inserted)
