

<<START>>,<<FMS_ENTITY_REQ_DTL>>,,,, 	(25-FEB-2025 17:54:08)
 
COMPANY_CD,CD,ABBR,SEQ,ENTITY,TIMESTAMP
2 , 1 , RIL , C , 3 , 14/09/2008 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 1 , RIL , C , 3 , 16/02/2017 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 1 , RIL , C , 3 , 16/06/2017 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 1 , RIL , C , 4 , 14/09/2008 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 1 , RIL , C , 4 , 16/02/2017 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 1 , RIL , C , 5 , 14/09/2008 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 1 , RIL , C , 5 , 16/02/2017 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 1 , RIL , C , 6 , 14/09/2008 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 1 , RIL , C , 6 , 24/04/2009 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 1 , RIL , C , 7 , 24/04/2009 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 1 , RIL , C , 7 , 01/04/2011 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 1 , RIL , C , 7 , 16/02/2017 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 1 , RIL , C , 7 , 16/06/2017 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 1 , RIL , C , 7 , 10/01/2018 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 1 , RIL , C , 7 , 21/01/2018 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 1 , RIL , C , 7 , 31/01/2018 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 1 , RIL , C , 7 , 29/05/2018 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 1 , RIL , C , 8 , 01/01/2013 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 1 , RIL , C , 8 , 16/02/2017 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 1 , RIL , C , 9 , 01/09/2013 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 1 , RIL , C , 9 , 16/02/2017 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 1 , RIL , C , 10 , 26/09/2013 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 1 , RIL , C , 11 , 01/01/2017 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 1 , RIL , C , 11 , 01/03/2017 00:00:00, 	(25-FEB-2025 17:54:09)
2 , 1 , RIL , C , 12 , 01/01/2017 00:00:00, 	(25-FEB-2025 17:54:09)
