

<<START>>,<<FMS_CARGO_SVC_CONT_MST>>,,,, 	(04-APR-2025 10:24:49)
 
COMPANY_CD,CD,ENTITY_TYPE,CONT_NO,CONTRACT_TYPE,TIMESTAMP
2,null, S, 325001, Y, 	(04-APR-2025 10:24:49)	 (Not Inserted)
2,126, S, 325001, Y, 	(04-APR-2025 10:24:49)
2,264, S, 325002, Y, 	(04-APR-2025 10:24:49)
2,null, H, 125001, H, 	(04-APR-2025 10:24:49)	 (Not Inserted)
2,null, H, 125001, H, 	(04-APR-2025 10:24:49)	 (Not Inserted)
2,null, H, 125001, H, 	(04-APR-2025 10:24:49)	 (Not Inserted)
2,265, H, 125001, H, 	(04-APR-2025 10:24:49)

TOTAL DATA IN EXCEL : 7 	(04-APR-2025 10:24:49)
 

TOTAL DATA INSERTED : 3 	(04-APR-2025 10:24:49)
 

TOTAL SKIPPED DATA 4 	(04-APR-2025 10:24:49)
 
<<END>><<FMS_CARGO_SVC_MST>> 	(04-APR-2025 10:24:49)
 
