

<<START>>,<<FMS_TRUCK_DRIVER_LINK>>,,, 	(28-MAY-2025 11:31:18)
 
ENT_PROFILE,TRUCK_CD,DRIVER_CD,EFF_DT,TIMESTAMP,
2,110,,05/03/2021 00:00:00, 	(28-MAY-2025 11:31:18)	 (Not Inserted)
2,20,209,16/03/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,109,44,22/03/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,16,,22/03/2021 00:00:00, 	(28-MAY-2025 11:31:18)	 (Not Inserted)
2,22,72,27/03/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,79,67,30/03/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,50,73,31/03/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,80,162,01/04/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,19,,02/04/2021 00:00:00, 	(28-MAY-2025 11:31:18)	 (Not Inserted)
2,20,44,02/04/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,53,67,05/04/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,109,74,05/04/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,80,45,08/04/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,110,212,09/04/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,20,74,10/04/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,109,44,10/04/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,16,,13/04/2021 00:00:00, 	(28-MAY-2025 11:31:18)	 (Not Inserted)
2,20,44,16/04/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,25,75,20/04/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,109,76,21/04/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,20,77,23/04/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,110,213,24/04/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,20,78,26/04/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,1,114,30/04/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,79,67,03/05/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,53,114,11/05/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,54,,11/05/2021 00:00:00, 	(28-MAY-2025 11:31:18)	 (Not Inserted)
2,109,77,12/05/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,109,115,12/05/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,16,,13/05/2021 00:00:00, 	(28-MAY-2025 11:31:18)	 (Not Inserted)
2,109,78,14/05/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,20,78,19/05/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,20,77,19/05/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,20,78,22/05/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,109,78,24/05/2021 00:00:00, 	(28-MAY-2025 11:31:18)
2,20,77,24/05/2021 00:00:00, 	(28-MAY-2025 11:31:18)
