

<<START>>,<<FMS_AGMT_MST>>,, 	(20-SEP-2025 12:44:03)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,TIMESTAMP,
2,48:BGEPL , F,0,1, 	(20-SEP-2025 12:44:03)	 (Not Inserted)
2,49:VVF India , F,0,1, 	(20-SEP-2025 12:44:03)	 (Not Inserted)
2,50:GNFC , F,0,1, 	(20-SEP-2025 12:44:03)	 (Not Inserted)
2,52:GLIL , F,0,1, 	(20-SEP-2025 12:44:03)	 (Not Inserted)
2,255:SGI-AP,F,0,1, 	(20-SEP-2025 12:44:03)
2,54:GFCL , F,0,1, 	(20-SEP-2025 12:44:03)	 (Not Inserted)
2,55:CPL , F,0,1, 	(20-SEP-2025 12:44:03)	 (Not Inserted)
2,56:IRM , F,0,1, 	(20-SEP-2025 12:44:03)	 (Not Inserted)
2,59:INPEROX , F,0,1, 	(20-SEP-2025 12:44:03)	 (Not Inserted)
2,61:EFSPL , F,0,1, 	(20-SEP-2025 12:44:03)	 (Not Inserted)
2,63:GOAGLSF , F,0,1, 	(20-SEP-2025 12:44:03)	 (Not Inserted)
2,65:PEFORCV , F,0,1, 	(20-SEP-2025 12:44:03)	 (Not Inserted)
2,77:HCGKCEP,F,0,1, 	(20-SEP-2025 12:44:03)
2,144:HINAGIL , F,0,1, 	(20-SEP-2025 12:44:03)	 (Not Inserted)
2,92:NEL , F,0,1, 	(20-SEP-2025 12:44:03)	 (Not Inserted)
2,92:NEL , F,0,2, 	(20-SEP-2025 12:44:03)	 (Not Inserted)
2,104:TASTELI , F,0,1, 	(20-SEP-2025 12:44:03)	 (Not Inserted)
2,104:TASTELI , F,0,2, 	(20-SEP-2025 12:44:03)	 (Not Inserted)
2,162:BOROREN , F,0,1, 	(20-SEP-2025 12:44:03)	 (Not Inserted)
2,278:SEMTEXP , F,0,1, 	(20-SEP-2025 12:44:03)	 (Not Inserted)
2,108:GRINDUS,F,0,1, 	(20-SEP-2025 12:44:03)
2,183:SUMGLAS , F,0,1, 	(20-SEP-2025 12:44:03)	 (Not Inserted)
2,184:SVTPLIN , F,0,1, 	(20-SEP-2025 12:44:03)	 (Not Inserted)
2,118:LANCOKO,F,0,1, 	(20-SEP-2025 12:44:03)
2,130:CRMNDEL , F,0,1, 	(20-SEP-2025 12:44:03)	 (Not Inserted)

TOTAL DATA IN EXCEL : ,95,,,,,, 	(20-SEP-2025 12:44:03)
 

TOTAL DATA INSERTED : ,5,,,,,, 	(20-SEP-2025 12:44:03)
 

TOTAL SKIPPED DATA ,90,,,,,, 	(20-SEP-2025 12:44:03)
 
<<END>>,<<FMS_AGMT_MST>>,,,,,, 	(20-SEP-2025 12:44:03)
 

<<START>>,<<FMS_AGMT_TRANSPTR>>,, 	(20-SEP-2025 12:44:14)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,TRANSPORTER_CD,PLANT_SEQ_NO,TIMESTAMP,
2,1,,0,2,45,1, 	(20-SEP-2025 12:44:14)	 (Not Inserted)
2,1,,0,2,29,1, 	(20-SEP-2025 12:44:14)	 (Not Inserted)
2,1,,0,2,4,1, 	(20-SEP-2025 12:44:14)	 (Not Inserted)
2,1,,0,3,45,1, 	(20-SEP-2025 12:44:14)	 (Not Inserted)
2,1,,0,3,29,1, 	(20-SEP-2025 12:44:14)	 (Not Inserted)
2,1,,0,3,4,1, 	(20-SEP-2025 12:44:14)	 (Not Inserted)
2,1,,0,2,4,1, 	(20-SEP-2025 12:44:14)	 (Not Inserted)
2,1,,0,2,29,1, 	(20-SEP-2025 12:44:14)	 (Not Inserted)
2,1,,0,2,45,1, 	(20-SEP-2025 12:44:14)	 (Not Inserted)
2,1,,0,3,45,1, 	(20-SEP-2025 12:44:14)	 (Not Inserted)
2,1,,0,3,29,1, 	(20-SEP-2025 12:44:14)	 (Not Inserted)
2,1,,0,3,4,1, 	(20-SEP-2025 12:44:14)	 (Not Inserted)
2,1,,0,2,29,1, 	(20-SEP-2025 12:44:14)	 (Not Inserted)
2,1,,0,2,4,1, 	(20-SEP-2025 12:44:14)	 (Not Inserted)
2,1,,0,2,45,1, 	(20-SEP-2025 12:44:14)	 (Not Inserted)
2,1,,0,2,45,1, 	(20-SEP-2025 12:44:14)	 (Not Inserted)
2,1,,0,2,29,1, 	(20-SEP-2025 12:44:14)	 (Not Inserted)
2,1,,0,2,4,1, 	(20-SEP-2025 12:44:14)	 (Not Inserted)
2,1,,0,2,4,1, 	(20-SEP-2025 12:44:14)	 (Not Inserted)
2,1,,0,2,45,1, 	(20-SEP-2025 12:44:14)	 (Not Inserted)
2,1,,0,2,29,1, 	(20-SEP-2025 12:44:14)	 (Not Inserted)
2,1,,0,2,29,1, 	(20-SEP-2025 12:44:14)	 (Not Inserted)
