

<<START>>,<<FMS_GTA_CONT_MST>>,, 	(28-AUG-2025 10:33:06)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,CONT_NAME,CONT_REF,CUSTOMER_CD,ENT_PT,EXIT_PT,AGMT_TYPE,TIMESTAMP,
2,4 , 1,0,35,0,C,Gail-SEIPL-GTA1-REV0 C35-REV0,1-1-1601-292L5-0-1-0-2,18,1,2,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,36,0,C,Gail-SEIPL-GTA1-REV0 C36-REV0,1-1-1601-1211L3-0-1-0-1,67,1,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,37,0,C,Gail-SEIPL-GTA1-REV0 C37-REV0,1-1-1603-721,41,3,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,38,0,C,Gail-SEIPL-GTA1-REV0 C38-REV0,1-1-1601-1032L5-0-1-0-2,57,1,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,39,0,C,Gail-SEIPL-GTA1-REV0 C39-REV0,1-1-1603-811,5,3,5,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,40,0,C,Gail-SEIPL-GTA1-REV0 C40-REV0,1-1-1603-701S1-0-8-0-1,39,3,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,41,0,C,Gail-SEIPL-GTA1-REV0 C41-REV0,1-1-1601-701S1-0-8-0-1,39,1,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,42,0,C,Gail-SEIPL-GTA1-REV0 C42-REV0,1-1-1604-1101S1-0-4-1-1,63,4,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,43,0,C,Gail-SEIPL-GTA1-REV0 C43-REV0,1-1-1601-1101,63,1,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,44,0,C,Gail-SEIPL-GTA1-REV0 C44-REV0,1-1-1608-701S1-0-8-0-1,39,8,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,45,0,C,Gail-SEIPL-GTA1-REV0 C45-REV0,1-1-1604-1101S1-0-4-0-1,63,4,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,46,0,C,Gail-SEIPL-GTA1-REV0 C46-REV0,1-1-1604-810L128-0-1-0-10,5,4,4,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,47,0,C,Gail-SEIPL-GTA1-REV0 C47-REV0,1-1-1604-89L128-0-1-0-9,5,4,3,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,48,0,C,Gail-SEIPL-GTA1-REV0 C48-REV0,1-1-1604-1101S1-0-3-0-1,63,4,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,49,0,C,Gail-SEIPL-GTA1-REV0 C49-REV0,1-1-1601-381S1-0-9-0-1,24,1,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,50,0,C,Gail-SEIPL-GTA1-REV0 C50-REV0,1-1-1603-381S1-0-7-0-1,24,3,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,51,0,C,Gail-SEIPL-GTA1-REV0 C51-REV0,1-1-1601-381S1-0-7-0-1,24,1,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,52,0,C,Gail-SEIPL-GTA1-REV0 C52-REV0,1-1-1603-381S1-0-8-0-1,24,3,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,53,0,C,Gail-SEIPL-GTA1-REV0 C53-REV0,1-1-1604-1141S2-0-1-0-1,104,4,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,54,0,C,Gail-SEIPL-GTA1-REV0 C54-REV0,1-1-1601-1361S1-0-3-0-1,162,1,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,55,0,C,Gail-SEIPL-GTA1-REV0 C55-REV0,1-1-1603-1361S1-0-3-0-1,162,3,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,56,0,C,Gail-SEIPL-GTA1-REV0 C56-REV0,1-1-1601-1361S1-0-2-0-1,162,1,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,57,0,C,Gail-SEIPL-GTA1-REV0 C57-REV0,1-1-1601-82L133-0-1-0-2,5,1,2,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,58,0,C,Gail-SEIPL-GTA1-REV0 C58-REV0,1-1-1601-81L133-0-1-0-1,5,1,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,59,0,C,Gail-SEIPL-GTA1-REV0 C59-REV0,1-1-1604-83,5,4,3,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,60,0,C,Gail-SEIPL-GTA1-REV0 C60-REV0,1-1-1604-83,5,4,3,G, 	(28-AUG-2025 10:33:07)	 (Not Inserted)
2,4 , 1,0,61,0,C,Gail-SEIPL-GTA1-REV0 C61-REV0,1-1-1604-89L134-0-1-0-9,5,4,3,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,62,0,C,Gail-SEIPL-GTA1-REV0 C62-REV0,1-1-1604-1471S1-0-1-0-1,144,4,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,63,0,C,Gail-SEIPL-GTA1-REV0 C63-REV0,1-1-1607-701S1-0-8-0-1,39,7,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,64,0,C,Gail-SEIPL-GTA1-REV0 C64-REV0,1-1-1604-542S1-0-5-0-2,34,4,2,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,65,0,C,Gail-SEIPL-GTA1-REV0 C65-REV0,1-1-1603-371S1-0-14-0-1,23,3,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,66,0,C,Gail-SEIPL-GTA1-REV0 C66-REV0,1-1-1604-542S1-0-3-1-2,34,4,2,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,67,0,C,Gail-SEIPL-GTA1-REV0 C67-REV0,1-1-1603-372S1-0-14-0-2,23,3,2,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,68,0,C,Gail-SEIPL-GTA1-REV0 C68-REV0,1-1-1601-371S1-0-14-0-1,23,1,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,69,0,C,Gail-SEIPL-GTA1-REV0 C69-REV0,1-1-1601-372S1-0-14-0-2,23,1,2,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,70,0,C,Gail-SEIPL-GTA1-REV0 C70-REV0,1-1-1603-381S1-0-6-0-1,24,3,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,71,0,C,Gail-SEIPL-GTA1-REV0 C71-REV0,1-1-1604-721L20-0-1-0-1,41,4,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,72,0,C,Gail-SEIPL-GTA1-REV0 C72-REV0,1-1-1604-1011S1-0-4-0-1,55,4,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,73,0,C,Gail-SEIPL-GTA1-REV0 C73-REV0,1-1-1603-391S1-0-5-0-1,25,3,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,74,0,C,Gail-SEIPL-GTA1-REV0 C74-REV0,1-1-1604-811L128-0-1-0-11,5,4,5,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,75,0,C,Gail-SEIPL-GTA1-REV0 C75-REV0,1-1-1604-88L128-0-1-0-8,5,4,2,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,76,0,C,Gail-SEIPL-GTA1-REV0 C76-REV0,1-1-1604-87L128-0-1-0-7,5,4,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,77,0,C,Gail-SEIPL-GTA1-REV0 C77-REV0,1-1-1606-702S1-0-8-0-2,39,6,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,78,0,C,Gail-SEIPL-GTA1-REV0 C78-REV0,1-1-1603-851S1-0-3-0-1,47,3,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,79,0,C,Gail-SEIPL-GTA1-REV0 C79-REV0,1-1-1604-263S2-0-20-0-3,15,4,3,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,80,0,C,Gail-SEIPL-GTA1-REV0 C80-REV0,1-1-1601-810,5,1,4,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,81,0,C,Gail-SEIPL-GTA1-REV0 C81-REV0,1-1-1603-810,5,3,4,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,82,0,C,Gail-SEIPL-GTA1-REV0 C82-REV0,1-1-1604-261,15,4,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,83,0,C,Gail-SEIPL-GTA1-REV0 C83-REV0,1-1-1604-1132L6-0-1-0-2,105,4,2,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,84,0,C,Gail-SEIPL-GTA1-REV0 C84-REV0,1-1-1603-851S1-0-2-0-1,47,3,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,85,0,C,Gail-SEIPL-GTA1-REV0 C85-REV0,1-1-1604-851,47,4,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,86,0,C,Gail-SEIPL-GTA1-REV0 C86-REV0,1-1-1604-333S1-0-35-0-3,20,4,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,87,0,C,Gail-SEIPL-GTA1-REV0 C87-REV0,1-1-1604-334S1-0-33-0-4,20,4,4,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,88,0,C,Gail-SEIPL-GTA1-REV0 C88-REV0,1-1-1603-1361S1-0-1-0-1,162,3,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,89,0,C,Gail-SEIPL-GTA1-REV0 C89-REV0,1-1-1603-87,5,3,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,90,0,C,Gail-SEIPL-GTA1-REV0 C90-REV0,1-1-1603-88,5,3,2,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,91,0,C,Gail-SEIPL-GTA1-REV0 C91-REV0,1-1-1604-721L18-0-1-0-1,41,4,1,G, 	(28-AUG-2025 10:33:07)
2,4 , 1,0,92,0,C,Gail-SEIPL-GTA1-REV0 C92-REV0,1-1-1601-82L126-0-1-0-2,5,1,2,G, 	(28-AUG-2025 10:33:07)
