

<<START>>,<<FMS_AGMT_PLANT>>,, 	(19-MAY-2025 12:38:00)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,PLANT_SEQ_NO,TIMESTAMP,
2,1 , RIL,,0,2,5, 	(19-MAY-2025 12:38:00)
2,1 , RIL,,0,3,1, 	(19-MAY-2025 12:38:00)
2,1 , RIL,,1,2,4, 	(19-MAY-2025 12:38:00)
2,1 , RIL,,1,2,5, 	(19-MAY-2025 12:38:00)
2,1 , RIL,,0,2,4, 	(19-MAY-2025 12:38:00)
2,1 , RIL,,0,1,3, 	(19-MAY-2025 12:38:00)
2,1 , RIL,,0,2,6, 	(19-MAY-2025 12:38:00)
2,1 , RIL,,0,1,2, 	(19-MAY-2025 12:38:00)
2,1 , RIL,,1,2,2, 	(19-MAY-2025 12:38:00)
2,1 , RIL,,1,2,3, 	(19-MAY-2025 12:38:00)
2,1 , RIL,,0,2,2, 	(19-MAY-2025 12:38:00)
2,1 , RIL,,0,2,3, 	(19-MAY-2025 12:38:00)
2,1 , RIL,,1,2,6, 	(19-MAY-2025 12:38:00)
2,1 , RIL,,1,2,1, 	(19-MAY-2025 12:38:00)
2,1 , RIL,,0,3,8, 	(19-MAY-2025 12:38:00)
2,1 , RIL,,0,2,1, 	(19-MAY-2025 12:38:00)
2,2 , MGL,,0,6,1, 	(19-MAY-2025 12:38:00)
2,2 , MGL,,0,2,1, 	(19-MAY-2025 12:38:00)
2,2 , MGL,,0,3,1, 	(19-MAY-2025 12:38:00)
2,2 , MGL,,0,4,1, 	(19-MAY-2025 12:38:00)
2,2 , MGL,,1,6,1, 	(19-MAY-2025 12:38:00)
2,2 , MGL,,0,1,1, 	(19-MAY-2025 12:38:00)
2,2 , MGL,,2,6,1, 	(19-MAY-2025 12:38:00)
2,2 , MGL,,2,6,1, 	(19-MAY-2025 12:38:00)	 (Not Inserted)
2,2 , MGL,,0,5,1, 	(19-MAY-2025 12:38:00)
2,3 , GSPCL,,3,1,1, 	(19-MAY-2025 12:38:00)
2,3 , GSPCL,,0,1,1, 	(19-MAY-2025 12:38:00)
2,3 , GSPCL,,2,1,1, 	(19-MAY-2025 12:38:00)
2,3 , GSPCL,,1,1,1, 	(19-MAY-2025 12:38:00)
2,3 , GSPCL,,4,1,1, 	(19-MAY-2025 12:38:00)
2,3 , GSPCL,,0,2,1, 	(19-MAY-2025 12:38:00)
2,4 , Gail,,0,2,1, 	(19-MAY-2025 12:38:00)
2,4 , Gail,,1,2,1, 	(19-MAY-2025 12:38:00)
2,4 , Gail,,0,1,1, 	(19-MAY-2025 12:38:00)
