

<<START>>,<<FMS_PUR_SG_INV_MST>>,,,,,,,,,,,,,,,,,, 	(02-MAY-2025 12:46:31)
2,270, 1, 0, 725005,0, N, 1, 1,10,22/03/2007 00:00:00, 23/03/2007 00:00:00, 3, 2006-2007,PF,0,16,T0012016,8.234, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725005,0, N, 1, 1,10,22/03/2007 00:00:00, 23/03/2007 00:00:00, 3, 2006-2007,F,0,16,T0012024,8.234, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725005,0, N, 1, 1,10,22/03/2007 00:00:00, 23/03/2007 00:00:00, 3, 2006-2007,CP,0,16,T0012016,8.234, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725002,0, N, 1, 1,10,26/04/2006 00:00:00, 27/04/2006 00:00:00, 4, 2006-2007,P,0,16,T0010045,8, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725002,0, N, 1, 1,10,26/04/2006 00:00:00, 27/04/2006 00:00:00, 4, 2006-2007,PF,0,16,T0010045,8, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725002,0, N, 1, 1,10,26/04/2006 00:00:00, 27/04/2006 00:00:00, 4, 2006-2007,F,0,16,T0010567,8, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725002,0, N, 1, 1,10,26/04/2006 00:00:00, 27/04/2006 00:00:00, 4, 2006-2007,CP,0,16,T0010045,8, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725006,0, N, 1, 1,10,04/05/2007 00:00:00, 05/05/2007 00:00:00, 1, 2007-2008,P,0,16,T0012231,7.4, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725006,0, N, 1, 1,10,04/05/2007 00:00:00, 05/05/2007 00:00:00, 1, 2007-2008,PF,0,16,T0012231,7.4, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725006,0, N, 1, 1,10,04/05/2007 00:00:00, 05/05/2007 00:00:00, 1, 2007-2008,F,0,16,T0012401,7.4, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725006,0, N, 1, 1,10,04/05/2007 00:00:00, 05/05/2007 00:00:00, 1, 2007-2008,CP,0,16,T0012231,7.4, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725006,0, N, 1, 1,10,04/05/2007 00:00:00, 05/05/2007 00:00:00, 1, 2007-2008,CF,0,16,T0012401,7.4, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725010,0, N, 1, 1,10,14/10/2007 00:00:00, 15/10/2007 00:00:00, 2, 2007-2008,P,0,16,T0013340,9.5, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725010,0, N, 1, 1,10,14/10/2007 00:00:00, 15/10/2007 00:00:00, 2, 2007-2008,PF,0,16,T0013340,9.5, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725010,0, N, 1, 1,10,14/10/2007 00:00:00, 15/10/2007 00:00:00, 2, 2007-2008,F,0,16,T0013474,9.5, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725010,0, N, 1, 1,10,14/10/2007 00:00:00, 15/10/2007 00:00:00, 2, 2007-2008,CP,0,16,T0013340,9.5, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725010,0, N, 1, 1,10,14/10/2007 00:00:00, 15/10/2007 00:00:00, 2, 2007-2008,CF,0,16,T0013474,9.5, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725007,0, N, 1, 1,10,21/08/2007 00:00:00, 22/08/2007 00:00:00, 3, 2007-2008,P,0,16,T0012997,8.23, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725007,0, N, 1, 1,10,21/08/2007 00:00:00, 22/08/2007 00:00:00, 3, 2007-2008,PF,0,16,T0012997,8.23, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725007,0, N, 1, 1,10,21/08/2007 00:00:00, 22/08/2007 00:00:00, 3, 2007-2008,F,0,16,T0013037,8.23, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725007,0, N, 1, 1,10,21/08/2007 00:00:00, 22/08/2007 00:00:00, 3, 2007-2008,CP,0,16,T0012997,8.23, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725013,0, N, 1, 1,10,25/02/2008 00:00:00, 25/02/2008 00:00:00, 4, 2007-2008,P,0,16,T0014385,13.5, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725013,0, N, 1, 1,10,25/02/2008 00:00:00, 25/02/2008 00:00:00, 4, 2007-2008,PF,0,16,T0014385,13.5, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725013,0, N, 1, 1,10,25/02/2008 00:00:00, 25/02/2008 00:00:00, 4, 2007-2008,F,0,16,T0014399,13.5, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725013,0, N, 1, 1,10,25/02/2008 00:00:00, 25/02/2008 00:00:00, 4, 2007-2008,CP,0,16,T0014385,13.5, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725013,0, N, 1, 1,10,25/02/2008 00:00:00, 25/02/2008 00:00:00, 3, 2007-2008,CF,0,16,T0014399,13.5, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725009,0, N, 1, 1,10,25/09/2007 00:00:00, 26/09/2007 00:00:00, 5, 2007-2008,P,0,16,T0013259,8.85, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725009,0, N, 1, 1,10,25/09/2007 00:00:00, 26/09/2007 00:00:00, 5, 2007-2008,PF,0,16,T0013259,8.85, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725009,0, N, 1, 1,10,25/09/2007 00:00:00, 26/09/2007 00:00:00, 5, 2007-2008,F,0,16,T0013261,8.85, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725009,0, N, 1, 1,10,25/09/2007 00:00:00, 26/09/2007 00:00:00, 5, 2007-2008,CP,0,16,T0013259,8.85, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725011,0, N, 1, 1,10,26/10/2007 00:00:00, 27/10/2007 00:00:00, 6, 2007-2008,P,0,16,T0013471,12.25, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725011,0, N, 1, 1,10,26/10/2007 00:00:00, 27/10/2007 00:00:00, 6, 2007-2008,PF,0,16,T0013471,12.25, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725011,0, N, 1, 1,10,26/10/2007 00:00:00, 27/10/2007 00:00:00, 6, 2007-2008,F,0,16,T0013490,12.25, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725011,0, N, 1, 1,10,26/10/2007 00:00:00, 27/10/2007 00:00:00, 6, 2007-2008,CP,0,16,T0013471,12.25, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725008,0, N, 1, 1,10,27/08/2007 00:00:00, 28/08/2007 00:00:00, 7, 2007-2008,P,0,16,T0013012,7.48, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725008,0, N, 1, 1,10,27/08/2007 00:00:00, 28/08/2007 00:00:00, 7, 2007-2008,PF,0,16,T0013012,7.48, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725008,0, N, 1, 1,10,27/08/2007 00:00:00, 28/08/2007 00:00:00, 7, 2007-2008,F,0,16,T0013095,7.48, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725008,0, N, 1, 1,10,27/08/2007 00:00:00, 28/08/2007 00:00:00, 7, 2007-2008,CP,0,16,T0013012,7.48, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725012,0, N, 1, 1,10,30/01/2008 00:00:00, 30/01/2008 00:00:00, 8, 2007-2008,P,0,16,T0013961,16.75, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725012,0, N, 1, 1,10,30/01/2008 00:00:00, 30/01/2008 00:00:00, 8, 2007-2008,PF,0,16,T0013961,16.75, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725012,0, N, 1, 1,10,30/01/2008 00:00:00, 30/01/2008 00:00:00, 8, 2007-2008,F,0,16,T0014067,16.75, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725024,0, N, 1, 1,10,01/03/2009 00:00:00, 01/03/2009 00:00:00, 1, 2008-2009,P,0,16,T0017320,5.65, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725024,0, N, 1, 1,10,01/03/2009 00:00:00, 01/03/2009 00:00:00, 1, 2008-2009,PF,0,16,T0017320,5.65, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725024,0, N, 1, 1,10,01/03/2009 00:00:00, 01/03/2009 00:00:00, 1, 2008-2009,F,0,16,T0017326,5.65, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725024,0, N, 1, 1,10,01/03/2009 00:00:00, 01/03/2009 00:00:00, 1, 2008-2009,CP,0,16,T0017320,5.65, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725024,0, N, 1, 1,10,01/03/2009 00:00:00, 01/03/2009 00:00:00, 1, 2008-2009,CF,0,16,T0017326,5.65, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725025,0, N, 1, 1,10,11/03/2009 00:00:00, 11/03/2009 00:00:00, 2, 2008-2009,P,0,16,T0017398,4.3, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725025,0, N, 1, 1,10,11/03/2009 00:00:00, 11/03/2009 00:00:00, 2, 2008-2009,PF,0,16,T0017398,4.3, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725025,0, N, 1, 1,10,11/03/2009 00:00:00, 11/03/2009 00:00:00, 2, 2008-2009,F,0,16,T0017538,4.3, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725025,0, N, 1, 1,10,11/03/2009 00:00:00, 11/03/2009 00:00:00, 2, 2008-2009,CP,0,16,T0017398,4.3, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725022,0, N, 1, 1,10,12/09/2008 00:00:00, 12/09/2008 00:00:00, 3, 2008-2009,P,0,16,T0015816,20.5, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725022,0, N, 1, 1,10,12/09/2008 00:00:00, 12/09/2008 00:00:00, 3, 2008-2009,PF,0,16,T0015816,20.5, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725022,0, N, 1, 1,10,12/09/2008 00:00:00, 12/09/2008 00:00:00, 3, 2008-2009,F,0,16,T0016017,20.5, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725022,0, N, 1, 1,10,12/09/2008 00:00:00, 12/09/2008 00:00:00, 3, 2008-2009,CP,0,16,T0015816,20.5, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725022,0, N, 1, 1,10,12/09/2008 00:00:00, 12/09/2008 00:00:00, 2, 2008-2009,CF,0,16,T0016017,20.5, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725019,0, N, 1, 1,10,13/07/2008 00:00:00, 13/07/2008 00:00:00, 4, 2008-2009,P,0,16,T0015530,19.55, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725019,0, N, 1, 1,10,13/07/2008 00:00:00, 13/07/2008 00:00:00, 4, 2008-2009,PF,0,16,T0015530,19.55, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725019,0, N, 1, 1,10,13/07/2008 00:00:00, 13/07/2008 00:00:00, 4, 2008-2009,F,0,16,T0015556,19.55, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725019,0, N, 1, 1,10,13/07/2008 00:00:00, 13/07/2008 00:00:00, 4, 2008-2009,CP,0,16,T0015530,19.55, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725019,0, N, 1, 1,10,13/07/2008 00:00:00, 13/07/2008 00:00:00, 3, 2008-2009,CF,0,16,T0015556,19.55, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725014,0, N, 1, 1,10,15/04/2008 00:00:00, 15/04/2008 00:00:00, 5, 2008-2009,P,0,16,T0014843,13.4, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725014,0, N, 1, 1,10,15/04/2008 00:00:00, 15/04/2008 00:00:00, 5, 2008-2009,PF,0,16,T0014843,13.4, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725014,0, N, 1, 1,10,15/04/2008 00:00:00, 15/04/2008 00:00:00, 5, 2008-2009,F,0,16,T0014859,13.4, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725014,0, N, 1, 1,10,15/04/2008 00:00:00, 15/04/2008 00:00:00, 5, 2008-2009,CP,0,16,T0014843,13.4, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725014,0, N, 1, 1,10,15/04/2008 00:00:00, 15/04/2008 00:00:00, 4, 2008-2009,CF,0,16,T0014859,13.4, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725017,0, N, 1, 1,10,15/05/2008 00:00:00, 15/05/2008 00:00:00, 6, 2008-2009,P,0,16,T0015056,13.59, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725017,0, N, 1, 1,10,15/05/2008 00:00:00, 15/05/2008 00:00:00, 6, 2008-2009,PF,0,16,T0015056,13.59, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725017,0, N, 1, 1,10,15/05/2008 00:00:00, 15/05/2008 00:00:00, 6, 2008-2009,F,0,16,T0015098,13.59, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725017,0, N, 1, 1,10,15/05/2008 00:00:00, 15/05/2008 00:00:00, 6, 2008-2009,CP,0,16,T0015056,13.59, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725017,0, N, 1, 1,10,15/05/2008 00:00:00, 15/05/2008 00:00:00, 5, 2008-2009,CF,0,16,T0015098,13.59, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725020,0, N, 1, 1,10,18/08/2008 00:00:00, 18/08/2008 00:00:00, 7, 2008-2009,P,0,16,T0015754,20.45, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725020,0, N, 1, 1,10,18/08/2008 00:00:00, 18/08/2008 00:00:00, 7, 2008-2009,PF,0,16,T0015754,20.45, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725020,0, N, 1, 1,10,18/08/2008 00:00:00, 18/08/2008 00:00:00, 7, 2008-2009,F,0,16,T0015791,20.45, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725020,0, N, 1, 1,10,18/08/2008 00:00:00, 18/08/2008 00:00:00, 7, 2008-2009,CP,0,16,T0015754,20.45, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725015,0, N, 1, 1,10,20/04/2008 00:00:00, 20/04/2008 00:00:00, 8, 2008-2009,P,0,16,T0014857,13.42, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725015,0, N, 1, 1,10,20/04/2008 00:00:00, 20/04/2008 00:00:00, 8, 2008-2009,PF,0,16,T0014857,13.42, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725015,0, N, 1, 1,10,20/04/2008 00:00:00, 20/04/2008 00:00:00, 8, 2008-2009,F,0,16,T0014872,13.42, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725015,0, N, 1, 1,10,20/04/2008 00:00:00, 20/04/2008 00:00:00, 8, 2008-2009,CP,0,16,T0014857,13.42, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725015,0, N, 1, 1,10,20/04/2008 00:00:00, 20/04/2008 00:00:00, 6, 2008-2009,CF,0,16,T0014872,13.42, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725016,0, N, 1, 1,10,24/04/2008 00:00:00, 24/04/2008 00:00:00, 9, 2008-2009,P,0,16,T0014864,13.42, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725016,0, N, 1, 1,10,24/04/2008 00:00:00, 24/04/2008 00:00:00, 9, 2008-2009,PF,0,16,T0014864,13.42, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725016,0, N, 1, 1,10,24/04/2008 00:00:00, 24/04/2008 00:00:00, 9, 2008-2009,F,0,16,T0014878,13.42, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725016,0, N, 1, 1,10,24/04/2008 00:00:00, 24/04/2008 00:00:00, 9, 2008-2009,CP,0,16,T0014864,13.42, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725016,0, N, 1, 1,10,24/04/2008 00:00:00, 24/04/2008 00:00:00, 7, 2008-2009,CF,0,16,T0014878,13.42, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725021,0, N, 1, 1,10,24/08/2008 00:00:00, 24/08/2008 00:00:00, 10, 2008-2009,P,0,16,T0015779,19.55, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725021,0, N, 1, 1,10,24/08/2008 00:00:00, 24/08/2008 00:00:00, 10, 2008-2009,PF,0,16,T0015779,19.55, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725021,0, N, 1, 1,10,24/08/2008 00:00:00, 24/08/2008 00:00:00, 10, 2008-2009,F,0,16,T0015793,19.55, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725021,0, N, 1, 1,10,24/08/2008 00:00:00, 24/08/2008 00:00:00, 10, 2008-2009,CP,0,16,T0015779,19.55, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725021,0, N, 1, 1,10,24/08/2008 00:00:00, 24/08/2008 00:00:00, 8, 2008-2009,CF,0,16,T0015793,19.55, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725023,0, N, 1, 1,10,28/02/2009 00:00:00, 28/02/2009 00:00:00, 11, 2008-2009,P,0,16,T0017321,4.5, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725023,0, N, 1, 1,10,28/02/2009 00:00:00, 28/02/2009 00:00:00, 11, 2008-2009,PF,0,16,T0017321,4.5, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725023,0, N, 1, 1,10,28/02/2009 00:00:00, 28/02/2009 00:00:00, 11, 2008-2009,F,0,16,T0017324,4.5, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725023,0, N, 1, 1,10,28/02/2009 00:00:00, 28/02/2009 00:00:00, 11, 2008-2009,CP,0,16,T0017321,4.5, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725023,0, N, 1, 1,10,28/02/2009 00:00:00, 28/02/2009 00:00:00, 9, 2008-2009,CF,0,16,T0017324,4.5, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725018,0, N, 1, 1,10,28/06/2008 00:00:00, 28/06/2008 00:00:00, 12, 2008-2009,P,0,16,T0015346,18.8, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725018,0, N, 1, 1,10,28/06/2008 00:00:00, 28/06/2008 00:00:00, 12, 2008-2009,PF,0,16,T0015346,18.8, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725018,0, N, 1, 1,10,28/06/2008 00:00:00, 28/06/2008 00:00:00, 12, 2008-2009,F,0,16,T0015349,18.8, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725018,0, N, 1, 1,10,28/06/2008 00:00:00, 28/06/2008 00:00:00, 12, 2008-2009,CP,0,16,T0015346,18.8, 	(02-MAY-2025 12:46:32)
2,270, 1, 0, 725018,0, N, 1, 1,10,28/06/2008 00:00:00, 28/06/2008 00:00:00, 10, 2008-2009,CF,0,16,T0015349,18.8, 	(02-MAY-2025 12:46:33)
2,270, 1, 0, 725026,0, N, 1, 1,10,30/03/2009 00:00:00, 30/03/2009 00:00:00, 13, 2008-2009,P,0,16,T0017561,4.3, 	(02-MAY-2025 12:46:33)
2,270, 1, 0, 725026,0, N, 1, 1,10,30/03/2009 00:00:00, 30/03/2009 00:00:00, 13, 2008-2009,PF,0,16,T0017561,4.3, 	(02-MAY-2025 12:46:33)
2,270, 1, 0, 725026,0, N, 1, 1,10,30/03/2009 00:00:00, 30/03/2009 00:00:00, 13, 2008-2009,F,0,16,T0017565,4.3, 	(02-MAY-2025 12:46:33)
2,270, 1, 0, 725026,0, N, 1, 1,10,30/03/2009 00:00:00, 30/03/2009 00:00:00, 13, 2008-2009,CP,0,16,T0017561,4.3, 	(02-MAY-2025 12:46:33)
2,270, 1, 0, 725026,0, N, 1, 1,10,30/03/2009 00:00:00, 30/03/2009 00:00:00, 11, 2008-2009,CF,0,16,T0017565,4.3, 	(02-MAY-2025 12:46:33)
2,270, 1, 0, 725028,0, N, 1, 1,10,25/03/2010 00:00:00, 25/03/2010 00:00:00, 1, 2009-2010,P,0,16,T0020669,4.45, 	(02-MAY-2025 12:46:33)
2,270, 1, 0, 725028,0, N, 1, 1,10,25/03/2010 00:00:00, 25/03/2010 00:00:00, 1, 2009-2010,PF,0,16,T0020669,4.45, 	(02-MAY-2025 12:46:33)
2,270, 1, 0, 725028,0, N, 1, 1,10,25/03/2010 00:00:00, 25/03/2010 00:00:00, 1, 2009-2010,F,0,16,T0020685,4.45, 	(02-MAY-2025 12:46:33)
2,270, 1, 0, 725028,0, N, 1, 1,10,25/03/2010 00:00:00, 25/03/2010 00:00:00, 1, 2009-2010,CP,0,16,T0020669,4.45, 	(02-MAY-2025 12:46:33)
2,270, 1, 0, 725028,0, N, 1, 1,10,25/03/2010 00:00:00, 25/03/2010 00:00:00, 1, 2009-2010,CF,0,16,T0020685,4.45, 	(02-MAY-2025 12:46:33)
2,270, 1, 0, 725027,0, N, 1, 1,10,28/07/2009 00:00:00, 28/07/2009 00:00:00, 2, 2009-2010,P,0,16,T0018517,4.45, 	(02-MAY-2025 12:46:33)
2,270, 1, 0, 725027,0, N, 1, 1,10,28/07/2009 00:00:00, 28/07/2009 00:00:00, 2, 2009-2010,PF,0,16,T0018517,4.45, 	(02-MAY-2025 12:46:33)
2,270, 1, 0, 725027,0, N, 1, 1,10,28/07/2009 00:00:00, 28/07/2009 00:00:00, 2, 2009-2010,F,0,16,T0018532,4.45, 	(02-MAY-2025 12:46:33)
2,270, 1, 0, 725027,0, N, 1, 1,10,28/07/2009 00:00:00, 28/07/2009 00:00:00, 2, 2009-2010,CP,0,16,T0018517,4.45, 	(02-MAY-2025 12:46:33)
2,270, 1, 0, 725029,0, N, 1, 1,10,05/07/2010 00:00:00, 05/07/2010 00:00:00, 1, 2010-2011,P,0,16,LNG_33,5.624, 	(02-MAY-2025 12:46:33)
2,270, 1, 0, 725029,0, N, 1, 1,10,05/07/2010 00:00:00, 05/07/2010 00:00:00, 1, 2010-2011,PF,0,16,LNG_33,5.624, 	(02-MAY-2025 12:46:33)
2,270, 1, 0, 725029,0, N, 1, 1,10,05/07/2010 00:00:00, 05/07/2010 00:00:00, 1, 2010-2011,F,0,16,T0021771,5.624, 	(02-MAY-2025 12:46:33)
2,270, 1, 0, 725029,0, N, 1, 1,10,05/07/2010 00:00:00, 05/07/2010 00:00:00, 1, 2010-2011,CP,0,16,LNG_33,5.624, 	(02-MAY-2025 12:46:33)
2,270, 1, 0, 725029,0, N, 1, 1,10,05/07/2010 00:00:00, 05/07/2010 00:00:00, 1, 2010-2011,CF,0,16,T0021771,5.624, 	(02-MAY-2025 12:46:33)
2,270, 1, 0, 725031,0, N, 1, 1,10,10/08/2010 00:00:00, 13/08/2010 00:00:00, 2, 2010-2011,P,0,16,T0023451,7.6604, 	(02-MAY-2025 12:46:33)
2,270, 1, 0, 725031,0, N, 1, 1,10,10/08/2010 00:00:00, 13/08/2010 00:00:00, 2, 2010-2011,PF,0,16,T0023451,7.6604, 	(02-MAY-2025 12:46:33)
2,270, 1, 0, 725031,0, N, 1, 1,10,10/08/2010 00:00:00, 13/08/2010 00:00:00, 2, 2010-2011,P,0,16,T-0025175,8.0886, 	(02-MAY-2025 12:46:33)	 (Not Inserted)
2,270, 1, 0, 725031,0, N, 1, 1,10,10/08/2010 00:00:00, 13/08/2010 00:00:00, 2, 2010-2011,PF,0,16,T-0025175,8.0886, 	(02-MAY-2025 12:46:33)	 (Not Inserted)
2,270, 1, 0, 725031,0, N, 1, 1,10,10/08/2010 00:00:00, 13/08/2010 00:00:00, 2, 2010-2011,P,0,16,T0025874,8.3003, 	(02-MAY-2025 12:46:33)	 (Not Inserted)
2,270, 1, 0, 725031,0, N, 1, 1,10,10/08/2010 00:00:00, 13/08/2010 00:00:00, 2, 2010-2011,PF,0,16,T0025874,8.3003, 	(02-MAY-2025 12:46:33)	 (Not Inserted)
