

<<START>>,<<FMS_ENTITY_TAX_STRUCT_DTL>>,,,,,, 	(09-APR-2025 19:49:16)
 
COMPANY_CD,CD,ABBR,ENTITY,PLANT_SEQ_NO,BU_UNIT,EFF_DT,TIMESTAMP
2,14 , BPCL , C , 3 , 2 , 01/04/2022 00:00:00, 	(09-APR-2025 19:49:16)
2,14 , BPCL , C , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)	 (Not Inserted)
2,14 , BPCL , C , 2 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,269 , TEL , C , 1 , 1 , 01/04/2008 00:00:00, 	(09-APR-2025 19:49:16)
2,15 , HPCL , C , 2 , 1 , 01/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,15 , HPCL , C , 4 , 1 , 01/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,15 , HPCL , C , 3 , 2 , 01/06/2021 00:00:00, 	(09-APR-2025 19:49:16)
2,15 , HPCL , C , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,15 , HPCL , C , 5 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,15 , HPCL , C , 3 , 2 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,15 , HPCL , C , 2 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)	 (Not Inserted)
2, , JSW-Salav , C , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)	 (Not Inserted)
2,17 , BGL , C , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,18 , GSFC , C , 1 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,18 , GSFC , C , 2 , 1 , 01/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,18 , GSFC , C , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)	 (Not Inserted)
2,228 , H-Energy , C , 2 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,228 , H-Energy , C , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)	 (Not Inserted)
2,160 , SIMPL , C , 2 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)	 (Not Inserted)
2,160 , SIMPL , C , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,19 , ATGL , C , 2 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,20 , AMNS , C , 1 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,20 , AMNS , C , 2 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,20 , AMNS , C , 1 , 1 , 01/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,20 , AMNS , C , 5 , 3 , 01/07/2024 00:00:00, 	(09-APR-2025 19:49:16)
2,20 , AMNS , C , 4 , 2 , 01/06/2021 00:00:00, 	(09-APR-2025 19:49:16)
2,20 , AMNS , C , 1 , 2 , 01/04/2022 00:00:00, 	(09-APR-2025 19:49:16)
2, , ESIL , C , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)	 (Not Inserted)
2,154 , SEMTPL , C , 2 , 1 , 01/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,154 , SEMTPL , C , 4 , 2 , 01/06/2021 00:00:00, 	(09-APR-2025 19:49:16)
2,154 , SEMTPL , C , 9 , 2 , 01/06/2021 00:00:00, 	(09-APR-2025 19:49:16)
2,154 , SEMTPL , C , 7 , 2 , 01/06/2021 00:00:00, 	(09-APR-2025 19:49:16)
2,154 , SEMTPL , C , 6 , 2 , 01/06/2021 00:00:00, 	(09-APR-2025 19:49:16)
2,154 , SEMTPL , C , 10 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,154 , SEMTPL , C , 8 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,154 , SEMTPL , C , 6 , 2 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,154 , SEMTPL , C , 5 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,154 , SEMTPL , C , 3 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,154 , SEMTPL , C , 4 , 2 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,154 , SEMTPL , C , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,21 , SGIPL , C , 5 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,21 , SGIPL , C , 3 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,21 , SGIPL , C , 1 , 1 , 01/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,21 , SGIPL , C , 6 , 2 , 01/04/2022 00:00:00, 	(09-APR-2025 19:49:16)
2,21 , SGIPL , C , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,21 , SGIPL , C , 2 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,21 , SGIPL , C , 1 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:16)
2,22 , VGL , C , 2 , 1 , 01/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,22 , VGL , C , 1 , 1 , 01/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,22 , VGL , C , 3 , 1 , 01/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,23 , PGPGPL , C , 1 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,23 , PGPGPL , C , 2 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,23 , PGPGPL , C , 3 , 2 , 01/04/2022 00:00:00, 	(09-APR-2025 19:49:16)
2,24 , HCG , C , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:16)
2,25 , GGL , C , 2 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,25 , GGL , C , 1 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:16)
2,25 , GGL , C , 1 , 2 , 01/04/2022 00:00:00, 	(09-APR-2025 19:49:16)
2,26 , CFC , C , 1 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:16)
2,26 , CFC , C , 3 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:16)
2,26 , CFC , C , 2 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:16)
