

<<START>>,<<FMS_ENTITY_TAX_STRUCT_DTL>>,,,,,, 	(09-APR-2025 19:49:16)
 
COMPANY_CD,CD,ABBR,ENTITY,PLANT_SEQ_NO,BU_UNIT,EFF_DT,TIMESTAMP
2,202 , BHOGATD , C , 2 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:17)
2,151 , KINGASP , C , 2 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:17)
2,151 , KINGASP , C , 1 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:17)
2,278 , SEMTEXP , C , 1 , 2 , 01/06/2021 00:00:00, 	(09-APR-2025 19:49:17)
2,210 , COMFIND , C , 1 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:17)
2,183 , SUMGLAS , C , 1 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:17)
2,184 , SVTPLIN , C , 1 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:17)
2,162 , BOROREN , C , 1 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:17)
2,123 , AVGL , C , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:17)
2,147 , HPOIGAS , C , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:17)
2,181 , SANENER , C , 1 , 1 , 01/09/2017 00:00:00, 	(09-APR-2025 19:49:17)
2,121 , NGPL , C , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:17)
2,119 , ROCKIND , C , 1 , 2 , 01/04/2022 00:00:00, 	(09-APR-2025 19:49:17)
2,174 , KUTCHCL , C , 1 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:17)
2,176 , NESTLIN , C , 1 , 2 , 01/04/2022 00:00:00, 	(09-APR-2025 19:49:17)
2,118 , LANCOKO , C , 1 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:17)
2,118 , LANCOKO , C , 1 , 1 , 01/01/2019 00:00:00, 	(09-APR-2025 19:49:17)
2,144 , HINAGIL , C , 1 , 2 , 01/04/2022 00:00:00, 	(09-APR-2025 19:49:17)
2,66 , BHEL , C , 2 , 2 , 01/04/2022 00:00:00, 	(09-APR-2025 19:49:17)
2,66 , BHEL , C , 1 , 2 , 01/04/2022 00:00:00, 	(09-APR-2025 19:49:17)
2,130 , CRMNDEL , C , 1 , 3 , 01/07/2024 00:00:00, 	(09-APR-2025 19:49:17)
2,130 , CRMNDEL , C , 1 , 3 , 01/05/2024 00:00:00, 	(09-APR-2025 19:49:17)
2, , RIL-D6 , T , 1 , 3 , 01/07/2024 00:00:00, 	(09-APR-2025 19:49:17)	 (Not Inserted)
2, , RIL-D6 , T , 1 , 3 , 01/05/2024 00:00:00, 	(09-APR-2025 19:49:17)	 (Not Inserted)
2, , RIL-D6 , T , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:17)	 (Not Inserted)
2,43 , BP , T , 2 , 1 , 01/07/2024 00:00:00, 	(09-APR-2025 19:49:17)
2,43 , BP , T , 2 , 1 , 01/05/2024 00:00:00, 	(09-APR-2025 19:49:17)
2,43 , BP , T , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:17)
2, , RIL-CBM , T , 4 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:17)	 (Not Inserted)
2, , RIL-CBM , T , 5 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:17)	 (Not Inserted)
2,51 , ONGC , T , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:17)
2,20 , AMNS , T , 1 , 1 , 01/09/2017 00:00:00, 	(09-APR-2025 19:49:17)
2,20 , AMNS , T , 1 , 2 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:17)
2,20 , AMNS , T , 2 , 2 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:17)
2,14 , BPCL , T , 1 , 1 , 01/09/2017 00:00:00, 	(09-APR-2025 19:49:17)
2,154 , SEMTPL , T , 1 , 2 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:17)
2,154 , SEMTPL , T , 1 , 1 , 01/06/2021 00:00:00, 	(09-APR-2025 19:49:17)
2,154 , SEMTPL , T , 2 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:17)
2,124 , MGRPL , T , 1 , 2 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:17)
2,124 , MGRPL , T , 2 , 1 , 01/06/2021 00:00:00, 	(09-APR-2025 19:49:17)
2,61 , EFSPL , T , 1 , 1 , 01/09/2017 00:00:00, 	(09-APR-2025 19:49:17)
2,61 , EFSPL , T , 2 , 1 , 01/06/2021 00:00:00, 	(09-APR-2025 19:49:17)
2,211 , DIL , T , 1 , 1 , 01/06/2021 00:00:00, 	(09-APR-2025 19:49:17)
2,159 , CAIRENH , T , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:17)
2,186 , VEDALTD , T , 1 , 1 , 01/04/2010 00:00:00, 	(09-APR-2025 19:49:17)
2,166 , ESSAREX , T , 1 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:17)
2,64 , IGSPL , T , 2 , 1 , 01/09/2017 00:00:00, 	(09-APR-2025 19:49:17)
2,81 , HOECLTD , T , 1 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:17)
2,181 , SANENER , T , 1 , 1 , 05/09/2017 00:00:00, 	(09-APR-2025 19:49:17)

TOTAL DATA IN EXCEL : ,300,,,,,, 	(09-APR-2025 19:49:17)
 

TOTAL DATA INSERTED : ,274,,,,,, 	(09-APR-2025 19:49:17)
 

TOTAL SKIPPED DATA ,26,,,,,, 	(09-APR-2025 19:49:17)
 
<<END>>,<<FMS_ENTITY_TAX_STRUCT_DTL>>,,,,,, 	(09-APR-2025 19:49:17)
 

<<START>>,<<FMS_ENTITY_SERVICE_TAX_DTL>>,,,,,,, 	(09-APR-2025 19:49:17)
 
COMPANY_CD,CD,ABBR,ENTITY,PLANT_SEQ_NO,INVOICE_TYPE,EFF_DT,BU_UNIT,TIMESTAMP
2 ,1 , RIL , C , 10 , SI , 15/11/2015 00:00:00 , 1, 	(09-APR-2025 19:49:17)	 (Not Inserted)
2 ,1 , RIL , C , 9 , SI , 15/11/2015 00:00:00 , 1, 	(09-APR-2025 19:49:17)	 (Not Inserted)
2 ,1 , RIL , C , 8 , SI , 15/11/2015 00:00:00 , 1, 	(09-APR-2025 19:49:17)	 (Not Inserted)
2 ,1 , RIL , C , 7 , SI , 15/11/2015 00:00:00 , 1, 	(09-APR-2025 19:49:17)	 (Not Inserted)
2 ,1 , RIL , C , 1 , SI , 15/11/2015 00:00:00 , 1, 	(09-APR-2025 19:49:17)	 (Not Inserted)
2 ,1 , RIL , C , 4 , SI , 15/11/2015 00:00:00 , 1, 	(09-APR-2025 19:49:17)	 (Not Inserted)
2 ,1 , RIL , C , 3 , SI , 15/11/2015 00:00:00 , 1, 	(09-APR-2025 19:49:17)	 (Not Inserted)
2 ,1 , RIL , C , 2 , SI , 15/11/2015 00:00:00 , 1, 	(09-APR-2025 19:49:17)	 (Not Inserted)
2 ,1 , RIL , C , 5 , SI , 15/11/2015 00:00:00 , 1, 	(09-APR-2025 19:49:17)	 (Not Inserted)
2 ,1 , RIL , C , 9 , SI , 01/07/2017 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 8 , SI , 01/07/2017 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 7 , SI , 01/07/2017 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 5 , SI , 01/07/2017 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 1 , SI , 01/07/2017 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 4 , SI , 01/07/2017 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 3 , SI , 01/07/2017 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 2 , SI , 01/07/2017 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 14 , SI , 01/07/2017 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 13 , SI , 01/07/2017 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 7 , SI , 01/06/2016 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 9 , SI , 01/06/2016 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 10 , SI , 01/06/2016 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 12 , SI , 01/06/2016 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 11 , SI , 01/06/2016 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 1 , SI , 01/06/2016 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 2 , SI , 01/06/2016 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 3 , SI , 01/06/2016 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 4 , SI , 01/06/2016 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 5 , SI , 01/06/2016 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 8 , SI , 01/06/2016 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 2 , SI , 01/06/2015 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 3 , SI , 01/06/2015 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 4 , SI , 01/06/2015 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 1 , SI , 01/06/2015 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 9 , SI , 01/06/2015 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 10 , SI , 01/06/2015 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 5 , SI , 01/06/2015 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 7 , SI , 01/06/2015 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 8 , SI , 01/06/2015 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 10 , SI , 01/04/2012 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 9 , SI , 01/04/2012 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 8 , SI , 01/04/2012 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 1 , SI , 01/04/2010 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 2 , SI , 01/04/2010 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 3 , SI , 01/04/2010 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 4 , SI , 01/04/2010 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 5 , SI , 01/04/2010 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,1 , RIL , C , 7 , SI , 01/04/2010 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,3 , GSPCL , C , 1 , SI , 15/11/2015 00:00:00 , 1, 	(09-APR-2025 19:49:17)	 (Not Inserted)
2 ,3 , GSPCL , C , 1 , SI , 01/07/2017 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,3 , GSPCL , C , 1 , SI , 01/06/2016 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,3 , GSPCL , C , 1 , SI , 01/06/2015 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,3 , GSPCL , C , 1 , SI , 01/04/2012 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,4 , Gail , C , 5 , SI , 21/05/2024 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,4 , Gail , C , 6 , SI , 21/05/2024 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,4 , Gail , C , 1 , SI , 07/03/2022 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,4 , Gail , C , 1 , SI , 01/07/2017 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,4 , Gail , C , 1 , SI , 01/06/2016 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,4 , Gail , C , 1 , SI , 01/06/2015 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,4 , Gail , C , 1 , SI , 01/04/2012 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,11 , TPL , C , 2 , SI , 15/11/2015 00:00:00 , 1, 	(09-APR-2025 19:49:17)	 (Not Inserted)
2 ,11 , TPL , C , 1 , SI , 15/11/2015 00:00:00 , 1, 	(09-APR-2025 19:49:17)	 (Not Inserted)
2 ,11 , TPL , C , 1 , SI , 01/07/2017 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,11 , TPL , C , 2 , SI , 01/07/2017 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,11 , TPL , C , 1 , SI , 01/06/2016 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,11 , TPL , C , 2 , SI , 01/06/2016 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,11 , TPL , C , 1 , SI , 01/06/2015 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,11 , TPL , C , 2 , SI , 01/06/2015 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,11 , TPL , C , 1 , SI , 01/04/2012 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,11 , TPL , C , 2 , SI , 01/04/2012 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,15 , HPCL , C , 2 , SI , 01/07/2017 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,15 , HPCL , C , 1 , SI , 01/07/2017 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,20 , AMNS , C , 1 , SI , 07/03/2022 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,20 , AMNS , C , 1 , SI , 01/07/2017 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 , , ESIL , C , 1 , SI , 01/06/2016 00:00:00 , 1, 	(09-APR-2025 19:49:17)	 (Not Inserted)
2 ,154 , SEMTPL , C , 2 , SI , 07/03/2022 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,20 , AMNS , C , 1 , UG , 07/03/2022 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,20 , AMNS , C , 1 , LP , 07/03/2022 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,20 , AMNS , C , 1 , ST , 01/07/2017 00:00:00 , 1, 	(09-APR-2025 19:49:17)
2 ,20 , AMNS , C , 1 , LP , 01/07/2017 00:00:00 , 1, 	(09-APR-2025 19:49:17)

TOTAL DATA IN EXCEL : ,80,,,,,,, 	(09-APR-2025 19:49:17)
 

TOTAL DATA INSERTED : ,67,,,,,,, 	(09-APR-2025 19:49:17)
 

TOTAL SKIPPED DATA ,13,,,,,,, 	(09-APR-2025 19:49:17)
 
<<END>>,<<FMS_ENTITY_SERVICE_TAX_DTL>>,,,,,,, 	(09-APR-2025 19:49:17)
 

<<START>>,<<FMS_ENTITY_BU_SVC_TAX_DTL>>,,,,,,, 	(09-APR-2025 19:49:17)
 
COMPANY_CD,CD,ABBR,ENTITY,PLANT_SEQ_NO,INVOICE_TYPE,BU_UNIT,EFF_DT,TIMESTAMP
2, , JMB , H , 1 , CH , 1 , 10/09/2004 00:00:00, 	(09-APR-2025 19:49:17)	 (Not Inserted)
2, , JMB , H , 1 , CH , 1 , 12/05/2007 00:00:00, 	(09-APR-2025 19:49:17)	 (Not Inserted)
2, , BOXCO , H , 1 , CH , 1 , 12/05/2007 00:00:00, 	(09-APR-2025 19:49:17)	 (Not Inserted)
2,232 , JBB , S , 1 , SF , 1 , 12/05/2007 00:00:00, 	(09-APR-2025 19:49:17)	 (Not Inserted)
2 ,232 , JBB , S , 1 , SF , 1 , 24/02/2009 00:00:00, 	(09-APR-2025 19:49:17)
2 ,232 , JBB , S , 1 , SF , 1 , 01/04/2012 00:00:00, 	(09-APR-2025 19:49:17)
2 ,264 , SSAPL , S , 1 , SF , 1 , 01/04/2012 00:00:00, 	(09-APR-2025 19:49:17)
2 ,265 , SLPL , H , 1 , CH , 1 , 01/06/2016 00:00:00, 	(09-APR-2025 19:49:17)

TOTAL DATA IN EXCEL : ,8,,,,,,, 	(09-APR-2025 19:49:17)
 

TOTAL DATA INSERTED : ,4,,,,,,, 	(09-APR-2025 19:49:17)
 

TOTAL SKIPPED DATA ,4,,,,,,, 	(09-APR-2025 19:49:17)
 
<<END>>,<<FMS_ENTITY_BU_SVC_TAX_DTL>>,,,,,,, 	(09-APR-2025 19:49:17)
 

<<START>>,<<FMS_SAC_MST>>, 	(09-APR-2025 19:49:33)
 
SAC_NAME,TIMESTAMP,
Other Miscellaneous services - Other Services n.e.c. ,  	(09-APR-2025 19:49:33)
Other employment & labour supply services n.e.c ,  	(09-APR-2025 19:49:33)
Other support services n.e.c. ,  	(09-APR-2025 19:49:33)
Road transport services of Goods including letters  parcels  live animals  household & office furnit ,  	(09-APR-2025 19:49:33)
Legal advisory and representation services concerning other fields of law. ,  	(09-APR-2025 19:49:33)
Sponsorship Services & Brand Promotion Services ,  	(09-APR-2025 19:49:33)
Coastal and transoceanic (overseas) water transport services of goods by refrigerator vessels  tanke ,  	(09-APR-2025 19:49:33)
Other administrative services of the government n.e.c. ,  	(09-APR-2025 19:49:33)
Maintenance and repair services of other machinery and equipments ,  	(09-APR-2025 19:49:33)
Courier services ,  	(09-APR-2025 19:49:33)
Other on-line contents n.e.c. ,  	(09-APR-2025 19:49:33)
On-line text based information such as online books  newpapers  periodicals  directories etc ,  	(09-APR-2025 19:49:33)
998349 - Other technical and scientific services n.e.c. ,  	(09-APR-2025 19:49:33)
Rental or leasing services involving own or leased non-residential property ,  	(09-APR-2025 19:49:33)
Management consulting and management services including financial  strategic  human resources  marke ,  	(09-APR-2025 19:49:33)
Information technology (IT) consulting and support services ,  	(09-APR-2025 19:49:33)
Commercial training and coaching services ,  	(09-APR-2025 19:49:33)
Hosting and information technology (IT) infrastructure provisioning services ,  	(09-APR-2025 19:49:33)
Repair services of bicycles ,  	(09-APR-2025 19:49:33)
Other professional  technical and business service ,  	(09-APR-2025 19:49:33)
INSTALLATION SERVICES OF OTHER GOODS ,  	(09-APR-2025 19:49:33)
Other human health services including homeopathy  unani  ayurveda  naturopathy  acupuncture etc. ,  	(09-APR-2025 19:49:33)
Goods transport agency services for road transport ,  	(09-APR-2025 19:49:33)
998434 - Software downloads ,  	(09-APR-2025 19:49:33)
RENTAL SERVICES OF ROAD VEHICLES INVCLUDING BUSES COACHES CARS TRUCKS AND OTHER MOTOR VEHICLES WITH  ,  	(09-APR-2025 19:49:33)
Maintenance and repair services of other goods n.e.c. under Heading No. 9987 Maintenance  repair and ,  	(09-APR-2025 19:49:33)
Licensing services for the right to use computer software and databases ,  	(09-APR-2025 19:49:33)
Engineering advisory services ,  	(09-APR-2025 19:49:33)

TOTAL DATA IN EXCEL : ,28, 	(09-APR-2025 19:49:33)
 

TOTAL DATA INSERTED : ,28, 	(09-APR-2025 19:49:33)
 

TOTAL SKIPPED DATA ,0, 	(09-APR-2025 19:49:33)
 
<<END>>,<<FMS_SAC_MST>>, 	(09-APR-2025 19:49:33)
 

<<START>>,<<FMS_SAC_MST>>, 	(09-APR-2025 19:49:50)
 
SAC_NAME,TIMESTAMP,
Other Miscellaneous services - Other Services n.e.c. ,  	(09-APR-2025 19:49:50)	 (Not Inserted)
Other employment & labour supply services n.e.c ,  	(09-APR-2025 19:49:50)	 (Not Inserted)
Other support services n.e.c. ,  	(09-APR-2025 19:49:50)	 (Not Inserted)
Road transport services of Goods including letters  parcels  live animals  household & office furnit ,  	(09-APR-2025 19:49:50)	 (Not Inserted)
Legal advisory and representation services concerning other fields of law. ,  	(09-APR-2025 19:49:50)	 (Not Inserted)
Sponsorship Services & Brand Promotion Services ,  	(09-APR-2025 19:49:50)	 (Not Inserted)
Coastal and transoceanic (overseas) water transport services of goods by refrigerator vessels  tanke ,  	(09-APR-2025 19:49:50)	 (Not Inserted)
Other administrative services of the government n.e.c. ,  	(09-APR-2025 19:49:50)	 (Not Inserted)
Maintenance and repair services of other machinery and equipments ,  	(09-APR-2025 19:49:50)	 (Not Inserted)
Courier services ,  	(09-APR-2025 19:49:50)	 (Not Inserted)
Other on-line contents n.e.c. ,  	(09-APR-2025 19:49:50)	 (Not Inserted)
On-line text based information such as online books  newpapers  periodicals  directories etc ,  	(09-APR-2025 19:49:50)	 (Not Inserted)
998349 - Other technical and scientific services n.e.c. ,  	(09-APR-2025 19:49:50)	 (Not Inserted)
Rental or leasing services involving own or leased non-residential property ,  	(09-APR-2025 19:49:50)	 (Not Inserted)
Management consulting and management services including financial  strategic  human resources  marke ,  	(09-APR-2025 19:49:50)	 (Not Inserted)
Information technology (IT) consulting and support services ,  	(09-APR-2025 19:49:50)	 (Not Inserted)
Commercial training and coaching services ,  	(09-APR-2025 19:49:50)	 (Not Inserted)
Hosting and information technology (IT) infrastructure provisioning services ,  	(09-APR-2025 19:49:50)	 (Not Inserted)
Repair services of bicycles ,  	(09-APR-2025 19:49:50)	 (Not Inserted)
Other professional  technical and business service ,  	(09-APR-2025 19:49:50)	 (Not Inserted)
INSTALLATION SERVICES OF OTHER GOODS ,  	(09-APR-2025 19:49:50)	 (Not Inserted)
Other human health services including homeopathy  unani  ayurveda  naturopathy  acupuncture etc. ,  	(09-APR-2025 19:49:50)	 (Not Inserted)
Goods transport agency services for road transport ,  	(09-APR-2025 19:49:50)	 (Not Inserted)
998434 - Software downloads ,  	(09-APR-2025 19:49:50)	 (Not Inserted)
RENTAL SERVICES OF ROAD VEHICLES INVCLUDING BUSES COACHES CARS TRUCKS AND OTHER MOTOR VEHICLES WITH  ,  	(09-APR-2025 19:49:50)	 (Not Inserted)
Maintenance and repair services of other goods n.e.c. under Heading No. 9987 Maintenance  repair and ,  	(09-APR-2025 19:49:50)	 (Not Inserted)
Licensing services for the right to use computer software and databases ,  	(09-APR-2025 19:49:50)	 (Not Inserted)
Engineering advisory services ,  	(09-APR-2025 19:49:50)	 (Not Inserted)

TOTAL DATA IN EXCEL : ,28, 	(09-APR-2025 19:49:50)
 

TOTAL DATA INSERTED : ,0, 	(09-APR-2025 19:49:50)
 

TOTAL SKIPPED DATA ,28, 	(09-APR-2025 19:49:50)
 
<<END>>,<<FMS_SAC_MST>>, 	(09-APR-2025 19:49:50)
 
