

<<START>>,<<FMS_CARGO_SVC_CONT_SVC_BU>>,,,, 	(09-JUL-2025 09:32:03)
 
COMPANY_CD,CD,CONT_NAME,CONTRACT_TYPE,PLANT_SEQ_NO,TIMESTAMP
2,232:SJBB, 325001, Y, 1, 	(09-JUL-2025 09:32:03)
2,126:SSGSINDIA, 325002, Y, 1, 	(09-JUL-2025 09:32:03)
2,264:SSSAPL, 325003, Y, 1, 	(09-JUL-2025 09:32:03)
2,null:HBOXCO, 325003, , 1, 	(09-JUL-2025 09:32:03)	 (Not Inserted)
2,282:HJMB, 125001, H, 1, 	(09-JUL-2025 09:32:03)
2,282:HJMB, 125001, H, 1, 	(09-JUL-2025 09:32:03)	 (Not Inserted)
2,265:HSLPL, 125002, H, 1, 	(09-JUL-2025 09:32:03)

TOTAL DATA IN EXCEL : 7 	(09-JUL-2025 09:32:03)
 

TOTAL DATA INSERTED : 5 	(09-JUL-2025 09:32:03)
 

TOTAL SKIPPED DATA 2 	(09-JUL-2025 09:32:03)
 
<<END>><<FMS_CARGO_SVC_CONT_SVC_BU>> 	(09-JUL-2025 09:32:03)
 

<<START>>,<<FMS_CARGO_SVC_CONT_BU>>,,,, 	(09-JUL-2025 09:32:03)
 
COMPANY_CD,CD,CONT_NO,CONTRACT_TYPE,PLANT_SEQ_NO,TIMESTAMP
2,232 ,325001 ,Y, 1, 	(09-JUL-2025 09:32:03)
2,126 ,325002 ,Y, 1, 	(09-JUL-2025 09:32:03)
2,264 ,325003 ,Y, 1, 	(09-JUL-2025 09:32:03)
2,null, 325003 , ,1, 	(09-JUL-2025 09:32:03)	 (Not Inserted)
2,282 ,125001 ,H, 1, 	(09-JUL-2025 09:32:03)
2,282, 125001 ,H ,1, 	(09-JUL-2025 09:32:03)	 (Not Inserted)
2,265 ,125002 ,H, 1, 	(09-JUL-2025 09:32:03)

TOTAL DATA IN EXCEL : 7 	(09-JUL-2025 09:32:03)
 

TOTAL DATA INSERTED : 5 	(09-JUL-2025 09:32:03)
 

TOTAL SKIPPED DATA 2 	(09-JUL-2025 09:32:03)
 
<<END>><<FMS_CARGO_SVC_CONT_BU>> 	(09-JUL-2025 09:32:03)
 

<<START>>,<<FMS_BUY_CARGO_NOM>>,,,, 	(09-JUL-2025 09:32:08)
 
COMPANY_CD,CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONTRACT_TYPE,CONT_NO,CONT_REV,CARGO_NO,NOM_REV,CARGO_REF_NO,TIMESTAMP
2,20-AMNS , ,, ,  ,0 , ,,0,22022, 	(09-JUL-2025 09:32:08)	 (Not Inserted)
2,20-AMNS , ,, ,  ,0 , ,,0,22023, 	(09-JUL-2025 09:32:08)	 (Not Inserted)
2,270-TGPL, M, 1 ,0 ,N, 710007 ,0 ,1,0,7019, 	(09-JUL-2025 09:32:08)
2,270-TGPL, M, 1 ,0 ,N, 710008 ,0 ,1,0,7020, 	(09-JUL-2025 09:32:08)
2,270-TGPL, M, 1 ,0 ,N, 710009 ,0 ,1,0,7022, 	(09-JUL-2025 09:32:08)
2,270-TGPL, M, 1 ,0 ,N, 710013 ,0 ,1,0,8007, 	(09-JUL-2025 09:32:08)
2,270-TGPL, M, 1 ,0 ,N, 710023 ,0 ,1,0,9003, 	(09-JUL-2025 09:32:08)
2,270-TGPL, M, 1 ,0 ,N, 710024 ,0 ,1,0,9004, 	(09-JUL-2025 09:32:08)
2,270-TGPL, M, 1 ,0 ,N, 710025 ,0 ,1,0,9005, 	(09-JUL-2025 09:32:08)
2,270-TGPL, M, 1 ,0 ,N, 710026 ,0 ,1,0,9007, 	(09-JUL-2025 09:32:08)
2,270-TGPL, M, 1 ,0 ,N, 710010 ,0 ,1,0,7023, 	(09-JUL-2025 09:32:08)
2,270-TGPL, M, 1 ,0 ,N, 710014 ,0 ,1,0,8013, 	(09-JUL-2025 09:32:08)
2,270-TGPL, M, 1 ,0 ,N, 710015 ,0 ,1,0,8014, 	(09-JUL-2025 09:32:08)
2,270-TGPL, M, 1 ,0 ,N, 710016 ,0 ,1,0,8015, 	(09-JUL-2025 09:32:08)
2,270-TGPL, M, 1 ,0 ,N, 710017 ,0 ,1,0,8017, 	(09-JUL-2025 09:32:08)
2,270-TGPL, M, 1 ,0 ,N, 711002 ,0 ,1,0,11002, 	(09-JUL-2025 09:32:08)
2,270-TGPL, M, 1 ,0 ,N, 710003 ,0 ,1,0,6012, 	(09-JUL-2025 09:32:08)
2,270-TGPL, M, 1 ,0 ,N, 710002 ,0 ,1,0,6003, 	(09-JUL-2025 09:32:08)
2,270-TGPL, M, 1 ,0 ,N, 710001 ,0 ,1,0,5002, 	(09-JUL-2025 09:32:08)
2,270-TGPL, M, 1 ,0 ,N, 710032 ,0 ,1,0,10002, 	(09-JUL-2025 09:32:08)
2,270-TGPL, M, 1 ,0 ,N, 710033 ,0 ,1,0,10004, 	(09-JUL-2025 09:32:08)
2,270-TGPL, M, 1 ,0 ,N, 710034 ,0 ,1,0,10005, 	(09-JUL-2025 09:32:08)
2,270-TGPL, M, 1 ,0 ,N, 710006 ,0 ,1,0,7012, 	(09-JUL-2025 09:32:08)
2,270-TGPL, M, 1 ,0 ,N, 710012 ,0 ,1,0,8001, 	(09-JUL-2025 09:32:08)
2,270-TGPL, M, 1 ,0 ,N, 710011 ,0 ,1,0,7024, 	(09-JUL-2025 09:32:08)
2,270-TGPL, M, 1 ,0 ,N, 713001 ,0 ,1,0,11011, 	(09-JUL-2025 09:32:08)
2,270-TGPL, M, 1 ,0 ,N, 712001 ,0 ,1,0,11008, 	(09-JUL-2025 09:32:08)
2,270-TGPL, M, 1 ,0 ,N, 713001 ,0 ,4,0,11014, 	(09-JUL-2025 09:32:08)
2,270-TGPL, M, 1 ,0 ,N, 711001 ,0 ,3,0,10011, 	(09-JUL-2025 09:32:08)
2,270-TGPL, M, 1 ,0 ,N, 710031 ,0 ,1,0,9021, 	(09-JUL-2025 09:32:08)
2,270-TGPL, M, 1 ,0 ,N, 713001 ,0 ,3,0,11013, 	(09-JUL-2025 09:32:08)
2,270-TGPL, M, 1 ,0 ,N, 710027 ,0 ,1,0,9011, 	(09-JUL-2025 09:32:08)
2,270-TGPL, M, 1 ,0 ,N, 710028 ,0 ,1,0,9014, 	(09-JUL-2025 09:32:08)
2,270-TGPL, M, 1 ,0 ,N, 710029 ,0 ,1,0,9016, 	(09-JUL-2025 09:32:08)
2,270-TGPL, M, 1 ,0 ,N, 710030 ,0 ,1,0,9017, 	(09-JUL-2025 09:32:08)
2,270-TGPL, M, 1 ,0 ,N, 710018 ,0 ,1,0,8019, 	(09-JUL-2025 09:32:08)
