

<<START>>,<<FMS_TRADER_CN_MST>>,,,,, 	(03-JUL-2025 15:48:01)
 
COMPANY_CD,CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_TYPE,CONT_NO,CONT_REV,CARGO_REF(Mandate Conform no),TIMESTAMP
2, 116:SELNG,  M , 1,  0 , N, 710050, 0,7002, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710051, 0,7003, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710052, 0,7005, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710053, 0,7006, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710054, 0,7008, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710055, 0,7009, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710056, 0,7010, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710057, 0,7011, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710058, 0,7013, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710059, 0,7014, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710060, 0,7015, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710061, 0,7016, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710062, 0,7017, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710063, 0,7018, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710064, 0,7021, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710065, 0,7025, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710066, 0,7026, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710067, 0,7027, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710068, 0,7028, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710069, 0,7029, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710070, 0,8002, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710071, 0,8003, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710072, 0,8004, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710073, 0,8005, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710074, 0,8006, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710075, 0,8008, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710076, 0,8009, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710077, 0,8010, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710078, 0,8011, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710079, 0,8012, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710080, 0,8016, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710081, 0,8018, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710082, 0,8020, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710083, 0,8022, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710084, 0,8023, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710085, 0,8024, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 710086, 0,8027, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 721001, 0,21014, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 721002, 0,21016, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 721003, 0,21017, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 721004, 0,21018, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 721005, 0,21023, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 722001, 0,22002, 	(03-JUL-2025 15:48:02)
2, 116:SELNG,  M , 1,  0 , N, 722002, 0,22013, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 710087, 0,8029, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 710088, 0,8030, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 710089, 0,9001, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 710090, 0,9002, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 710091, 0,9006, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 710092, 0,9008, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 710093, 0,9009, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 710094, 0,9010, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 710095, 0,9012, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 710096, 0,9013, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 710097, 0,9015, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 710098, 0,9018, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 710099, 0,9019, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 710100, 0,9020, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 710101, 0,9022, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 710102, 0,9023, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 710103, 0,9024, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 710104, 0,9025, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 710105, 0,9026, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 710106, 0,10001, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 710107, 0,10003, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 710108, 0,10006, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 710109, 0,10007, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 710110, 0,10008, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 711004, 0,10011, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 711005, 0,10012, 	(03-JUL-2025 15:48:02)
2, 256:SITME,  M , 1,  0 , N, 711006, 0,11001, 	(03-JUL-2025 15:48:02)
