

<<START>>,<<FMS_TRADER_CN_MST>>,,,, 	(14-MAY-2025 13:33:36)
 
COMPANY_CD,CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_TYPE,CONT_NO,CONT_REV,TIMESTAMP
2, 116,  M , 1,  0 , N, 710047, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 710048, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 710049, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 710050, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 710051, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 710052, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 710053, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 710054, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 710055, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 710056, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 710057, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 710058, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 710059, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 710060, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 710061, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 710062, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 710063, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 710064, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 710065, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 710066, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 710067, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 710068, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 710069, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 710070, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 710071, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 710072, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 710073, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 710074, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 710075, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 710076, 0, 	(14-MAY-2025 13:33:37)
2, 116,  M , 1,  0 , N, 710077, 0, 	(14-MAY-2025 13:33:37)
