

<<START>>,<<FMS_TRUCK_DRIVER_LINK>>,,, 	(05-JUN-2025 16:55:02)
 
ENT_PROFILE,TRUCK_CD,DRIVER_CD,EFF_DT,LINK_SEQ,TIMESTAMP,
2,17,159,22/12/2020 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,18,41,24/12/2020 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,64,160,30/12/2020 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,19,67,09/01/2021 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,16,,11/01/2021 00:00:00,1, 	(05-JUN-2025 16:55:02)	 (Not Inserted)
2,1,,12/01/2021 00:00:00,1, 	(05-JUN-2025 16:55:02)	 (Not Inserted)
2,20,208,13/01/2021 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,17,41,15/01/2021 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,18,41,20/01/2021 00:00:00,3, 	(05-JUN-2025 16:55:02)
2,22,69,28/01/2021 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,64,43,29/01/2021 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,47,110,29/01/2021 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,20,209,02/02/2021 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,52,210,08/02/2021 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,108,70,09/02/2021 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,51,209,12/02/2021 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,20,44,12/02/2021 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,3,111,18/02/2021 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,23,111,19/02/2021 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,53,112,01/03/2021 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,54,113,01/03/2021 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,108,71,01/03/2021 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,4,70,02/03/2021 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,109,209,04/03/2021 00:00:00,3, 	(05-JUN-2025 16:55:02)
2,110,159,05/03/2021 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,20,209,16/03/2021 00:00:00,4, 	(05-JUN-2025 16:55:02)
2,109,44,22/03/2021 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,16,,22/03/2021 00:00:00,1, 	(05-JUN-2025 16:55:02)	 (Not Inserted)
2,22,72,27/03/2021 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,79,67,30/03/2021 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,50,73,31/03/2021 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,80,162,01/04/2021 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,19,,02/04/2021 00:00:00,2, 	(05-JUN-2025 16:55:02)	 (Not Inserted)
2,20,44,02/04/2021 00:00:00,3, 	(05-JUN-2025 16:55:02)
2,53,67,05/04/2021 00:00:00,3, 	(05-JUN-2025 16:55:02)
2,109,74,05/04/2021 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,80,45,08/04/2021 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,110,212,09/04/2021 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,20,74,10/04/2021 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,109,44,10/04/2021 00:00:00,4, 	(05-JUN-2025 16:55:02)
2,16,,13/04/2021 00:00:00,3, 	(05-JUN-2025 16:55:02)	 (Not Inserted)
2,20,44,16/04/2021 00:00:00,5, 	(05-JUN-2025 16:55:02)
2,25,75,20/04/2021 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,109,76,21/04/2021 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,20,77,23/04/2021 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,110,213,24/04/2021 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,20,78,26/04/2021 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,1,114,30/04/2021 00:00:00,1, 	(05-JUN-2025 16:55:02)
2,79,67,03/05/2021 00:00:00,4, 	(05-JUN-2025 16:55:02)
2,53,114,11/05/2021 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,54,,11/05/2021 00:00:00,2, 	(05-JUN-2025 16:55:02)	 (Not Inserted)
2,109,77,12/05/2021 00:00:00,2, 	(05-JUN-2025 16:55:02)
2,109,115,12/05/2021 00:00:00,1, 	(05-JUN-2025 16:55:02)
