

<<START>>,<<FMS_ENTITY_BU_SVC_TAX_DTL>>,,,,,,, 	(13-MAR-2025 11:32:08)
 
COMPANY_CD,CD,ABBR,ENTITY,PLANT_SEQ_NO,INVOICE_TYPE,BU_UNIT,EFF_DT,TIMESTAMP
2, , JMB , H , 1 , CH , 1 , 09/12/2010 00:00:00, 	(13-MAR-2025 11:32:08)	 (Not Inserted)
2, , JMB , H , 1 , CH , 1 , 09/12/2010 00:00:00, 	(13-MAR-2025 11:32:08)	 (Not Inserted)
2, , BOXCO , H , 1 , CH , 1 , 03/09/2014 00:00:00, 	(13-MAR-2025 11:32:08)	 (Not Inserted)
2,232 , JBB , S , 1 , SF , 1 , 15/11/2010 00:00:00, 	(13-MAR-2025 11:32:08)	 (Not Inserted)
2 ,232 , JBB , S , 1 , SF , 1 , 15/11/2010 00:00:00, 	(13-MAR-2025 11:32:08)
2 ,232 , JBB , S , 1 , SF , 1 , 22/05/2012 00:00:00, 	(13-MAR-2025 11:32:08)
2 ,264 , SSAPL , S , 1 , SF , 1 , 26/04/2013 00:00:00, 	(13-MAR-2025 11:32:08)
2 ,265 , SLPL , H , 1 , CH , 1 , 24/06/2016 00:00:00, 	(13-MAR-2025 11:32:08)

TOTAL DATA IN EXCEL : ,8,,,,,,, 	(13-MAR-2025 11:32:08)
 

TOTAL DATA INSERTED : ,4,,,,,,, 	(13-MAR-2025 11:32:08)
 

TOTAL SKIPPED DATA ,4,,,,,,, 	(13-MAR-2025 11:32:08)
 
<<END>>,<<FMS_ENTITY_BU_SVC_TAX_DTL>>,,,,,,, 	(13-MAR-2025 11:32:08)
 
