

<<START>>,<<FMS_SECTOR_MST>>, 	(26-FEB-2025 11:08:30)
 
ABBR,,TIMESTAMP
RESELLERS,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
ELLECTRICAL/ ELECTRONICS,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
HEAVY MACHINES,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
LIGHT MACHINES,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
AIRCRAFTS,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
SHIPBUILD. & REPAIRS,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
TRUCKS&PASS VEHICALS,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
SCOOTERS ETC,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
HIGH PRESSURE VESSEL,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
MECH. MISCELLANEOUS,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
STRUCTURAL WORKS,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
IRON & STEEL PLANTS,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
IRON & STEEL REWORKS,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
ALUMINIUM,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
FOUNDRIES/CASTINGS,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
FERROUS ALLOYS,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
METAL. MISCELLANEOUS,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
CANDLE INDUSTRY,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
MATCHES,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
RUBBER TYRES & TUBES,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
PAPER PRODUCTS,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
INDU ABRASIVES,, 	(26-FEB-2025 11:08:30)	 (Not Inserted)
