

<<START>>,<<FMS_ENTITY_CONTACT_MST>>,,,,,, 	(01-MAR-2025 14:47:35)
 
COMPANY_CD,CD,ABBR,ENTITY,SEQ_NO,EFF_DT,ADDR_FLAG,TIMESTAMP
2,3 , GSPCL , C , 4 , 01/04/2009 00:00:00 , R, 	(01-MAR-2025 14:47:38)
2,3 , GSPCL , C , 5 , 24/03/2005 00:00:00 , 0, 	(01-MAR-2025 14:47:38)
2,4 , Gail , C , 1 , 01/05/2024 00:00:00 , P7, 	(01-MAR-2025 14:47:38)
2,4 , Gail , C , 2 , 01/05/2024 00:00:00 , P7, 	(01-MAR-2025 14:47:38)	 (Not Inserted)
2,4 , Gail , C , 3 , 01/07/2022 00:00:00 , B, 	(01-MAR-2025 14:47:38)
2,4 , Gail , C , 4 , 01/05/2024 00:00:00 , P6, 	(01-MAR-2025 14:47:38)
2,4 , Gail , C , 5 , 01/08/2024 00:00:00 , B, 	(01-MAR-2025 14:47:38)
2,4 , Gail , C , 6 , 01/06/2023 00:00:00 , P4, 	(01-MAR-2025 14:47:38)
2,4 , Gail , C , 7 , 08/03/2007 00:00:00 , B, 	(01-MAR-2025 14:47:38)
2,4 , Gail , C , 8 , 08/03/2007 00:00:00 , B, 	(01-MAR-2025 14:47:38)
2,4 , Gail , C , 9 , 01/08/2024 00:00:00 , B, 	(01-MAR-2025 14:47:38)
2,4 , Gail , C , 10 , 08/03/2007 00:00:00 , B, 	(01-MAR-2025 14:47:38)
2,4 , Gail , C , 11 , 08/03/2007 00:00:00 , B, 	(01-MAR-2025 14:47:38)
2,4 , Gail , C , 12 , 01/08/2024 00:00:00 , B, 	(01-MAR-2025 14:47:38)
2,4 , Gail , C , 13 , 01/07/2022 00:00:00 , P2, 	(01-MAR-2025 14:47:38)
2,4 , Gail , C , 14 , 01/06/2023 00:00:00 , P4, 	(01-MAR-2025 14:47:38)
2,4 , Gail , C , 15 , 01/11/2022 00:00:00 , P3, 	(01-MAR-2025 14:47:38)
2,4 , Gail , C , 16 , 01/06/2023 00:00:00 , P4, 	(01-MAR-2025 14:47:38)
2,4 , Gail , C , 17 , 28/05/2024 00:00:00 , P8, 	(01-MAR-2025 14:47:38)
2,4 , Gail , C , 18 , 08/03/2007 00:00:00 , 0, 	(01-MAR-2025 14:47:38)
2,4 , Gail , R , 1 , 01/09/2023 00:00:00 , P4, 	(01-MAR-2025 14:47:38)
2,4 , Gail , R , 2 , 01/09/2023 00:00:00 , C, 	(01-MAR-2025 14:47:38)
2,4 , Gail , R , 3 , 21/09/2023 00:00:00 , R, 	(01-MAR-2025 14:47:38)
2,4 , Gail , R , 4 , 21/09/2023 00:00:00 , P1, 	(01-MAR-2025 14:47:38)
2,4 , Gail , R , 5 , 01/09/2023 00:00:00 , C, 	(01-MAR-2025 14:47:38)
2,4 , Gail , R , 6 , 01/09/2023 00:00:00 , C, 	(01-MAR-2025 14:47:38)
2,4 , Gail , R , 11 , 01/09/2023 00:00:00 , R, 	(01-MAR-2025 14:47:38)
2,4 , Gail , R , 13 , 21/09/2023 00:00:00 , P3, 	(01-MAR-2025 14:47:38)
2,4 , Gail , R , 9 , 21/09/2023 00:00:00 , R, 	(01-MAR-2025 14:47:38)
