

<<START>>,<<FMS_CUSTOM_PD_BOND_DTL>>,,, 	(16-MAY-2025 16:59:09)
 
COMPANY_CD,SEQ_NO ,CAL_YEAR,PD_BOND,TIMESTAMP
2,32,2020,2501193, 	(16-MAY-2025 16:59:10)
2,33,2020,10359426, 	(16-MAY-2025 16:59:10)
2,1,2021,2681552, 	(16-MAY-2025 16:59:10)
2,2,2021,5565802, 	(16-MAY-2025 16:59:10)
2,3,2021,18249364, 	(16-MAY-2025 16:59:10)
2,4,2021,12239852.16, 	(16-MAY-2025 16:59:10)
2,5,2021,2463768, 	(16-MAY-2025 16:59:10)
2,6,2021,12601110.02, 	(16-MAY-2025 16:59:10)
2,7,2021,7839922.56, 	(16-MAY-2025 16:59:10)
2,8,2021,4926744.86, 	(16-MAY-2025 16:59:10)
2,9,2021,22267448.68, 	(16-MAY-2025 16:59:10)
2,10,2021,14450068, 	(16-MAY-2025 16:59:10)
2,11,2021,25773771, 	(16-MAY-2025 16:59:10)
2,12,2021,15494738, 	(16-MAY-2025 16:59:10)
2,13,2021,51102939.35, 	(16-MAY-2025 16:59:10)
2,14,2021,8011024.79, 	(16-MAY-2025 16:59:10)
2,15,2021,54832833.73, 	(16-MAY-2025 16:59:10)
2,16,2021,12905190, 	(16-MAY-2025 16:59:10)
2,17,2021,36419851, 	(16-MAY-2025 16:59:10)
2,18,2021,13223576, 	(16-MAY-2025 16:59:10)
2,19,2021,6567028, 	(16-MAY-2025 16:59:10)
2,1,2022,12471423157.96, 	(16-MAY-2025 16:59:10)
**********AutomationEMS Error  (16-MAY-2025 16:59:10) **********
java.sql.SQLDataException: ORA-01438: value larger than specified precision allowed for this column


com.etrm.fms.migration.Purchase_SEIPL_Data_Reader.FMS_CUSTOM_PD_BOND_DTL(Purchase_SEIPL_Data_Reader.java:9469)
com.etrm.fms.migration.Purchase_SEIPL_Data_Reader.init(Purchase_SEIPL_Data_Reader.java:225)
**************************************************

<<FUNCTION FMS_CUSTOM_PD_BOND_DTL() ENDED WITH ERRORS>>
