

<<START>>,<<FMS_COUNTERPARTY_BU_DTL>>,,,,, 	(29-AUG-2025 13:10:19)
 
COMPANY_CD,CD,ABBR,ENTITY,SEQ_NO,EFF_DT,TIMESTAMP
2, 264 , SSAPL , S , 1 , 01/04/2013, 	(29-AUG-2025 13:10:19)
2, 126 , SGSINDIA , S , 1 , 01/04/2007, 	(29-AUG-2025 13:10:19)
2, 232 , JBB , S , 1 , 01/04/2007, 	(29-AUG-2025 13:10:19)
2, 232 , JBB , V , 1 , 01/04/2007, 	(29-AUG-2025 13:10:19)
2, 265 , SLPL , H , 1 , 21/01/2016, 	(29-AUG-2025 13:10:19)
2 , 265 , SLPL , H , 1 , 21/01/2016, 	(29-AUG-2025 13:10:19)	 (Not Inserted)
2 ,  , BOXCO , H , 1 , 11/08/2014, 	(29-AUG-2025 13:10:19)	 (Not Inserted)
2, 282 , JMB , H , 1 , 01/04/2005, 	(29-AUG-2025 13:10:19)

TOTAL DATA IN EXCEL : ,8,,,,, 	(29-AUG-2025 13:10:19)
 

TOTAL DATA INSERTED : ,6,,,,, 	(29-AUG-2025 13:10:19)
 

TOTAL SKIPPED DATA ,2,,,,, 	(29-AUG-2025 13:10:19)
 
<<END>>,<<FMS_COUNTERPARTY_BU_DTL>>,,,,, 	(29-AUG-2025 13:10:19)
 
