

<<START>>,<<FMS_EXCHG_RATE_ENTRY>>,, 	(18-FEB-2025 10:26:50)
 
CD,NAME,EFF_DT,TIMESTAMP
14 ,SBI RATE BUY SELL , 27/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 29/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 29/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 29/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 30/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 30/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 30/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 31/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 31/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 31/08/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 03/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 03/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 03/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 05/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 05/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 05/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 06/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 06/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 06/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 07/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 07/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 07/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 10/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 10/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 10/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 11/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 11/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 11/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 12/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 12/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 12/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 13/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 13/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 13/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 14/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 14/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 14/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 17/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 17/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 17/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 18/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 18/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 18/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 19/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 19/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 19/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 20/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 20/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 20/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 21/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 21/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 21/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 24/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 24/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 24/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 25/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 25/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
14 ,SBI RATE BUY SELL , 25/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
13 ,SBI RATE BUY , 26/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
15 ,SBI RATE SELL , 26/09/2007 00:00:00, 	(18-FEB-2025 10:26:52)
