

<<START>>,<<FMS_INVOICE_MST_CR_DR>>,, 	(03-FEB-2026 10:35:17)
 
COMPANY_CD,COUNTERPARTY_CD,FINANCIAL_YEAR,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,INVOICE_NO,INVOICE_SEQ,REF_NO,TIMESTAMP,
2,1,2019-2020,0,0,220002,0,L,D018/19-20,894,0115/19-20, 	(03-FEB-2026 10:35:17)
2,1,2016-2017,1,0,16001,0,O,null,622,0001/2016-2017, 	(03-FEB-2026 10:35:17)
2,2,2024-2025,6,2,16,0,S,DMH014/24-25,555,SMH0039/24-25, 	(03-FEB-2026 10:35:17)
2,2,2024-2025,6,2,16,0,S,DMH015/24-25,556,SMH0043/24-25, 	(03-FEB-2026 10:35:17)
2,3,2018-2019,4,0,18002,0,Q,C006/18-19,602,00472/18-19, 	(03-FEB-2026 10:35:17)
2,3,2019-2020,1,3,105,0,S,D006/19-20,895,0095/19-20, 	(03-FEB-2026 10:35:17)
2,4,2023-2024,7,0,25001,0,Q,C0003/23-24,741,L00025/23-24, 	(03-FEB-2026 10:35:17)
2,4,2019-2020,2,1,3,1,S,D007/19-20,896,0096/19-20, 	(03-FEB-2026 10:35:17)
2,4,2020-2021,5,0,20001,0,Q,D0001/20-21,955,L00113/20-21, 	(03-FEB-2026 10:35:17)
2,6,2023-2024,0,0,223071,0,L,C007/23-24,742,S0008/23-24, 	(03-FEB-2026 10:35:17)
2,6,2019-2020,0,0,220009,0,L,C003/19-20,897,0121/19-20, 	(03-FEB-2026 10:35:17)
2,7,2022-2023,2,0,6,0,S,DMH031/22-23,642,SMH0193/22-23, 	(03-FEB-2026 10:35:17)
2,7,2022-2023,2,0,5,0,S,DMH008/22-23,643,SMH0128/22-23, 	(03-FEB-2026 10:35:17)
2,7,2022-2023,2,0,5,0,S,DMH011/22-23,644,SMH0139/22-23, 	(03-FEB-2026 10:35:17)
2,7,2022-2023,2,0,6,0,S,DMH016/22-23,645,SMH0152/22-23, 	(03-FEB-2026 10:35:17)
