

<<START>>,<<FMS_AGMT_BU>>,, 	(19-MAY-2025 15:00:18)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,PLANT_SEQ_NO,TIMESTAMP,
2,1 , RIL,,0,3,1, 	(19-MAY-2025 15:00:18)
2,1 , RIL,,0,3,1, 	(19-MAY-2025 15:00:18)	 (Not Inserted)
2,1 , RIL,,0,3,2, 	(19-MAY-2025 15:00:18)
2,1 , RIL,,0,1,1, 	(19-MAY-2025 15:00:18)
2,1 , RIL,,0,2,1, 	(19-MAY-2025 15:00:18)
2,1 , RIL,,1,2,1, 	(19-MAY-2025 15:00:18)
2,2 , MGL,,2,6,1, 	(19-MAY-2025 15:00:18)
2,2 , MGL,,2,6,2, 	(19-MAY-2025 15:00:18)
2,2 , MGL,,1,6,1, 	(19-MAY-2025 15:00:18)
2,2 , MGL,,1,6,2, 	(19-MAY-2025 15:00:18)
2,2 , MGL,,0,6,1, 	(19-MAY-2025 15:00:18)
2,2 , MGL,,0,6,2, 	(19-MAY-2025 15:00:18)
2,2 , MGL,,0,1,1, 	(19-MAY-2025 15:00:18)
2,2 , MGL,,0,2,1, 	(19-MAY-2025 15:00:18)
2,2 , MGL,,0,3,1, 	(19-MAY-2025 15:00:18)
2,2 , MGL,,0,4,1, 	(19-MAY-2025 15:00:18)
2,2 , MGL,,0,5,1, 	(19-MAY-2025 15:00:18)
2,3 , GSPCL,,4,1,1, 	(19-MAY-2025 15:00:18)
2,3 , GSPCL,,0,2,1, 	(19-MAY-2025 15:00:18)
2,4 , Gail,,0,1,1, 	(19-MAY-2025 15:00:18)
2,4 , Gail,,0,2,1, 	(19-MAY-2025 15:00:18)
2,4 , Gail,,1,2,1, 	(19-MAY-2025 15:00:18)
2, , BPL,,0,1,1, 	(19-MAY-2025 15:00:18)	 (Not Inserted)
2, , EPL,,0,1,1, 	(19-MAY-2025 15:00:18)	 (Not Inserted)
2,217 , ESL,,0,1,1, 	(19-MAY-2025 15:00:18)
2,7 , DFPCL,,0,2,1, 	(19-MAY-2025 15:00:18)
2,7 , DFPCL,,0,2,2, 	(19-MAY-2025 15:00:18)
2,7 , DFPCL,,0,1,1, 	(19-MAY-2025 15:00:18)
2,8 , AIGL,,0,1,1, 	(19-MAY-2025 15:00:18)
2,218 , ESEZ,,0,1,1, 	(19-MAY-2025 15:00:18)
2,225 , VIL,,0,1,1, 	(19-MAY-2025 15:00:18)
2, , VSIL,,0,1,1, 	(19-MAY-2025 15:00:18)	 (Not Inserted)
2,10 , GGCL,,0,1,1, 	(19-MAY-2025 15:00:18)
2,11 , TPL,,0,1,1, 	(19-MAY-2025 15:00:18)
2,280 , WMSL,,0,1,1, 	(19-MAY-2025 15:00:18)
2,280 , WMSL,,1,1,1, 	(19-MAY-2025 15:00:18)
2,280 , WMSL,,0,2,1, 	(19-MAY-2025 15:00:18)
2,12 , MNGL,,0,1,1, 	(19-MAY-2025 15:00:18)
2,13 , IGL,,0,2,1, 	(19-MAY-2025 15:00:18)
2,13 , IGL,,0,2,1, 	(19-MAY-2025 15:00:18)	 (Not Inserted)
2,13 , IGL,,0,2,2, 	(19-MAY-2025 15:00:18)
2,13 , IGL,,0,1,1, 	(19-MAY-2025 15:00:18)
2,14 , BPCL,,0,1,1, 	(19-MAY-2025 15:00:18)
2,269 , TEL,,0,1,1, 	(19-MAY-2025 15:00:18)
2,15 , HPCL,,0,2,1, 	(19-MAY-2025 15:00:18)
2,15 , HPCL,,0,2,1, 	(19-MAY-2025 15:00:18)	 (Not Inserted)
2,15 , HPCL,,0,2,2, 	(19-MAY-2025 15:00:18)
2,15 , HPCL,,0,1,1, 	(19-MAY-2025 15:00:18)
2,15 , HPCL,,1,1,1, 	(19-MAY-2025 15:00:18)
2,15 , HPCL,,2,1,1, 	(19-MAY-2025 15:00:18)
2,16 , JSW,,0,1,1, 	(19-MAY-2025 15:00:18)
2,16 , JSW,,0,1,1, 	(19-MAY-2025 15:00:18)	 (Not Inserted)
2,17 , BGL,,0,1,1, 	(19-MAY-2025 15:00:18)
2,17 , BGL,,0,1,1, 	(19-MAY-2025 15:00:18)	 (Not Inserted)
2,18 , GSFC,,0,1,1, 	(19-MAY-2025 15:00:18)
2,228 , H-Energy,,0,1,1, 	(19-MAY-2025 15:00:18)
2,160 , SIMPL,,0,1,1, 	(19-MAY-2025 15:00:18)
2,160 , SIMPL,,0,1,1, 	(19-MAY-2025 15:00:18)	 (Not Inserted)
2,19 , ATGL,,0,1,1, 	(19-MAY-2025 15:00:18)
2,19 , ATGL,,0,1,1, 	(19-MAY-2025 15:00:18)	 (Not Inserted)
2,19 , ATGL,,0,1,2, 	(19-MAY-2025 15:00:18)
2,20 , AMNS,,0,1,1, 	(19-MAY-2025 15:00:18)
2,20 , AMNS,,0,1,2, 	(19-MAY-2025 15:00:18)
2,20 , AMNS,,0,1,1, 	(19-MAY-2025 15:00:18)	 (Not Inserted)
2,20 , AMNS,,0,1,3, 	(19-MAY-2025 15:00:18)
2,20 , AMNS,,0,2,1, 	(19-MAY-2025 15:00:18)
2,154 , SEMTPL,,0,1,1, 	(19-MAY-2025 15:00:18)
2,154 , SEMTPL,,0,1,2, 	(19-MAY-2025 15:00:18)
2,154 , SEMTPL,,0,1,1, 	(19-MAY-2025 15:00:18)	 (Not Inserted)
2,154 , SEMTPL,,0,1,3, 	(19-MAY-2025 15:00:18)
2,21 , SGIPL,,0,1,1, 	(19-MAY-2025 15:00:18)
2,22 , VGL,,0,1,1, 	(19-MAY-2025 15:00:18)
2,23 , PGPGPL,,0,1,1, 	(19-MAY-2025 15:00:18)
2,23 , PGPGPL,,0,1,1, 	(19-MAY-2025 15:00:18)	 (Not Inserted)
2,23 , PGPGPL,,0,1,2, 	(19-MAY-2025 15:00:18)
2,24 , HCG,,0,1,1, 	(19-MAY-2025 15:00:18)
2,25 , GGL,,0,1,1, 	(19-MAY-2025 15:00:18)
2,25 , GGL,,0,1,1, 	(19-MAY-2025 15:00:18)	 (Not Inserted)
2,25 , GGL,,0,1,2, 	(19-MAY-2025 15:00:18)
2,28 , HGL-RLNG,,0,1,1, 	(19-MAY-2025 15:00:18)
2,31 , HSIL,,0,1,1, 	(19-MAY-2025 15:00:18)
2,31 , HSIL,,0,1,2, 	(19-MAY-2025 15:00:18)
2,31 , HSIL,,0,1,1, 	(19-MAY-2025 15:00:18)	 (Not Inserted)
2,31 , HSIL,,0,1,3, 	(19-MAY-2025 15:00:18)
2, , VVF,,0,1,1, 	(19-MAY-2025 15:00:18)	 (Not Inserted)
2, , VVF,,0,1,2, 	(19-MAY-2025 15:00:18)	 (Not Inserted)
