

<<START>>,<<FMS_GTA_SG_INV_MST>>,, 	(12-SEP-2025 15:30:39)
 
COMPANY_CD, COUNTERPARTY_CD, AGMT_NO, AGMT_REV, CONT_NO, CONT_REV, CONTRACT_TYPE, TRANS_BU_UNIT, BU_UNIT, FREQ, PERIOD_START_DT, PERIOD_END_DT, INVOICE_TYPE, INVOICE_SEQ, INV_NO ,TIMESTAMP,
2,4,1,0,25,0,C,1,1,2,16/06/2024 00:00:00,30/06/2024 00:00:00,TC,13,UPG2A24109004249, 	(12-SEP-2025 15:30:40)
2,4,1,0,28,0,C,1,1,1,01/02/2025 00:00:00,15/02/2025 00:00:00,TC,14,UPG2A24109021625, 	(12-SEP-2025 15:30:40)
2,4,1,0,28,0,C,1,1,1,01/02/2025 00:00:00,15/02/2025 00:00:00,TC,15,UPG2A24109021627, 	(12-SEP-2025 15:30:40)
2,4,1,0,28,0,C,1,1,1,01/02/2025 00:00:00,15/02/2025 00:00:00,TC,16,UPG2A24109021628, 	(12-SEP-2025 15:30:40)
2,4,1,0,28,0,C,1,1,2,16/02/2025 00:00:00,28/02/2025 00:00:00,TC,17,UPG2A24109022849, 	(12-SEP-2025 15:30:40)
2,4,1,0,69,0,C,1,1,2,16/03/2024 00:00:00,31/03/2024 00:00:00,TC,14,UPG2A23109017566, 	(12-SEP-2025 15:30:40)
2,4,1,0,24,0,C,1,1,1,01/04/2024 00:00:00,15/04/2024 00:00:00,TC,18,UPG2A24109000056, 	(12-SEP-2025 15:30:40)
2,4,1,0,24,0,C,1,1,2,16/04/2024 00:00:00,30/04/2024 00:00:00,TC,19,UPG2A24109000753, 	(12-SEP-2025 15:30:40)
2,4,1,0,24,0,C,1,1,1,01/05/2024 00:00:00,15/05/2024 00:00:00,TC,20,UPG2A24109001690, 	(12-SEP-2025 15:30:40)
2,4,1,0,24,0,C,1,1,2,16/05/2024 00:00:00,31/05/2024 00:00:00,TC,21,UPG2A24109002362, 	(12-SEP-2025 15:30:40)
2,4,1,0,24,0,C,1,1,1,01/06/2024 00:00:00,15/06/2024 00:00:00,TC,22,UPG2A24109003155, 	(12-SEP-2025 15:30:40)
2,4,1,0,24,0,C,1,1,2,16/06/2024 00:00:00,30/06/2024 00:00:00,TC,23,UPG2A24109004177, 	(12-SEP-2025 15:30:40)
2,4,1,0,30,0,C,1,1,1,01/02/2025 00:00:00,15/02/2025 00:00:00,TC,24,UPG2A24109021636, 	(12-SEP-2025 15:30:40)
2,4,1,0,30,0,C,1,1,1,01/02/2025 00:00:00,15/02/2025 00:00:00,TC,25,UPG2A24109021637, 	(12-SEP-2025 15:30:40)
2,4,1,0,30,0,C,1,1,1,01/02/2025 00:00:00,15/02/2025 00:00:00,TC,26,UPG2A24109021638, 	(12-SEP-2025 15:30:40)
2,4,1,0,30,0,C,1,1,2,16/02/2025 00:00:00,28/02/2025 00:00:00,TC,27,UPG2A24109023079, 	(12-SEP-2025 15:30:40)
2,4,1,0,51,0,C,1,1,1,01/04/2024 00:00:00,15/04/2024 00:00:00,TC,28,UPG2A24109000159, 	(12-SEP-2025 15:30:40)
2,4,1,0,51,0,C,1,1,2,16/04/2024 00:00:00,30/04/2024 00:00:00,TC,29,UPG2A24109000758, 	(12-SEP-2025 15:30:40)
2,4,1,0,51,0,C,1,1,1,01/05/2024 00:00:00,15/05/2024 00:00:00,TC,30,UPG2A24109001920, 	(12-SEP-2025 15:30:40)
2,4,1,0,51,0,C,1,1,2,16/05/2024 00:00:00,31/05/2024 00:00:00,TC,31,UPG2A24109002431, 	(12-SEP-2025 15:30:40)
2,4,1,0,51,0,C,1,1,2,16/05/2024 00:00:00,31/05/2024 00:00:00,IC,32,UPG2A24109002564, 	(12-SEP-2025 15:30:40)
2,4,1,0,49,0,C,1,1,1,01/08/2024 00:00:00,15/08/2024 00:00:00,TC,33,UPG2A24109006934, 	(12-SEP-2025 15:30:40)
2,4,1,0,49,0,C,1,1,1,01/08/2024 00:00:00,15/08/2024 00:00:00,IC,34,UPG2A24109007189, 	(12-SEP-2025 15:30:40)
2,4,1,0,49,0,C,1,1,2,16/08/2024 00:00:00,31/08/2024 00:00:00,TC,35,UPG2A24109007888, 	(12-SEP-2025 15:30:40)
2,4,1,0,49,0,C,1,1,1,01/09/2024 00:00:00,15/09/2024 00:00:00,TC,36,UPG2A24109008361, 	(12-SEP-2025 15:30:40)
2,4,1,0,49,0,C,1,1,2,16/09/2024 00:00:00,30/09/2024 00:00:00,TC,37,UPG2A24109009319, 	(12-SEP-2025 15:30:40)
2,4,1,0,26,0,C,1,1,2,16/03/2025 00:00:00,31/03/2025 00:00:00,TC,38,UPG2A24109025268, 	(12-SEP-2025 15:30:40)
2,4,1,0,133,0,C,1,1,1,01/09/2023 00:00:00,15/09/2023 00:00:00,TC,15,UPG2A23109007655, 	(12-SEP-2025 15:30:40)
2,4,1,0,133,0,C,1,1,2,16/09/2023 00:00:00,30/09/2023 00:00:00,TC,16,UPG2A23109008198, 	(12-SEP-2025 15:30:40)
2,4,1,0,132,0,C,1,1,1,01/09/2023 00:00:00,15/09/2023 00:00:00,TC,17,UPG2A23109007657, 	(12-SEP-2025 15:30:40)
2,4,1,0,132,0,C,1,1,2,16/09/2023 00:00:00,30/09/2023 00:00:00,TC,18,UPG2A23109008202, 	(12-SEP-2025 15:30:40)
2,4,1,0,131,0,C,1,1,1,01/09/2023 00:00:00,15/09/2023 00:00:00,TC,19,UPG2A23109007667, 	(12-SEP-2025 15:30:40)
2,4,1,0,131,0,C,1,1,2,16/09/2023 00:00:00,30/09/2023 00:00:00,TC,20,UPG2A23109008203, 	(12-SEP-2025 15:30:40)
2,4,1,0,125,0,C,1,1,1,01/09/2023 00:00:00,15/09/2023 00:00:00,TC,21,UPG2A23109007672, 	(12-SEP-2025 15:30:40)
2,4,1,0,125,0,C,1,1,2,16/09/2023 00:00:00,30/09/2023 00:00:00,TC,22,UPG2A23109008214, 	(12-SEP-2025 15:30:40)
2,4,1,0,34,0,C,1,1,1,01/01/2025 00:00:00,15/01/2025 00:00:00,TC,39,UPG2A24109018889-8887, 	(12-SEP-2025 15:30:40)
2,4,1,0,135,0,C,1,1,1,01/09/2023 00:00:00,15/09/2023 00:00:00,TC,23,UPG2A23109007598, 	(12-SEP-2025 15:30:40)
2,4,1,0,135,0,C,1,1,2,16/09/2023 00:00:00,30/09/2023 00:00:00,TC,24,UPG2A23109008183, 	(12-SEP-2025 15:30:40)
2,4,1,0,23,0,C,1,1,1,01/04/2024 00:00:00,15/04/2024 00:00:00,TC,40,UPG2A24109000223, 	(12-SEP-2025 15:30:40)
2,4,1,0,23,0,C,1,1,2,16/04/2024 00:00:00,30/04/2024 00:00:00,TC,41,UPG2A24109000861, 	(12-SEP-2025 15:30:40)
2,4,1,0,23,0,C,1,1,1,01/05/2024 00:00:00,15/05/2024 00:00:00,TC,42,UPG2A24109001752, 	(12-SEP-2025 15:30:40)
2,4,1,0,23,0,C,1,1,2,16/05/2024 00:00:00,31/05/2024 00:00:00,TC,43,UPG2A24109002364, 	(12-SEP-2025 15:30:40)
2,4,1,0,23,0,C,1,1,1,01/06/2024 00:00:00,15/06/2024 00:00:00,TC,44,UPG2A24109003615, 	(12-SEP-2025 15:30:40)
2,4,1,0,23,0,C,1,1,2,16/06/2024 00:00:00,30/06/2024 00:00:00,TC,45,UPG2A24109003987, 	(12-SEP-2025 15:30:40)
2,4,1,0,23,0,C,1,1,1,01/08/2024 00:00:00,15/08/2024 00:00:00,TC,46,UPG2A24109007113, 	(12-SEP-2025 15:30:40)
2,4,1,0,23,0,C,1,1,2,16/08/2024 00:00:00,31/08/2024 00:00:00,TC,47,UPG2A24109007703, 	(12-SEP-2025 15:30:40)
2,4,1,0,23,0,C,1,1,1,01/09/2024 00:00:00,15/09/2024 00:00:00,TC,48,UPG2A24109008395, 	(12-SEP-2025 15:30:40)
2,4,1,0,23,0,C,1,1,2,16/09/2024 00:00:00,30/09/2024 00:00:00,TC,49,UPG2A24109009607, 	(12-SEP-2025 15:30:40)
2,4,1,0,23,0,C,1,1,1,01/10/2024 00:00:00,15/10/2024 00:00:00,TC,50,UPG2A24109010464, 	(12-SEP-2025 15:30:40)
2,4,1,0,23,0,C,1,1,2,16/10/2024 00:00:00,31/10/2024 00:00:00,TC,51,UPG2A24109012142, 	(12-SEP-2025 15:30:40)
2,4,1,0,23,0,C,1,1,2,16/10/2024 00:00:00,31/10/2024 00:00:00,IC,52,UPG2A24109012607, 	(12-SEP-2025 15:30:40)
2,4,1,0,23,0,C,1,1,1,01/11/2024 00:00:00,15/11/2024 00:00:00,TC,53,UPG2A24109013333, 	(12-SEP-2025 15:30:40)
2,4,1,0,23,0,C,1,1,1,01/11/2024 00:00:00,15/11/2024 00:00:00,IC,54,UPG2A24109013579, 	(12-SEP-2025 15:30:40)
2,4,1,0,23,0,C,1,1,2,16/11/2024 00:00:00,30/11/2024 00:00:00,TC,55,UPG2A24109014917, 	(12-SEP-2025 15:30:40)
2,4,1,0,23,0,C,1,1,1,01/12/2024 00:00:00,15/12/2024 00:00:00,TC,56,UPG2A24109016129, 	(12-SEP-2025 15:30:40)
2,4,1,0,23,0,C,1,1,2,16/12/2024 00:00:00,31/12/2024 00:00:00,TC,57,UPG2A24109017594, 	(12-SEP-2025 15:30:40)
2,4,1,0,23,0,C,1,1,1,01/01/2025 00:00:00,15/01/2025 00:00:00,TC,58,UPG2A24109018821, 	(12-SEP-2025 15:30:40)
2,4,1,0,23,0,C,1,1,2,16/01/2025 00:00:00,31/01/2025 00:00:00,TC,59,UPG2A24109020465, 	(12-SEP-2025 15:30:40)
2,4,1,0,23,0,C,1,1,1,01/02/2025 00:00:00,15/02/2025 00:00:00,TC,60,UPG2A24109021429, 	(12-SEP-2025 15:30:40)
2,4,1,0,23,0,C,1,1,2,16/02/2025 00:00:00,28/02/2025 00:00:00,TC,61,UPG2A24109022857, 	(12-SEP-2025 15:30:40)
2,4,1,0,23,0,C,1,1,1,01/03/2025 00:00:00,15/03/2025 00:00:00,TC,62,UPG2A24109023989, 	(12-SEP-2025 15:30:40)
2,4,1,0,23,0,C,1,1,2,16/03/2025 00:00:00,31/03/2025 00:00:00,TC,63,UPG2A24109025804, 	(12-SEP-2025 15:30:40)
2,4,1,0,41,0,C,1,1,1,01/03/2024 00:00:00,15/03/2024 00:00:00,TC,25,UPG2A23109016562, 	(12-SEP-2025 15:30:40)
2,4,1,0,41,0,C,1,1,2,16/03/2024 00:00:00,31/03/2024 00:00:00,TC,26,UPG2A23109017521, 	(12-SEP-2025 15:30:40)
2,4,1,0,41,0,C,1,1,1,01/04/2024 00:00:00,15/04/2024 00:00:00,IC,64,UPG2A24109000072, 	(12-SEP-2025 15:30:40)
2,4,1,0,41,0,C,1,1,1,01/04/2024 00:00:00,15/04/2024 00:00:00,IC,65,UPG2A24109000073, 	(12-SEP-2025 15:30:40)
2,4,1,0,41,0,C,1,1,1,01/04/2024 00:00:00,15/04/2024 00:00:00,TC,66,UPG2A24109000303, 	(12-SEP-2025 15:30:40)
2,4,1,0,41,0,C,1,1,2,16/04/2024 00:00:00,30/04/2024 00:00:00,TC,67,UPG2A24109000806, 	(12-SEP-2025 15:30:40)
2,4,1,0,41,0,C,1,1,1,01/05/2024 00:00:00,15/05/2024 00:00:00,TC,68,UPG2A24109001785, 	(12-SEP-2025 15:30:40)
2,4,1,0,41,0,C,1,1,2,16/05/2024 00:00:00,31/05/2024 00:00:00,TC,69,UPG2A24109002421, 	(12-SEP-2025 15:30:40)
