

<<START>>,<<FMS_TRUCK_TRANSPORTER_LINK>>,,, 	(23-MAY-2025 12:11:10)
 
ENT_PROFILE,TRUCK_TRANS_CD,TRUCK_CD,EFF_DT,TIMESTAMP,
2,2,84,31/08/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,2,112,31/08/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,58,01/09/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,2,24,04/09/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,2,56,05/09/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,1,54,05/09/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,2,7,06/09/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,4,109,06/09/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,2,8,10/09/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,1,57,10/09/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,1,54,11/09/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,2,9,21/09/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,2,24,27/09/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,58,02/10/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,59,02/10/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,2,24,04/10/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,2,24,05/10/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,113,11/10/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,6,80,12/10/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,6,80,12/10/2021 00:00:00, 	(23-MAY-2025 12:11:11)	 (Not Inserted)
2,1,19,13/10/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,1,1,17/10/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,6,21,20/10/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,1,79,24/10/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,6,47,25/10/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,6,47,09/11/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,113,10/11/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,1,11,11/11/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,6,21,11/11/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,2,7,19/11/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,58,22/11/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,113,25/11/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,59,26/11/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,59,26/11/2021 00:00:00, 	(23-MAY-2025 12:11:11)	 (Not Inserted)
2,12,58,26/11/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,4,20,28/11/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,12,113,30/11/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,1,1,04/12/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,1,57,06/12/2021 00:00:00, 	(23-MAY-2025 12:11:11)
2,4,20,08/12/2021 00:00:00, 	(23-MAY-2025 12:11:11)
