

<<START>>,<<FMS_SUPPLY_CONT_TRANSPTR>>,,,,,,,, 	(04-JUN-2025 15:54:00)
 
COMPANY_CD, COUNTERPARTY_CD, AGMT_NO, AGMT_REV, CONT_NO, CONT_REV, CONTRACT_TYPE, TRANSPORTER_CD, PLANT_SEQ_NO,TIMESTAMP,
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,4, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,3, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
2,5,,,,,,4,1, 	(04-JUN-2025 15:54:00)	 (Not Inserted)
