

<<START>>,<<FMS_ENTITY_BU_SVC_TAX_DTL>>,,,,,,, 	(23-JUL-2025 15:33:49)
 
COMPANY_CD,CD,ABBR,ENTITY,PLANT_SEQ_NO,INVOICE_TYPE,BU_UNIT,EFF_DT,TIMESTAMP
2 ,282 , JMB , H , 1 , CH , 1 , 10/09/2004 00:00:00, 	(23-JUL-2025 15:33:49)
2,282 , JMB , H , 1 , CH , 1 , 12/05/2007 00:00:00, 	(23-JUL-2025 15:33:49)	 (Not Inserted)
2, , BOXCO , H , 1 , CH , 1 , 12/05/2007 00:00:00, 	(23-JUL-2025 15:33:49)	 (Not Inserted)
2,232 , JBB , S , 1 , SF , 1 , 12/05/2007 00:00:00, 	(23-JUL-2025 15:33:49)	 (Not Inserted)
2 ,232 , JBB , S , 1 , SF , 1 , 24/02/2009 00:00:00, 	(23-JUL-2025 15:33:49)
2 ,232 , JBB , S , 1 , SF , 1 , 01/04/2012 00:00:00, 	(23-JUL-2025 15:33:49)
2 ,264 , SSAPL , S , 1 , SF , 1 , 01/04/2012 00:00:00, 	(23-JUL-2025 15:33:49)
2 ,265 , SLPL , H , 1 , CH , 1 , 01/06/2016 00:00:00, 	(23-JUL-2025 15:33:49)

TOTAL DATA IN EXCEL : ,8,,,,,,, 	(23-JUL-2025 15:33:49)
 

TOTAL DATA INSERTED : ,5,,,,,,, 	(23-JUL-2025 15:33:49)
 

TOTAL SKIPPED DATA ,3,,,,,,, 	(23-JUL-2025 15:33:49)
 
<<END>>,<<FMS_ENTITY_BU_SVC_TAX_DTL>>,,,,,,, 	(23-JUL-2025 15:33:49)
 
