

<<START>>,<<FMS_SECURITY_MST(P)>>,,,, 	(28-MAY-2025 11:29:45)
 
COMPANY_CD,CD,SEQ_NO,SEQ_REV_NO,GX,TIMESTAMP
2,null ,1 ,, ,RIL-1-9-D-22009-0,RIL-CBM-S-10, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,2 ,, ,RIL-1-10-D-22010-0,RIL-CBM-S-11, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,3 ,, ,RIL-1-11-D-22011-0,RIL-CBM-S-12, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,4 ,, ,RIL-1-12-D-22012-0,RIL-CBM-S-13, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,5 ,, ,SELNG-1-1-N-22013-0,SELNG-S-2, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,6 ,, ,SELNG-1-1-N-21063-0,SELNG-S-1, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,7 ,, ,AMNS-1-1-N-21064-0,AM/NS-T-S-1, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,8 ,, ,AMNS-1-1-N-21065-0,AM/NS-T-S-2, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,9 ,, ,SITME-1-1-N-21050-0,SITME-S-1, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,10 ,, ,RIL-1-8-D-22008-0,RIL-CBM-S-8, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,null ,11 ,, ,RIL-1-9-D-22009-0,RIL-CBM-S-9, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,20 ,12, 0 ,K,AMNS-1-1-N-22022-0,AMNS-S-13, 	(28-MAY-2025 11:29:45)
2,154 ,13, 0 ,K,SEMTPL-1-1-N-22029-0,SEMTIPL-S-7, 	(28-MAY-2025 11:29:45)
2,154 ,14, 0 ,K,SEMTPL-2-1-D-22031-5,SEMTIPL-S-10, 	(28-MAY-2025 11:29:45)
2,154 ,15, 0 ,K,SEMTPL-4-1-D-23003-0,SEMTIPL-S-17, 	(28-MAY-2025 11:29:45)
2,154 ,16, 0 ,K,SEMTPL-3-1-D-23001-0,SEMTIPL-S-18, 	(28-MAY-2025 11:29:45)
2,null ,17 ,, ,SITMEFZ-3-1-N-23010-0,SITMEFZ-S-2, 	(28-MAY-2025 11:29:45)	 (Not Inserted)
2,20 ,18, 0 ,K,AMNS-3-1-N-22028-0,AMNS-S-16, 	(28-MAY-2025 11:29:45)
2,154 ,19, 0 ,K,SEMTPL-2-1-D-22034-5,SEMTIPL-S-13, 	(28-MAY-2025 11:29:45)
2,154 ,20, 0 ,K,SEMTPL-2-1-D-22031-5,SEMTIPL-S-9, 	(28-MAY-2025 11:29:45)
2,154 ,21, 0 ,K,SEMTPL-2-1-D-22031-5,SEMTIPL-S-11, 	(28-MAY-2025 11:29:45)
2,20 ,22, 0 ,K,AMNS-2-1-D-22033-2,AMNS-S-19, 	(28-MAY-2025 11:29:45)
2,20 ,23, 0 ,K,AMNS-3-1-T-22036-1,AMNS-S-20, 	(28-MAY-2025 11:29:45)
2,154 ,24, 0 ,K,SEMTPL-5-1-D-23004-0,SEMTIPL-S-19, 	(28-MAY-2025 11:29:45)
2,15 ,25, 0 ,K,HPCL-5-1-N-22019-0,HPCL-S-17, 	(28-MAY-2025 11:29:45)
