

<<START>>,<<FMS_TRADER_AGMT_MST>>,,,, 	(04-JUN-2025 09:16:01)
 
COMPANY_CD,COUNTERPARTY_CD,, 	(04-JUN-2025 09:16:01)
 
COMPANY_CD,COUNTERPARTY_CD,, 	(04-JUN-2025 09:16:01)
 
COMPANY_CD,COUNTERPARTY_CD,, 	(04-JUN-2025 09:16:01)
 
COMPANY_CD,COUNTERPARTY_CD,, 	(04-JUN-2025 09:16:01)
 

TOTAL DATA IN EXCEL : ,0, 	(04-JUN-2025 09:16:01)
 

TOTAL DATA INSERTED : ,5, 	(04-JUN-2025 09:16:01)
 

TOTAL SKIPPED DATA ,0, 	(04-JUN-2025 09:16:01)
 
<<END>>,<<FMS_TRADER_AGMT_MST>>, 	(04-JUN-2025 09:16:01)
 

<<START>>,<<FMS_TRADER_AGMT_PLANT>>, 	(04-JUN-2025 09:16:01)
 

TOTAL DATA IN EXCEL : ,0, 	(04-JUN-2025 09:16:01)
 

TOTAL DATA INSERTED : ,5, 	(04-JUN-2025 09:16:01)
 

TOTAL SKIPPED DATA ,0, 	(04-JUN-2025 09:16:01)
 
<<END>>,<<FMS_TRADER_AGMT_PLANT>>, 	(04-JUN-2025 09:16:01)
 

<<START>>,<<FMS_TRADER_AGMT_BU>>, 	(04-JUN-2025 09:16:01)
 

TOTAL DATA IN EXCEL : ,0, 	(04-JUN-2025 09:16:01)
 

TOTAL DATA INSERTED : ,5, 	(04-JUN-2025 09:16:01)
 

TOTAL SKIPPED DATA ,0, 	(04-JUN-2025 09:16:01)
 
<<END>>,<<FMS_TRADER_AGMT_BU>>, 	(04-JUN-2025 09:16:01)
 

<<START>>,<<FMS_TRADER_AGMT_BILLING_DTL>>, 	(04-JUN-2025 09:16:01)
 

TOTAL DATA IN EXCEL : ,0, 	(04-JUN-2025 09:16:01)
 

TOTAL DATA INSERTED : ,5, 	(04-JUN-2025 09:16:01)
 

TOTAL SKIPPED DATA ,0, 	(04-JUN-2025 09:16:01)
 
<<END>>,<<FMS_TRADER_AGMT_BILLING_DTL>>, 	(04-JUN-2025 09:16:01)
 

<<START>>,<<FMS_TRADER_CN_MST>>,,,,, 	(04-JUN-2025 09:16:01)
 
COMPANY_CD,CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_TYPE,CONT_NO,CONT_REV,CARGO_REF,TIMESTAMP
2, 270,  M , 1,  0 , N, 710029, 0,10004, 	(04-JUN-2025 09:16:01)
2, 270,  M , 1,  0 , N, 710030, 0,10005, 	(04-JUN-2025 09:16:01)
2, 270,  M , 1,  0 , N, 711001, 0,10009, 	(04-JUN-2025 09:16:01)
2, 270,  M , ,  0 , N, 711002, 0,10009, 	(04-JUN-2025 09:16:01)	 (Not Inserted)
2, 270,  M , ,  0 , N, 711002, 0,10009, 	(04-JUN-2025 09:16:01)	 (Not Inserted)
2, 270,  M , ,  0 , N, 711002, 0,10009, 	(04-JUN-2025 09:16:01)	 (Not Inserted)
2, 270,  M , ,  0 , N, 711002, 0,10009, 	(04-JUN-2025 09:16:01)	 (Not Inserted)
2, 270,  M , ,  0 , N, 711002, 0,10009, 	(04-JUN-2025 09:16:01)	 (Not Inserted)
2, 270,  M , 1,  0 , N, 711002, 0,11002, 	(04-JUN-2025 09:16:01)
2, 270,  M , 1,  0 , N, 711003, 0,11006, 	(04-JUN-2025 09:16:01)
2, 270,  M , 1,  0 , N, 712001, 0,11008, 	(04-JUN-2025 09:16:01)
2, 270,  M , ,  0 , N, 712002, 0,11008, 	(04-JUN-2025 09:16:01)	 (Not Inserted)
2, 270,  M , ,  0 , N, 712002, 0,11008, 	(04-JUN-2025 09:16:01)	 (Not Inserted)
2, 270,  M , 1,  0 , N, 713001, 0,11009, 	(04-JUN-2025 09:16:01)
2, 270,  M , ,  0 , N, 713002, 0,11009, 	(04-JUN-2025 09:16:01)	 (Not Inserted)
2, 270,  M , ,  0 , N, 713002, 0,11009, 	(04-JUN-2025 09:16:01)	 (Not Inserted)
2, 270,  M , ,  0 , N, 713002, 0,11009, 	(04-JUN-2025 09:16:01)	 (Not Inserted)
2, 270,  M , ,  0 , N, 713002, 0,11009, 	(04-JUN-2025 09:16:01)	 (Not Inserted)
2, 270,  M , ,  0 , N, 713002, 0,11009, 	(04-JUN-2025 09:16:01)	 (Not Inserted)
2, 116,  M , 1,  0 , N, 710031, 0,5001, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710032, 0,5003, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710033, 0,6001, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710034, 0,6002, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710035, 0,6004, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710036, 0,6005, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710037, 0,6006, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710038, 0,6007, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710039, 0,6008, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710040, 0,6009, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710041, 0,6010, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710042, 0,6011, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710043, 0,6013, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710044, 0,6014, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710045, 0,7001, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710046, 0,7002, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710047, 0,7003, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710048, 0,7005, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710049, 0,7006, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710050, 0,7008, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710051, 0,7009, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710052, 0,7010, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710053, 0,7011, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710054, 0,7013, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710055, 0,7014, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710056, 0,7015, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710057, 0,7016, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710058, 0,7017, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710059, 0,7018, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710060, 0,7021, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710061, 0,7025, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710062, 0,7026, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710063, 0,7027, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710064, 0,7028, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710065, 0,7029, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710066, 0,8002, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710067, 0,8003, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710068, 0,8004, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710069, 0,8005, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710070, 0,8006, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710071, 0,8008, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710072, 0,8009, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710073, 0,8010, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710074, 0,8011, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710075, 0,8012, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710076, 0,8016, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710077, 0,8018, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710078, 0,8020, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710079, 0,8022, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710080, 0,8023, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710081, 0,8024, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 710082, 0,8027, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 721001, 0,21014, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 721002, 0,21016, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 721003, 0,21017, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 721004, 0,21018, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 721005, 0,21023, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 722001, 0,22002, 	(04-JUN-2025 09:16:01)
2, 116,  M , 1,  0 , N, 722002, 0,22013, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 710083, 0,8029, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 710084, 0,8030, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 710085, 0,9001, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 710086, 0,9002, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 710087, 0,9006, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 710088, 0,9008, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 710089, 0,9009, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 710090, 0,9010, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 710091, 0,9015, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 710092, 0,9019, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 710093, 0,9020, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 710094, 0,9022, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 710095, 0,10001, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 710096, 0,10003, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 710097, 0,10006, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 710098, 0,10007, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 710099, 0,10008, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 711004, 0,10011, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 711005, 0,10012, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 711006, 0,11001, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 711007, 0,11003, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 711008, 0,11004, 	(04-JUN-2025 09:16:01)
2, 256,  M , 1,  0 , N, 711009, 0,11005, 	(04-JUN-2025 09:16:01)
