

<<START>>,<<FMS_CUSTOM_PD_BOND_DTL>>,,, 	(24-JUN-2025 10:23:19)
 
COMPANY_CD,SEQ_NO ,CAL_YEAR,PD_BOND,TIMESTAMP
2,1,2011,69387863.79, 	(24-JUN-2025 10:23:19)
2,2,2011,52000000, 	(24-JUN-2025 10:23:19)
2,1,2012,198800000, 	(24-JUN-2025 10:23:19)
2,2,2012,182300000, 	(24-JUN-2025 10:23:19)
2,3,2012,72500000, 	(24-JUN-2025 10:23:19)
2,4,2012,189100000, 	(24-JUN-2025 10:23:19)
2,5,2012,78100000, 	(24-JUN-2025 10:23:19)
2,1,2013,167400000, 	(24-JUN-2025 10:23:19)
2,2,2013,178600000, 	(24-JUN-2025 10:23:19)
2,3,2013,178500000, 	(24-JUN-2025 10:23:19)
2,4,2013,197700000, 	(24-JUN-2025 10:23:19)
2,5,2013,217400000, 	(24-JUN-2025 10:23:19)
2,6,2013,170500000, 	(24-JUN-2025 10:23:19)
2,1,2014,12500000, 	(24-JUN-2025 10:23:19)
2,2,2014,111600000, 	(24-JUN-2025 10:23:19)
2,3,2014,111200000, 	(24-JUN-2025 10:23:19)
2,4,2014,64400000, 	(24-JUN-2025 10:23:19)
2,5,2014,26800000, 	(24-JUN-2025 10:23:19)
2,6,2014,141900000, 	(24-JUN-2025 10:23:19)
2,7,2014,20500000, 	(24-JUN-2025 10:23:19)
2,1,2015,70000000, 	(24-JUN-2025 10:23:19)
2,2,2015,103700000, 	(24-JUN-2025 10:23:19)
2,3,2015,17000000, 	(24-JUN-2025 10:23:19)
2,1,2016,18000000, 	(24-JUN-2025 10:23:19)
2,1,2017,56600000, 	(24-JUN-2025 10:23:19)
2,1,2019,3700000, 	(24-JUN-2025 10:23:19)
2,2,2019,1300000, 	(24-JUN-2025 10:23:19)
2,3,2019,4500000, 	(24-JUN-2025 10:23:19)
2,4,2019,6600000, 	(24-JUN-2025 10:23:19)
2,5,2019,2700000, 	(24-JUN-2025 10:23:19)
2,6,2019,3600000, 	(24-JUN-2025 10:23:19)
2,7,2019,17000000, 	(24-JUN-2025 10:23:19)
2,8,2019,2200000, 	(24-JUN-2025 10:23:19)
2,9,2019,13200000, 	(24-JUN-2025 10:23:19)
2,10,2019,13500000, 	(24-JUN-2025 10:23:19)
2,11,2019,45500000, 	(24-JUN-2025 10:23:19)
2,12,2019,1700000, 	(24-JUN-2025 10:23:19)
2,13,2019,3500000, 	(24-JUN-2025 10:23:19)
2,14,2019,13903572.42, 	(24-JUN-2025 10:23:19)
2,15,2019,4500000, 	(24-JUN-2025 10:23:19)
2,1,2020,35400000, 	(24-JUN-2025 10:23:19)
2,2,2020,2500000, 	(24-JUN-2025 10:23:19)
2,3,2020,4700000, 	(24-JUN-2025 10:23:19)
2,4,2020,10100000, 	(24-JUN-2025 10:23:19)
2,5,2020,26500000, 	(24-JUN-2025 10:23:19)
2,6,2020,7500000, 	(24-JUN-2025 10:23:19)
2,7,2020,5000000, 	(24-JUN-2025 10:23:19)
2,8,2020,13000000, 	(24-JUN-2025 10:23:19)
2,9,2020,20100000, 	(24-JUN-2025 10:23:19)
2,10,2020,7300000, 	(24-JUN-2025 10:23:19)
2,11,2020,4000000, 	(24-JUN-2025 10:23:19)
2,12,2020,1800000, 	(24-JUN-2025 10:23:19)
2,13,2020,3600000, 	(24-JUN-2025 10:23:19)
2,14,2020,5461342.96, 	(24-JUN-2025 10:23:19)
2,15,2020,1804120, 	(24-JUN-2025 10:23:19)
2,16,2020,2396840, 	(24-JUN-2025 10:23:19)
2,17,2020,1812455, 	(24-JUN-2025 10:23:19)
2,18,2020,2542872, 	(24-JUN-2025 10:23:19)
2,19,2020,17614845, 	(24-JUN-2025 10:23:19)
2,20,2020,3465595, 	(24-JUN-2025 10:23:19)
2,21,2020,1616714, 	(24-JUN-2025 10:23:19)
2,22,2020,26886975, 	(24-JUN-2025 10:23:19)
2,23,2020,1791123, 	(24-JUN-2025 10:23:19)
2,24,2020,1842849, 	(24-JUN-2025 10:23:19)
2,25,2020,5418585, 	(24-JUN-2025 10:23:19)
2,26,2020,35108087, 	(24-JUN-2025 10:23:19)
2,27,2020,6941252, 	(24-JUN-2025 10:23:19)
2,28,2020,1908797, 	(24-JUN-2025 10:23:19)
2,29,2020,2300733, 	(24-JUN-2025 10:23:19)
2,30,2020,1759818, 	(24-JUN-2025 10:23:19)
2,31,2020,49458593, 	(24-JUN-2025 10:23:19)
