

<<START>>,<<FMS_COUNTERPARTY_MST_Update_IGX>>,, 	(24-JUN-2025 16:45:16)
 
CD,ABBR,IGX,TIMESTAMP
109 , PROTON,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
109 , PROTON,null, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
109 , PROTON,null, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
192 , ANTIQUE,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
192 , ANTIQUE,null, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
192 , ANTIQUE,null, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
149 , ACEGRAL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
149 , ACEGRAL,null, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
149 , ACEGRAL,null, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
38 , KAJARIA,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
222 , GASGROWS,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
222 , GASGROWS,null, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
39 , SISECAM,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
40 , ATPL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
41 , OPAL,Y, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
234 , JKPAPER,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
263 , STL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
273 , UEPL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
273 , UEPL,null, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
206 , CELLO,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
204 , CALDERYS,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
204 , CALDERYS,null, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
42 , RCF,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
201 , BWRL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
235 , KRYO,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
235 , KRYO,null, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
276 , VIRGO,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
196 , BLPL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
223 , GIPSKARTON,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
270 , TGPL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
116 , SELNG,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
256 , SITME,null, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , DT,null, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
268 , ThirdParty,null, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
152 , GUNSPL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , RIL-D6,Y, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
43 , BP,Y, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
20 , AMNS,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
20 , AMNS,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , RIL-CBM,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
226 , HPPL,null, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , PIL-Haz,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , PIL-Haz,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
45 , GSPL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , GAIL-Haz,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , GAIL-Haz,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , PLLD,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , PLLD,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , D6Gadimoga,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , D6Gadimoga,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , PANKGA,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , PANKGA,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , PMSKGA,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , PMSKGA,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , PBHDGS,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , PBHDGS,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , PURCHASE-T,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , PURCHASE-T,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , PARK-ANK,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , PARK-ANK,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , PHUCBM,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , PHUCBM,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , PARK-MSK,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , PARK-MSK,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , PARK-BHD,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , PARK-BHD,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , PARKPHUCBM,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , PARKPHUCBM,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
46 , TGLPL,Y, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
47 , TGBPL,Y, 	(24-JUN-2025 16:45:16)
48 , BGEPL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
231 , IMCL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , PMSKP,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , PMSKP,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
49 , VVF India,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
50 , GNFC,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
140 , MEGHHQX,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
51 , ONGC,Y, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
52 , GLIL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
272 , UGEL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
255 , SGI-AP,Y, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , IGX,Y, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , IGX,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , IGX,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , IGX,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
53 , RGPL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
224 , GTIPL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , GSPL-C,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , GSPL-C,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
117 , PEPL,Y, 	(24-JUN-2025 16:45:16)
54 , GFCL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
