

<<START>>,<<FMS_COUNTERPARTY_MST_Update_IGX>>,, 	(24-JUN-2025 16:45:16)
 
CD,ABBR,IGX,TIMESTAMP
72 , LA MANCHA KNUTSEN , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
73 , LNG FINIMA II , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
74 , IBRI LNG , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
75 , GOLAR KELVIN , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
76 , SOYO , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
77 , MYRINA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
78 , METHANE PATRICIA CAMILA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
79 , MARAN GAS ROXANA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
80 , GASLOG GENOA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
81 , LOBITO , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
82 , METHANE ALISON VICTORIA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
83 , MUBARAZ , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
84 , ISH , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
85 , PAN AFRICA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
86 , MARAN GAS OLYMPIAS , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
87 , MALANJE , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
88 , LNG ABALAMABIE , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
89 , MARIB SPIRIT , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
90 , MARAN GAS CORONIS , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
91 , ADAM LNG , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
92 , GASLOG SARATOGA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
93 , AL HAMRA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
94 , GASLOG SANTIAGO , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
95 , MARAN GAS EFFESSOS , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
96 , SEVILLA KNUTSEN , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
97 , SCF MITRE , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
98 , :LNG FINIMA II , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
99 , SONANGOL BENGUELA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
100 , BILBAO KNUTSEN , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
101 , LNG OYO , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
102 , GASLOG SHANGHAI , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
103 , MARAN GAS ACHILLES , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
104 , METHANE HEATHER SALLY , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
105 , GHASHA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
106 , GOLAR CELSIUS , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
107 , LNG RIVER ORASHI , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
108 , CASTILLO DE SANTISTEBAN , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
109 , LNG BENUE , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
110 , PUTERI DELIMA SATU , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
111 , CLEAN ENERGY , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
112 , MARAN GAS LINDOS , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
113 , LNG BORNO , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
114 , PALU LNG , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
115 , LNG BONNY II , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
116 , LNG OGUN , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
117 , LNG ABUJA II , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
118 , EXPRESS , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
119 , SONANGOL SAMBIZANGA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
120 , GASLOG GENEVA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
121 , SYMPHONIC BREEZE , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
122 , MACOMA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
123 , PSKOV , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
124 , METHANE NILE EAGLE , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
125 , SERI CAMELLIA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
126 , GRACILIS , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
127 , GRAND ELENA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
128 , SOHAR LNG , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
129 , BERGE ARZEW , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
130 , SERI ALAM , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
131 , LNG TENEGA AMPET , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
132 , SERI BEGAWAN , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
133 , SALALAH LNG , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
134 , SERI BIJASKSANA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
135 , BRITISH RUBY , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
136 , GOLAR MAZO , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
137 , GRAND MEREYA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
138 , HYUNDAI AQUAPIA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
139 , AL SAHLA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
140 , AL NUAMAN , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
141 , LNG PIONEER , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
142 , AL WAJBAH , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
143 , AL BIDDA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
144 , AL GHASHAMIYA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
145 , CADIZ KNUTSEN , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
146 , AL KHARSAAH , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
147 , SERI BALHAF , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
148 , MURWAB , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
149 , OYO , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
150 , AL KARAANA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
151 , AL SADD , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
152 , AL KHATTIYA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
153 , TRINITY ARROW , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
154 , BW GDF SUEZ PARIS , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
155 , AL REKAYYAT , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
156 , UMM BAB , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
157 , UMMAL AMAD , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
158 , LNG ENUGU , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
159 , GASLOG SALEM , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
160 , AL JASRA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
161 , AL KHAZNAH , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
162 , LNG IMO , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
163 , ARCTIC AURORA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
164 , WILPRIDE , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
165 , LNG ONDO , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
166 , MARAN GAS ALEXANDRIA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
167 , MARAN GAS TROY , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
168 , MARAN GAS AGAMEMNON , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
169 , ASIA ENERGY , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
170 , MARAN GAS MYSTRAS , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
171 , MARAN GAS APOLLONIA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
172 , GASLOG GIBRALTAR , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
173 , BRITISH EMERALD , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
174 , GOLAR GLACIER , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
175 , GRACE COSMOS , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
176 , CLEAN HORIZON , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
177 , GASLOG GLASGOW , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
178 , CORCOVADO LNG , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
179 , BW GDF SUEZ BRUSSELS , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
180 , NEO ENERGY , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
181 , EJNAN  , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
182 , GRANOSA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
183 , AL THAKHIRA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
184 , LNG BAYELSA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
185 , SIMAISMA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
186 , LNG CROSS RIVER , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
187 , LNG MARAN GAS ASCLEPIUS , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
188 , GRAND ANIVA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
189 , BRITISH MERCHANT , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
190 , GASELYS , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
191 , GALEA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
192 , LNG FINIMA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
193 , EXCEL , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
194 , DUMMY VESSEL , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
195 , MITHANE SHIRLEY ELISABETH , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
196 , BORNO , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
197 , MAESK METHANE , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
198 , AL MARROUNA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
199 , AL HAMLA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
200 , AL GATTARA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
201 , FUWAIRIT , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
202 , AL AREESH , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
203 , AL UTOURIYA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
204 , LNG SOKOTO , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
205 , MAERSK MARIB , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
206 , AL GHARIYA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
207 , AL KHOR , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
208 , AL ZUBARAH , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
209 , AL SAFLIYA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
210 , AL BAHIYA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
211 , AL RUWAIS , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
212 , ENERGY NAVIGATOR , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
213 , ARCTIC LADY , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
214 , AL HUWAILA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
215 , DUHAIL , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
216 , LNG ADAMAWA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
217 , MAERSK ARWA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
218 , AL KHARAITIYAT , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
219 , AL GHARRAFA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
220 , AL DEEBEL , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
221 , MESAIMEER , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
222 , AL ORAIQ , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
223 , AL KHUWAIR , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
224 , LNG SOLARIS , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
225 , LNG KHATTIYA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
226 , TRINITY GLORY , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
227 , GDF SUEZ CAPE ANN , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
228 , IBERICA KNUTSEN , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
229 , METHANE LYDON VOLNEY , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
230 , METHANE RITA ANDREA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
231 , CATALUNYA SPIRIT , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
232 , TEMBEK , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
233 , MAERSK MAGELLAN , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
234 , GEMMATA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
235 , GALEOMMA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
236 , GALLINA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
237 , LNG RIVER NIGER , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
238 , NIZWA LNG , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
239 , MUSCAT LNG , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
240 , CASTILLO DE VILLALBA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
241 , MAERSK QATAR , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
242 , SERI BALQIS , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
243 , EXCALLIBUR , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
244 , SERI ANGKASA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
245 , GRANDIS , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
246 , IBRA LNG , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
247 , GOLAR FROST , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
248 , CLEAN POWER , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
249 , ARWA SPIRIT , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
250 , ZEKREET , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
251 , MILAHA RAS LAFFAN , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
252 , ONAIZA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
253 , AL AAMRIYA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
254 , AL DAAYEN , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
255 , AL THUMAMA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
256 , FRAIHA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
257 , LNG RIVERS , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
258 , GDF SUEZ POINT FORTIN , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
259 , AL SHAMAL , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
260 , AL SHEEHANIYA , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
261 , LNG AKWA IBOM , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
262 , MADRID SPIRIT , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
263 , CLEAN OCEAN , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
264 , SEISHU MARU , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
265 , VALENCIA KNUTSEN , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
266 , GOLAR SPIRIT , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
267 , LNG KANO , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
268 , HONGKONG ENERGY , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
269 , MARVEL HAWK , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
270 , ITL , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
271 , LENA RIVER , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
272 , ENERGY INTEGRITY , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
273 , LNG ENTERPRISE , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
274 , WEN CHENG , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
275 , TANGGUH PALUNG , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
276 , EXTREMADURA KNUTSEN , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
277 , AMORE MIO I , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
278 , BW ENN SNOW LOTUS , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
279 , ENERGY ENDEAVOUR , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
280 , WUDANG , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)
281 , KOOL BLIZZARD , 01/01/2007 00:00:00, 	(24-JUN-2025 16:45:18)

TOTAL DATA IN EXCEL : ,281,, 	(24-JUN-2025 16:45:18)
 

TOTAL DATA INSERTED : ,281,, 	(24-JUN-2025 16:45:18)
 

TOTAL SKIPPED DATA ,0,, 	(24-JUN-2025 16:45:18)
 
<<END>>,<<FMS_SHIP_MST>>,, 	(24-JUN-2025 16:45:18)
 

<<START>>,<<FMS_ENTITY_CONTACT_MST>>,,,,,, 	(24-JUN-2025 16:45:18)
 
COMPANY_CD,CD,ABBR,ENTITY,SEQ_NO,EFF_DT,ADDR_FLAG,TIMESTAMP
2,1 , RIL , C , 1 , 14/09/2008 00:00:00 , R, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 2 , 01/07/2021 00:00:00 , P5, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 3 , 31/01/2018 00:00:00 , B, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 3 , 31/01/2018 00:00:00 , P1, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 3 , 31/01/2018 00:00:00 , P2, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 3 , 31/01/2018 00:00:00 , P3, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 3 , 31/01/2018 00:00:00 , P4, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 3 , 31/01/2018 00:00:00 , P5, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 3 , 31/01/2018 00:00:00 , P6, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 3 , 31/01/2018 00:00:00 , P7, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 3 , 31/01/2018 00:00:00 , P8, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 3 , 31/01/2018 00:00:00 , P9, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 3 , 31/01/2018 00:00:00 , P10, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 3 , 31/01/2018 00:00:00 , P11, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 3 , 31/01/2018 00:00:00 , P12, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 3 , 31/01/2018 00:00:00 , P13, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 3 , 31/01/2018 00:00:00 , P14, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 3 , 31/01/2018 00:00:00 , P15, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 3 , 31/01/2018 00:00:00 , P16, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 3 , 31/01/2018 00:00:00 , P17, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 3 , 31/01/2018 00:00:00 , P18, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 4 , 01/07/2021 00:00:00 , P5, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 5 , 01/01/2020 00:00:00 , P4, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 5 , 01/01/2020 00:00:00 , B, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 5 , 01/01/2020 00:00:00 , P1, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 5 , 01/01/2020 00:00:00 , P2, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 5 , 01/01/2020 00:00:00 , P3, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 5 , 01/01/2020 00:00:00 , P5, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 5 , 01/01/2020 00:00:00 , P6, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 5 , 01/01/2020 00:00:00 , P7, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 5 , 01/01/2020 00:00:00 , P8, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 5 , 01/01/2020 00:00:00 , P9, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 5 , 01/01/2020 00:00:00 , P10, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 5 , 01/01/2020 00:00:00 , P11, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 5 , 01/01/2020 00:00:00 , P12, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 5 , 01/01/2020 00:00:00 , P13, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 5 , 01/01/2020 00:00:00 , P14, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 5 , 01/01/2020 00:00:00 , P15, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 5 , 01/01/2020 00:00:00 , P16, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 5 , 01/01/2020 00:00:00 , P17, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 5 , 01/01/2020 00:00:00 , P18, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 6 , 14/09/2008 00:00:00 , R, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 7 , 31/01/2018 00:00:00 , P8, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 8 , 14/09/2008 00:00:00 , P8, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 9 , 10/02/2012 00:00:00 , P2, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 9 , 10/02/2012 00:00:00 , R, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 10 , 01/01/2020 00:00:00 , P15, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 11 , 14/09/2008 00:00:00 , P4, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 12 , 31/01/2018 00:00:00 , P2, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 13 , 31/01/2018 00:00:00 , B, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 13 , 31/01/2018 00:00:00 , P1, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 13 , 31/01/2018 00:00:00 , P2, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 13 , 31/01/2018 00:00:00 , P3, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 13 , 31/01/2018 00:00:00 , P4, 	(24-JUN-2025 16:45:18)
2,1 , RIL , C , 13 , 31/01/2018 00:00:00 , P5, 	(24-JUN-2025 16:45:19)
2,1 , RIL , C , 13 , 31/01/2018 00:00:00 , P6, 	(24-JUN-2025 16:45:19)
2,1 , RIL , C , 13 , 31/01/2018 00:00:00 , P7, 	(24-JUN-2025 16:45:19)
2,1 , RIL , C , 13 , 31/01/2018 00:00:00 , P8, 	(24-JUN-2025 16:45:19)
2,1 , RIL , C , 13 , 31/01/2018 00:00:00 , P9, 	(24-JUN-2025 16:45:19)
2,1 , RIL , C , 13 , 31/01/2018 00:00:00 , P10, 	(24-JUN-2025 16:45:19)
2,1 , RIL , C , 13 , 31/01/2018 00:00:00 , P11, 	(24-JUN-2025 16:45:19)
2,1 , RIL , C , 13 , 31/01/2018 00:00:00 , P12, 	(24-JUN-2025 16:45:19)
2,1 , RIL , C , 13 , 31/01/2018 00:00:00 , P13, 	(24-JUN-2025 16:45:19)
2,1 , RIL , C , 13 , 31/01/2018 00:00:00 , P14, 	(24-JUN-2025 16:45:19)
2,1 , RIL , C , 13 , 31/01/2018 00:00:00 , P15, 	(24-JUN-2025 16:45:19)
2,1 , RIL , C , 13 , 31/01/2018 00:00:00 , P16, 	(24-JUN-2025 16:45:19)
2,1 , RIL , C , 13 , 31/01/2018 00:00:00 , P17, 	(24-JUN-2025 16:45:19)
2,1 , RIL , C , 13 , 31/01/2018 00:00:00 , P18, 	(24-JUN-2025 16:45:19)
2,1 , RIL , C , 14 , 14/09/2008 00:00:00 , R, 	(24-JUN-2025 16:45:19)
2,1 , RIL , C , 15 , 31/01/2018 00:00:00 , P3, 	(24-JUN-2025 16:45:19)
2,1 , RIL , C , 15 , 31/01/2018 00:00:00 , P6, 	(24-JUN-2025 16:45:19)
2,1 , RIL , C , 15 , 31/01/2018 00:00:00 , P10, 	(24-JUN-2025 16:45:19)
2,1 , RIL , C , 15 , 31/01/2018 00:00:00 , P11, 	(24-JUN-2025 16:45:19)
2,1 , RIL , C , 15 , 31/01/2018 00:00:00 , P7, 	(24-JUN-2025 16:45:19)
2,1 , RIL , C , 15 , 31/01/2018 00:00:00 , B, 	(24-JUN-2025 16:45:19)
