

<<START>>,<<FMS_AGMT_PLANT>>,, 	(23-SEP-2025 12:21:29)
 
COMPANY_CD,COUNTERPARTY_CD,ABBR,AGMT_NO,AGMT_REV,PLANT_SEQ_NO,TIMESTAMP,
2,2 , MGL,0,6,1, 	(23-SEP-2025 12:21:29)	 (Not Inserted)
2,2 , MGL,2,6,1, 	(23-SEP-2025 12:21:29)	 (Not Inserted)
2,2 , MGL,2,6,1, 	(23-SEP-2025 12:21:29)	 (Not Inserted)
2,2 , MGL,0,4,1, 	(23-SEP-2025 12:21:29)	 (Not Inserted)
2,2 , MGL,0,5,1, 	(23-SEP-2025 12:21:29)	 (Not Inserted)
2,2 , MGL,2,6,1, 	(23-SEP-2025 12:21:29)	 (Not Inserted)
2,2 , MGL,0,3,1, 	(23-SEP-2025 12:21:29)	 (Not Inserted)
2,2 , MGL,0,6,1, 	(23-SEP-2025 12:21:29)	 (Not Inserted)
2,2 , MGL,2,6,1, 	(23-SEP-2025 12:21:29)	 (Not Inserted)
2,3 , GSPCL,3,1,1, 	(23-SEP-2025 12:21:29)
2,3 , GSPCL,3,1,1, 	(23-SEP-2025 12:21:29)	 (Not Inserted)
2,3 , GSPCL,3,1,1, 	(23-SEP-2025 12:21:29)	 (Not Inserted)
2,3 , GSPCL,3,1,1, 	(23-SEP-2025 12:21:29)	 (Not Inserted)
2,3 , GSPCL,3,1,1, 	(23-SEP-2025 12:21:29)	 (Not Inserted)
2,3 , GSPCL,3,1,1, 	(23-SEP-2025 12:21:29)	 (Not Inserted)
2,3 , GSPCL,3,1,1, 	(23-SEP-2025 12:21:29)	 (Not Inserted)
2,3 , GSPCL,3,1,1, 	(23-SEP-2025 12:21:29)	 (Not Inserted)
2,3 , GSPCL,3,1,1, 	(23-SEP-2025 12:21:29)	 (Not Inserted)
2,3 , GSPCL,3,1,1, 	(23-SEP-2025 12:21:29)	 (Not Inserted)
2,3 , GSPCL,3,1,1, 	(23-SEP-2025 12:21:29)	 (Not Inserted)
2,3 , GSPCL,3,1,1, 	(23-SEP-2025 12:21:29)	 (Not Inserted)
2,3 , GSPCL,3,1,1, 	(23-SEP-2025 12:21:29)	 (Not Inserted)
2,3 , GSPCL,3,1,1, 	(23-SEP-2025 12:21:29)	 (Not Inserted)
2,3 , GSPCL,0,2,1, 	(23-SEP-2025 12:21:29)
2,3 , GSPCL,3,1,1, 	(23-SEP-2025 12:21:29)	 (Not Inserted)
2,3 , GSPCL,3,1,1, 	(23-SEP-2025 12:21:29)	 (Not Inserted)
2,3 , GSPCL,3,1,1, 	(23-SEP-2025 12:21:29)	 (Not Inserted)
