

<<START>>,<<FMS_ENTITY_SERVICE_TAX_DTL>>,,,,,,, 	(15-MAR-2025 17:23:26)
 
COMPANY_CD,CD,ABBR,ENTITY,PLANT_SEQ_NO,INVOICE_TYPE,EFF_DT,BU_UNIT,TIMESTAMP
2 ,1 , RIL , C , 10 , SI , 15/11/2015 00:00:00 , 1, 	(15-MAR-2025 17:23:26)	 (Not Inserted)
2 ,1 , RIL , C , 9 , SI , 15/11/2015 00:00:00 , 1, 	(15-MAR-2025 17:23:26)	 (Not Inserted)
2 ,1 , RIL , C , 8 , SI , 15/11/2015 00:00:00 , 1, 	(15-MAR-2025 17:23:26)	 (Not Inserted)
2 ,1 , RIL , C , 7 , SI , 15/11/2015 00:00:00 , 1, 	(15-MAR-2025 17:23:26)	 (Not Inserted)
2 ,1 , RIL , C , 1 , SI , 15/11/2015 00:00:00 , 1, 	(15-MAR-2025 17:23:26)	 (Not Inserted)
2 ,1 , RIL , C , 4 , SI , 15/11/2015 00:00:00 , 1, 	(15-MAR-2025 17:23:26)	 (Not Inserted)
2 ,1 , RIL , C , 3 , SI , 15/11/2015 00:00:00 , 1, 	(15-MAR-2025 17:23:26)	 (Not Inserted)
2 ,1 , RIL , C , 2 , SI , 15/11/2015 00:00:00 , 1, 	(15-MAR-2025 17:23:26)	 (Not Inserted)
2 ,1 , RIL , C , 5 , SI , 15/11/2015 00:00:00 , 1, 	(15-MAR-2025 17:23:26)	 (Not Inserted)
2 ,1 , RIL , C , 9 , SI , 01/07/2017 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 8 , SI , 01/07/2017 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 7 , SI , 01/07/2017 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 5 , SI , 01/07/2017 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 1 , SI , 01/07/2017 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 4 , SI , 01/07/2017 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 3 , SI , 01/07/2017 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 2 , SI , 01/07/2017 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 14 , SI , 01/07/2017 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
