

<<START>>,<<FMS_TRADER_AGMT_MST>>,,,, 	(06-MAY-2025 10:42:27)
 
COMPANY_CD,COUNTERPARTY_CD,, 	(06-MAY-2025 10:42:27)
 
COMPANY_CD,COUNTERPARTY_CD,, 	(06-MAY-2025 10:42:27)
 
COMPANY_CD,COUNTERPARTY_CD,, 	(06-MAY-2025 10:42:27)
 
COMPANY_CD,COUNTERPARTY_CD,, 	(06-MAY-2025 10:42:27)
 

TOTAL DATA IN EXCEL : ,0, 	(06-MAY-2025 10:42:27)
 

TOTAL DATA INSERTED : ,5, 	(06-MAY-2025 10:42:27)
 

TOTAL SKIPPED DATA ,0, 	(06-MAY-2025 10:42:27)
 
<<END>>,<<FMS_TRADER_AGMT_MST>>, 	(06-MAY-2025 10:42:27)
 

<<START>>,<<FMS_TRADER_AGMT_PLANT>>, 	(06-MAY-2025 10:42:27)
 

TOTAL DATA IN EXCEL : ,0, 	(06-MAY-2025 10:42:27)
 

TOTAL DATA INSERTED : ,5, 	(06-MAY-2025 10:42:27)
 

TOTAL SKIPPED DATA ,0, 	(06-MAY-2025 10:42:27)
 
<<END>>,<<FMS_TRADER_AGMT_PLANT>>, 	(06-MAY-2025 10:42:27)
 

<<START>>,<<FMS_TRADER_AGMT_BU>>, 	(06-MAY-2025 10:42:27)
 

TOTAL DATA IN EXCEL : ,0, 	(06-MAY-2025 10:42:27)
 

TOTAL DATA INSERTED : ,5, 	(06-MAY-2025 10:42:27)
 

TOTAL SKIPPED DATA ,0, 	(06-MAY-2025 10:42:27)
 
<<END>>,<<FMS_TRADER_AGMT_BU>>, 	(06-MAY-2025 10:42:27)
 

<<START>>,<<FMS_TRADER_AGMT_BILLING_DTL>>, 	(06-MAY-2025 10:42:27)
 

TOTAL DATA IN EXCEL : ,0, 	(06-MAY-2025 10:42:27)
 

TOTAL DATA INSERTED : ,5, 	(06-MAY-2025 10:42:27)
 

TOTAL SKIPPED DATA ,0, 	(06-MAY-2025 10:42:27)
 
<<END>>,<<FMS_TRADER_AGMT_BILLING_DTL>>, 	(06-MAY-2025 10:42:27)
 

<<START>>,<<FMS_TRADER_CN_MST>>,,,, 	(06-MAY-2025 10:42:27)
 
COMPANY_CD,CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_TYPE,CONT_NO,CONT_REV,TIMESTAMP
2, 116,  M , 1,  0 , N, 725042, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725043, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725044, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725045, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725046, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725047, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725048, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725049, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725050, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725051, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725052, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725053, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725054, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725055, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725056, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725057, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725058, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725059, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725060, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725061, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725062, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725063, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725064, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725065, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725066, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725067, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725068, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725069, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725070, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725071, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725072, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725073, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725074, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725075, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725076, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725077, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725078, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725079, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725080, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725081, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725082, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725083, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725084, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725085, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725086, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725087, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725088, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725089, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725090, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725091, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725092, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725093, 0, 	(06-MAY-2025 10:42:27)
2, 116,  M , 1,  0 , N, 725094, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725095, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725096, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725097, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725098, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725099, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725100, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725101, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725102, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725103, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725104, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725105, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725106, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725107, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725108, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725109, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725110, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725111, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725112, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725113, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725114, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725115, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725116, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725117, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725118, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725119, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725120, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725121, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725122, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725123, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725124, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725125, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725126, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725127, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725128, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725129, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725130, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725131, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725132, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725133, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725134, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725135, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725136, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725137, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725138, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725139, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725140, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725141, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725142, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725143, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725144, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725145, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725146, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725147, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725148, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725149, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725150, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725151, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725152, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725153, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725154, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725155, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725156, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725157, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725158, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725159, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725160, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725161, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725162, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725163, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725164, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725165, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725166, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725167, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725168, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725169, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725170, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725171, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725172, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725173, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725174, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725175, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725176, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725177, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725178, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725179, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725180, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725181, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725182, 0, 	(06-MAY-2025 10:42:27)
2, 256,  M , 1,  0 , N, 725183, 0, 	(06-MAY-2025 10:42:27)
2, 0,  M , ,  0 , N, 725184, 0, 	(06-MAY-2025 10:42:27)	 (Not Inserted)
