

<<START>>,<<FMS_ENTITY_CONTACT_MST>>,,,,,, 	(10-MAR-2025 16:05:55)
 
COMPANY_CD,CD,ABBR,ENTITY,SEQ_NO,EFF_DT,ADDR_FLAG,TIMESTAMP
2,1 , RIL , C , 45 , 28/02/2017 00:00:00 , P12, 	(10-MAR-2025 16:05:57)
2,1 , RIL , C , 46 , 14/09/2008 00:00:00 , P4, 	(10-MAR-2025 16:05:57)
2,1 , RIL , C , 47 , 14/09/2008 00:00:00 , P4, 	(10-MAR-2025 16:05:58)
2,1 , RIL , C , 48 , 01/01/2020 00:00:00 , B, 	(10-MAR-2025 16:05:58)
2,1 , RIL , C , 49 , 01/01/2020 00:00:00 , P2, 	(10-MAR-2025 16:05:58)
2,1 , RIL , C , 50 , 01/01/2020 00:00:00 , P9, 	(10-MAR-2025 16:05:58)
2,1 , RIL , C , 51 , 14/09/2008 00:00:00 , C, 	(10-MAR-2025 16:05:58)
2,1 , RIL , C , 52 , 14/09/2008 00:00:00 , P4, 	(10-MAR-2025 16:05:58)
2,1 , RIL , C , 53 , 01/01/2020 00:00:00 , P9, 	(10-MAR-2025 16:05:58)
2,1 , RIL , C , 54 , 31/01/2018 00:00:00 , P8, 	(10-MAR-2025 16:05:58)
2,1 , RIL , C , 55 , 14/09/2008 00:00:00 , R, 	(10-MAR-2025 16:05:58)
2,1 , RIL , C , 56 , 14/09/2008 00:00:00 , R, 	(10-MAR-2025 16:05:58)
2,1 , RIL , C , 57 , 14/09/2008 00:00:00 , P2, 	(10-MAR-2025 16:05:58)
2,1 , RIL , C , 58 , 14/09/2008 00:00:00 , P4, 	(10-MAR-2025 16:05:58)
2,1 , RIL , C , 59 , 10/02/2012 00:00:00 , P2, 	(10-MAR-2025 16:05:58)
2,1 , RIL , C , 60 , 14/09/2008 00:00:00 , R, 	(10-MAR-2025 16:05:58)
2,1 , RIL , C , 61 , 14/09/2008 00:00:00 , P2, 	(10-MAR-2025 16:05:58)
2,1 , RIL , C , 62 , 14/09/2008 00:00:00 , P7, 	(10-MAR-2025 16:05:58)
2,1 , RIL , C , 62 , 01/04/2011 00:00:00 , P7, 	(10-MAR-2025 16:05:58)
2,1 , RIL , C , 62 , 21/01/2018 00:00:00 , P7, 	(10-MAR-2025 16:05:58)
2,2 , MGL , C , 1 , 16/07/2009 00:00:00 , C, 	(10-MAR-2025 16:05:58)
2,2 , MGL , C , 2 , 09/05/2022 00:00:00 , B, 	(10-MAR-2025 16:05:58)
2,2 , MGL , C , 3 , 01/08/2022 00:00:00 , B, 	(10-MAR-2025 16:05:58)
2,2 , MGL , C , 4 , 16/07/2009 00:00:00 , B, 	(10-MAR-2025 16:05:58)
2,2 , MGL , C , 5 , 16/07/2009 00:00:00 , B, 	(10-MAR-2025 16:05:58)
2,2 , MGL , C , 6 , 17/08/2011 00:00:00 , B, 	(10-MAR-2025 16:05:58)
2,2 , MGL , C , 1 , 16/07/2009 00:00:00 , C, 	(10-MAR-2025 16:05:58)
2,2 , MGL , C , 2 , 09/05/2022 00:00:00 , B, 	(10-MAR-2025 16:05:58)
2,2 , MGL , C , 3 , 01/08/2022 00:00:00 , B, 	(10-MAR-2025 16:05:58)
2,2 , MGL , C , 4 , 16/07/2009 00:00:00 , B, 	(10-MAR-2025 16:05:58)
2,2 , MGL , C , 5 , 16/07/2009 00:00:00 , B, 	(10-MAR-2025 16:05:58)
2,2 , MGL , C , 6 , 17/08/2011 00:00:00 , B, 	(10-MAR-2025 16:05:58)
2,3 , GSPCL , C , 1 , 24/03/2005 00:00:00 , B, 	(10-MAR-2025 16:05:58)
2,3 , GSPCL , C , 2 , 21/04/2006 00:00:00 , P1, 	(10-MAR-2025 16:05:58)
2,3 , GSPCL , C , 3 , 01/04/2009 00:00:00 , P3, 	(10-MAR-2025 16:05:58)
2,3 , GSPCL , C , 4 , 01/04/2009 00:00:00 , P2, 	(10-MAR-2025 16:05:58)
2,3 , GSPCL , C , 5 , 21/04/2006 00:00:00 , 0, 	(10-MAR-2025 16:05:58)
2,3 , GSPCL , C , 6 , 24/03/2005 00:00:00 , B, 	(10-MAR-2025 16:05:58)
2,3 , GSPCL , C , 6 , 21/04/2006 00:00:00 , B, 	(10-MAR-2025 16:05:58)
2,3 , GSPCL , C , 8 , 01/04/2009 00:00:00 , R, 	(10-MAR-2025 16:05:58)
2,3 , GSPCL , C , 9 , 24/03/2005 00:00:00 , 0, 	(10-MAR-2025 16:05:58)
2,3 , GSPCL , C , 9 , 21/04/2006 00:00:00 , 0, 	(10-MAR-2025 16:05:58)
2,3 , GSPCL , C , 1 , 24/03/2005 00:00:00 , B, 	(10-MAR-2025 16:05:58)
2,3 , GSPCL , C , 2 , 21/04/2006 00:00:00 , P1, 	(10-MAR-2025 16:05:58)
