

<<START>>,<<FMS_BUY_DAILY_BUYER_NOM>>,,,,,, 	(17-MAY-2025 18:11:54)
 
COMNPANY_CD,CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP
2,1, 0, 0,823034, 4,D, 	(17-MAY-2025 18:11:54)
2,1, 0, 0,823034, 4,D, 	(17-MAY-2025 18:11:54)
2,1, 0, 0,823034, 4,D, 	(17-MAY-2025 18:11:54)
2,1, 0, 0,823034, 4,D, 	(17-MAY-2025 18:11:54)
2,1, 0, 0,823034, 4,D, 	(17-MAY-2025 18:11:54)
2,1, 0, 0,823034, 4,D, 	(17-MAY-2025 18:11:54)
2,1, 0, 0,823034, 4,D, 	(17-MAY-2025 18:11:54)
2,1, 0, 0,823034, 4,D, 	(17-MAY-2025 18:11:54)
2,1, 0, 0,823034, 4,D, 	(17-MAY-2025 18:11:54)
2,, , ,, ,, 	(17-MAY-2025 18:11:54)	 (Not Inserted)
2,1, 0, 0,823034, 4,D, 	(17-MAY-2025 18:11:54)
2,1, 0, 0,823034, 4,D, 	(17-MAY-2025 18:11:54)
2,1, 0, 0,823034, 4,D, 	(17-MAY-2025 18:11:54)
2,1, 0, 0,823034, 4,D, 	(17-MAY-2025 18:11:54)
2,, , ,, ,, 	(17-MAY-2025 18:11:54)	 (Not Inserted)
2,1, 0, 0,823034, 4,D, 	(17-MAY-2025 18:11:54)
2,1, 0, 0,823034, 4,D, 	(17-MAY-2025 18:11:54)
2,1, 0, 0,823034, 4,D, 	(17-MAY-2025 18:11:54)
2,1, 0, 0,823034, 4,D, 	(17-MAY-2025 18:11:54)
2,1, 0, 0,823034, 4,D, 	(17-MAY-2025 18:11:54)
2,1, 0, 0,823034, 4,D, 	(17-MAY-2025 18:11:54)
2,, , ,, ,, 	(17-MAY-2025 18:11:54)	 (Not Inserted)
2,, , ,, ,, 	(17-MAY-2025 18:11:54)	 (Not Inserted)
2,, , ,, ,, 	(17-MAY-2025 18:11:54)	 (Not Inserted)
2,, , ,, ,, 	(17-MAY-2025 18:11:54)	 (Not Inserted)
2,, , ,, ,, 	(17-MAY-2025 18:11:54)	 (Not Inserted)
2,, , ,, ,, 	(17-MAY-2025 18:11:54)	 (Not Inserted)
2,, , ,, ,, 	(17-MAY-2025 18:11:54)	 (Not Inserted)
2,, , ,, ,, 	(17-MAY-2025 18:11:54)	 (Not Inserted)
2,, , ,, ,, 	(17-MAY-2025 18:11:54)	 (Not Inserted)
2,, , ,, ,, 	(17-MAY-2025 18:11:54)	 (Not Inserted)
2,, , ,, ,, 	(17-MAY-2025 18:11:54)	 (Not Inserted)
2,, , ,, ,, 	(17-MAY-2025 18:11:54)	 (Not Inserted)
2,61, 0, 0,822030, 1,I, 	(17-MAY-2025 18:11:54)
2,61, 0, 0,822030, 1,I, 	(17-MAY-2025 18:11:54)
2,51, 0, 0,822014, 1,I, 	(17-MAY-2025 18:11:54)
2,, , ,, ,, 	(17-MAY-2025 18:11:54)	 (Not Inserted)
2,, , ,, ,, 	(17-MAY-2025 18:11:54)	 (Not Inserted)
2,51, 0, 0,822014, 1,I, 	(17-MAY-2025 18:11:54)
2,51, 0, 0,822014, 1,I, 	(17-MAY-2025 18:11:54)
2,51, 0, 0,822014, 1,I, 	(17-MAY-2025 18:11:54)
2,51, 0, 0,822014, 1,I, 	(17-MAY-2025 18:11:54)
2,51, 0, 0,822014, 1,I, 	(17-MAY-2025 18:11:54)
2,51, 0, 0,822014, 1,I, 	(17-MAY-2025 18:11:54)
2,51, 0, 0,822014, 1,I, 	(17-MAY-2025 18:11:54)
2,, , ,, ,, 	(17-MAY-2025 18:11:54)	 (Not Inserted)
2,, , ,, ,, 	(17-MAY-2025 18:11:54)	 (Not Inserted)
2,, , ,, ,, 	(17-MAY-2025 18:11:54)	 (Not Inserted)
