

<<START>>,<<FMS_SUPPLY_AGMT_LIABILITY>>,, 	(09-MAY-2025 12:14:20)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,TIMESTAMP,
2,1 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,1 , F , 2,0,, 	(09-MAY-2025 12:14:20)
2,1 , F , 2,1,, 	(09-MAY-2025 12:14:20)
2,1 , F , 3,0,, 	(09-MAY-2025 12:14:20)
2,2 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,2 , F , 2,0,, 	(09-MAY-2025 12:14:20)
2,2 , F , 3,0,, 	(09-MAY-2025 12:14:20)
2,2 , F , 4,0,, 	(09-MAY-2025 12:14:20)
2,2 , F , 5,0,, 	(09-MAY-2025 12:14:20)
2,2 , F , 6,0,, 	(09-MAY-2025 12:14:20)
2,2 , F , 6,1,, 	(09-MAY-2025 12:14:20)
2,2 , F , 6,2,, 	(09-MAY-2025 12:14:20)
2,3 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,3 , F , 1,1,, 	(09-MAY-2025 12:14:20)
2,3 , F , 1,2,, 	(09-MAY-2025 12:14:20)
2,3 , F , 1,3,, 	(09-MAY-2025 12:14:20)
2,3 , F , 1,4,, 	(09-MAY-2025 12:14:20)
2,3 , F , 2,0,, 	(09-MAY-2025 12:14:20)
2,4 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,4 , F , 2,0,, 	(09-MAY-2025 12:14:20)
2,4 , F , 2,1,, 	(09-MAY-2025 12:14:20)
2, , F , 1,0,, 	(09-MAY-2025 12:14:20)	 (Not Inserted)
2, , F , 1,0,, 	(09-MAY-2025 12:14:20)	 (Not Inserted)
2,217 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,7 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,7 , F , 2,0,, 	(09-MAY-2025 12:14:20)
2,8 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,218 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,225 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2, , F , 1,0,, 	(09-MAY-2025 12:14:20)	 (Not Inserted)
2,10 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,11 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,280 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,280 , F , 1,1,, 	(09-MAY-2025 12:14:20)
2,280 , F , 2,0,, 	(09-MAY-2025 12:14:20)
2,12 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,13 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,13 , F , 2,0,, 	(09-MAY-2025 12:14:20)
2,14 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,269 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,15 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,15 , F , 1,1,, 	(09-MAY-2025 12:14:20)
2,15 , F , 1,2,, 	(09-MAY-2025 12:14:20)
2,15 , F , 2,0,, 	(09-MAY-2025 12:14:20)
2,16 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,16 , F , 1,0,, 	(09-MAY-2025 12:14:20)	 (Not Inserted)
2,17 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,17 , F , 1,0,, 	(09-MAY-2025 12:14:20)	 (Not Inserted)
2,18 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,228 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,160 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,160 , F , 1,0,, 	(09-MAY-2025 12:14:20)	 (Not Inserted)
2,19 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,19 , F , 1,0,, 	(09-MAY-2025 12:14:20)	 (Not Inserted)
2,20 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,20 , F , 2,0,, 	(09-MAY-2025 12:14:20)
2,154 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,21 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,22 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,23 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,23 , F , 1,0,, 	(09-MAY-2025 12:14:20)	 (Not Inserted)
2,23 , F , 1,0,, 	(09-MAY-2025 12:14:20)	 (Not Inserted)
2,24 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,25 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,28 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,31 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2, , F , 1,0,, 	(09-MAY-2025 12:14:20)	 (Not Inserted)
2,34 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,36 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,37 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,38 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,39 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,40 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,41 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,46 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,47 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,48 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,49 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,50 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,52 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,54 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,55 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,56 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,56 , F , 1,0,, 	(09-MAY-2025 12:14:20)	 (Not Inserted)
2,59 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,61 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,63 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,65 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,144 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,92 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,92 , F , 2,0,, 	(09-MAY-2025 12:14:20)
2,104 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,104 , F , 2,0,, 	(09-MAY-2025 12:14:20)
2,162 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,278 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,183 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,184 , F , 1,0,, 	(09-MAY-2025 12:14:20)
2,130 , F , 1,0,, 	(09-MAY-2025 12:14:20)

TOTAL DATA IN EXCEL : ,98,,,,,, 	(09-MAY-2025 12:14:20)
 

TOTAL DATA INSERTED : ,87,,,,,, 	(09-MAY-2025 12:14:20)
 

TOTAL SKIPPED DATA ,11,,,,,, 	(09-MAY-2025 12:14:20)
 
<<END>>,<<FMS_SUPPLY_AGMT_LIABILITY>>,,,,,, 	(09-MAY-2025 12:14:20)
 

<<START>>,<<FMS_AGMT_BILLING_DTL>>,, 	(09-MAY-2025 12:14:20)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,PLANT_SEQ_NO,TIMESTAMP,
2,1 , RIL,F,0,1, 	(09-MAY-2025 12:14:20)
2,3 , GSPCL,F,4,1, 	(09-MAY-2025 12:14:20)
2,3 , GSPCL,F,3,1, 	(09-MAY-2025 12:14:20)
2,7 , DFPCL,F,0,2, 	(09-MAY-2025 12:14:20)
2,10 , GGCL,F,0,1, 	(09-MAY-2025 12:14:20)
2,11 , TPL,F,0,1, 	(09-MAY-2025 12:14:20)
2,280 , WMSL,F,0,1, 	(09-MAY-2025 12:14:20)
2,280 , WMSL,F,1,1, 	(09-MAY-2025 12:14:20)
2,13 , IGL,F,0,1, 	(09-MAY-2025 12:14:20)
2,14 , BPCL,F,0,1, 	(09-MAY-2025 12:14:20)
2,269 , TEL,F,0,1, 	(09-MAY-2025 12:14:20)
2,15 , HPCL,F,0,2, 	(09-MAY-2025 12:14:20)
2,15 , HPCL,F,2,1, 	(09-MAY-2025 12:14:20)
2,15 , HPCL,F,1,1, 	(09-MAY-2025 12:14:20)
2,15 , HPCL,F,0,1, 	(09-MAY-2025 12:14:20)
2,18 , GSFC,F,0,1, 	(09-MAY-2025 12:14:20)
2,160 , SIMPL,F,0,1, 	(09-MAY-2025 12:14:20)
2,160 , SIMPL,F,0,1, 	(09-MAY-2025 12:14:20)	 (Not Inserted)
2,20 , AMNS,F,0,1, 	(09-MAY-2025 12:14:20)
2,154 , SEMTPL,F,0,1, 	(09-MAY-2025 12:14:20)
2, , PGPL,F,0,1, 	(09-MAY-2025 12:14:20)	 (Not Inserted)
2, , PGPL,F,0,1, 	(09-MAY-2025 12:14:20)	 (Not Inserted)
2, , PGPL,F,0,1, 	(09-MAY-2025 12:14:20)	 (Not Inserted)
2,31 , HSIL,F,0,1, 	(09-MAY-2025 12:14:20)
2, , VVF,F,0,1, 	(09-MAY-2025 12:14:20)	 (Not Inserted)
2,34 , MINDA,F,0,1, 	(09-MAY-2025 12:14:20)
2,40 , ATPL,F,0,1, 	(09-MAY-2025 12:14:20)
2,41 , OPAL,F,0,1, 	(09-MAY-2025 12:14:20)
2,46 , TGLPL,F,0,1, 	(09-MAY-2025 12:14:20)
2,48 , BGEPL,F,0,1, 	(09-MAY-2025 12:14:20)
2,49 , VVF India,F,0,1, 	(09-MAY-2025 12:14:20)
2,50 , GNFC,F,0,1, 	(09-MAY-2025 12:14:20)
2,52 , GLIL,F,0,1, 	(09-MAY-2025 12:14:20)
2,54 , GFCL,F,0,1, 	(09-MAY-2025 12:14:20)
2,55 , CPL,F,0,1, 	(09-MAY-2025 12:14:20)
2,56 , IRM,F,0,1, 	(09-MAY-2025 12:14:20)
2,56 , IRM,F,0,1, 	(09-MAY-2025 12:14:20)	 (Not Inserted)
2,59 , INPEROX,F,0,1, 	(09-MAY-2025 12:14:20)
2,65 , PEFORCV,F,0,1, 	(09-MAY-2025 12:14:20)
2,104 , TASTELI,F,0,2, 	(09-MAY-2025 12:14:20)
2,104 , TASTELI,F,0,1, 	(09-MAY-2025 12:14:20)
2,92 , NEL,F,0,1, 	(09-MAY-2025 12:14:20)
2,61 , EFSPL,F,0,1, 	(09-MAY-2025 12:14:20)
2,278 , SEMTEXP,F,0,1, 	(09-MAY-2025 12:14:20)
2,183 , SUMGLAS,F,0,1, 	(09-MAY-2025 12:14:20)
2,144 , HINAGIL,F,0,1, 	(09-MAY-2025 12:14:20)

TOTAL DATA IN EXCEL : ,46,,,,,, 	(09-MAY-2025 12:14:20)
 

TOTAL DATA INSERTED : ,40,,,,,, 	(09-MAY-2025 12:14:20)
 

TOTAL SKIPPED DATA ,6,,,,,, 	(09-MAY-2025 12:14:20)
 
<<END>>,<<FMS_AGMT_BILLING_DTL>>,,,,,, 	(09-MAY-2025 12:14:20)
 

<<START>>,<<FMS_AGMT_DEACTIVATION_DTL>>,, 	(09-MAY-2025 12:14:20)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,SEQ_NO,TIMESTAMP,
2,1 , RIL,F,0,3,0, 	(09-MAY-2025 12:14:20)
2, , VVF,F,0,1,0, 	(09-MAY-2025 12:14:20)	 (Not Inserted)

TOTAL DATA IN EXCEL : ,2,,,,,, 	(09-MAY-2025 12:14:20)
 

TOTAL DATA INSERTED : ,1,,,,,, 	(09-MAY-2025 12:14:20)
 

TOTAL SKIPPED DATA ,1,,,,,, 	(09-MAY-2025 12:14:20)
 
<<END>>,<<FMS_AGMT_DEACTIVATION_DTL>>,,,,,, 	(09-MAY-2025 12:14:20)
 

<<START>>,<<FMS_SUPPLY_CONT_MST>>,, 	(09-MAY-2025 12:14:20)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
2,1,2,0,22,1,S, 	(09-MAY-2025 12:14:20)
2,1,2,0,15,0,S, 	(09-MAY-2025 12:14:20)
2,1,2,0,16,0,S, 	(09-MAY-2025 12:14:20)
2,1,2,0,17,0,S, 	(09-MAY-2025 12:14:20)
2,1,2,0,18,0,S, 	(09-MAY-2025 12:14:20)
2,1,2,0,19,0,S, 	(09-MAY-2025 12:14:20)
2,1,2,0,20,0,S, 	(09-MAY-2025 12:14:20)
2,1,2,0,21,0,S, 	(09-MAY-2025 12:14:21)
2,1,2,0,22,0,S, 	(09-MAY-2025 12:14:21)
2,1,2,0,1,0,S, 	(09-MAY-2025 12:14:21)
2,1,2,0,3,0,S, 	(09-MAY-2025 12:14:21)
2,1,2,0,4,0,S, 	(09-MAY-2025 12:14:21)
2,1,2,0,5,0,S, 	(09-MAY-2025 12:14:21)
2,1,2,0,6,0,S, 	(09-MAY-2025 12:14:21)
2,1,2,0,8,0,S, 	(09-MAY-2025 12:14:21)
2,1,2,0,9,0,S, 	(09-MAY-2025 12:14:21)
2,1,2,0,10,0,S, 	(09-MAY-2025 12:14:21)
2,1,2,0,11,0,S, 	(09-MAY-2025 12:14:21)
2,1,2,0,12,0,S, 	(09-MAY-2025 12:14:21)
2,1,2,0,14,0,S, 	(09-MAY-2025 12:14:21)
2,1,2,0,2,0,S, 	(09-MAY-2025 12:14:21)
2,1,2,0,7,0,S, 	(09-MAY-2025 12:14:21)
2,1,2,0,13,0,S, 	(09-MAY-2025 12:14:21)
2,1,2,1,32,0,S, 	(09-MAY-2025 12:14:21)
2,1,2,0,27,1,S, 	(09-MAY-2025 12:14:21)
2,1,2,0,28,1,S, 	(09-MAY-2025 12:14:21)
2,1,2,0,25,1,S, 	(09-MAY-2025 12:14:21)
2,1,2,0,24,1,S, 	(09-MAY-2025 12:14:21)
2,1,2,0,24,2,S, 	(09-MAY-2025 12:14:21)
2,1,2,0,27,3,S, 	(09-MAY-2025 12:14:21)
2,1,2,1,44,0,S, 	(09-MAY-2025 12:14:21)
2,1,2,1,39,0,S, 	(09-MAY-2025 12:14:21)
2,1,2,1,40,0,S, 	(09-MAY-2025 12:14:21)
2,1,2,1,42,0,S, 	(09-MAY-2025 12:14:21)
2,1,2,1,35,0,S, 	(09-MAY-2025 12:14:21)
2,1,2,1,38,0,S, 	(09-MAY-2025 12:14:21)
2,1,2,1,41,0,S, 	(09-MAY-2025 12:14:21)
2,1,2,1,41,1,S, 	(09-MAY-2025 12:14:21)
2,1,2,1,43,0,S, 	(09-MAY-2025 12:14:21)
2,1,2,0,22,2,S, 	(09-MAY-2025 12:14:21)
2,1,2,0,21,1,S, 	(09-MAY-2025 12:14:21)
2,1,2,0,21,2,S, 	(09-MAY-2025 12:14:21)
2,1,2,0,23,0,S, 	(09-MAY-2025 12:14:21)
2,1,2,0,24,0,S, 	(09-MAY-2025 12:14:21)
2,1,2,0,25,0,S, 	(09-MAY-2025 12:14:21)
2,1,2,0,26,0,S, 	(09-MAY-2025 12:14:21)
2,1,2,0,29,0,S, 	(09-MAY-2025 12:14:21)
2,1,2,0,30,0,S, 	(09-MAY-2025 12:14:21)
2,1,2,1,33,0,S, 	(09-MAY-2025 12:14:21)
2,1,2,1,34,0,S, 	(09-MAY-2025 12:14:21)
2,1,2,1,36,0,S, 	(09-MAY-2025 12:14:21)
2,1,2,0,25,2,S, 	(09-MAY-2025 12:14:21)
2,1,2,0,27,2,S, 	(09-MAY-2025 12:14:21)
2,1,2,0,31,0,S, 	(09-MAY-2025 12:14:21)
2,1,2,1,37,0,S, 	(09-MAY-2025 12:14:21)
2,1,2,0,27,0,S, 	(09-MAY-2025 12:14:21)
