

<<START>>,<<FMS_LTCORA_CONT_BILLING_DTL>>,, 	(17-MAY-2025 18:02:11)
 
COMPANY_CD,COUNTERPARTY_CD,BUY_SALE,AGMT_TYPE,AGMT_NO,AGMT_REV,PLANT_SEQ_NO,TIMESTAMP,
2,1 , C,A,1,0,18009,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,1 , C,A,1,0,18009,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,1 , C,A,1,0,18009,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,1 , C,A,1,0,18009,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,1 , C,A,1,0,18009,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,11 , C,A,1,0,15008,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,11 , C,A,1,0,15008,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,11 , C,A,1,0,16020,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,11 , C,A,1,0,16020,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,3 , C,A,1,0,16014,0,Q, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,20 , C,A,6,0,17032,0,Q, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,20 , C,A,9,0,19057,0,Q, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,3 , C,A,5,0,19046,0,Q, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,4 , C,A,4,0,19051,0,Q, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,20 , C,A,4,0,17033,0,Q, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,11 , C,A,1,0,16021,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,11 , C,A,1,0,16021,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,20 , C,A,14,0,19058,0,Q, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,1 , C,A,1,0,17025,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,1 , C,A,1,0,17025,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,1 , C,A,1,0,17025,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,1 , C,A,1,0,17025,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,1 , C,A,1,0,17025,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,1 , C,A,1,0,17025,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,1 , C,A,1,0,17025,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,1 , C,A,1,0,17025,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,1 , C,A,1,0,17025,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,20 , C,A,10,0,19059,0,Q, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,3 , C,A,5,0,19047,0,Q, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,20 , C,A,15,0,19060,0,Q, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,3 , C,A,5,0,19048,0,Q, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,3 , C,A,5,0,19049,0,Q, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,4 , C,A,5,0,20011,0,Q, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,1 , C,A,1,0,19037,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,1 , C,A,1,0,19037,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,1 , C,A,1,0,19037,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,1 , C,A,1,0,19037,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,1 , C,A,1,0,19037,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,1 , C,A,1,0,19037,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,1 , C,A,1,0,19037,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,1 , C,A,1,0,19037,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,1 , C,A,1,0,19037,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,15 , C,A,1,0,20012,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,15 , C,A,1,0,20012,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,20 , C,A,18,0,20013,0,Q, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,1 , C,A,1,0,21005,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,1 , C,A,1,0,21005,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,1 , C,A,1,0,21005,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,1 , C,A,1,0,21005,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,1 , C,A,1,0,21005,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,1 , C,A,1,0,21005,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,1 , C,A,1,0,21005,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,1 , C,A,1,0,21005,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,1 , C,A,1,0,21005,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,154 , C,A,1,0,25009,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,3 , C,A,5,0,19049,0,Q, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,3 , C,A,5,0,19048,0,Q, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,3 , C,A,5,0,19047,0,Q, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,3 , C,A,5,0,19038,0,Q, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,20 , C,A,16,0,19061,0,Q, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,20 , C,A,18,0,20014,0,Q, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,1 , C,A,1,0,21006,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,1 , C,A,1,0,21006,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
2,1 , C,A,1,0,21006,0,O, 	(17-MAY-2025 18:02:11)	 (Not Inserted)
