

<<START>>,<<FMS_TRADER_CN_MST>>,,,, 	(27-FEB-2025 14:33:10)
 
<CD> <AGMT_NO> <CONT_NO> <CONT_NAME> <CONT_REF_NO> 	<TIMESTAMP>
116 null 724002 SEIPL-SELNG-MSPA1-REV0 N724002-REV0 8024 	(27-FEB-2025 14:33:11)	 (Not Inserted)
116 null 724002 SEIPL-SELNG-MSPA1-REV0 N724002-REV0 8027 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 8029 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 8030 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 9001 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 9002 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 9006 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 9008 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 9009 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 9010 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 9012 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 9013 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 9015 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 9018 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 9019 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 9020 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 9022 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 9023 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 9024 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 9025 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 9026 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 10001 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 10003 	(27-FEB-2025 14:33:11)	 (Not Inserted)
