

<<START>>,<<FMS_METER_MST>>,,,,, 	(18-FEB-2025 13:20:39)
 
COMPANY_CD,CD,ABBR,PLANT_SEQ,METER_TYPE,METER_SEQ,TIMESTAMP
2 ,29 , PipeInfra , 1 , R , 1, 	(18-FEB-2025 13:20:39)
2 ,29 , PipeInfra , 1 , R , 2, 	(18-FEB-2025 13:20:39)
2 ,29 , PipeInfra , 2 , R , 1, 	(18-FEB-2025 13:20:39)
2 ,29 , PipeInfra , 2 , R , 3, 	(18-FEB-2025 13:20:39)
2 ,45 , GSPL , 1 , R , 1, 	(18-FEB-2025 13:20:39)
2 ,45 , GSPL , 2 , R , 1, 	(18-FEB-2025 13:20:39)
2 ,45 , GSPL , 3 , R , 1, 	(18-FEB-2025 13:20:39)
2 ,45 , GSPL , 4 , R , 1, 	(18-FEB-2025 13:20:39)
2 ,45 , GSPL , 4 , R , 2, 	(18-FEB-2025 13:20:39)
2 ,4 , Gail , 1 , R , 1, 	(18-FEB-2025 13:20:39)
2 ,4 , Gail , 2 , R , 1, 	(18-FEB-2025 13:20:39)
2 ,4 , Gail , 3 , R , 1, 	(18-FEB-2025 13:20:39)
2 ,4 , Gail , 1 , R , 1, 	(18-FEB-2025 13:20:39)	 (Not Inserted)
2 ,4 , Gail , 1 , R , 2, 	(18-FEB-2025 13:20:39)
2 ,4 , Gail , 2 , R , 1, 	(18-FEB-2025 13:20:39)	 (Not Inserted)
2 ,4 , Gail , 2 , R , 3, 	(18-FEB-2025 13:20:39)
2 ,4 , Gail , 1 , R , 1, 	(18-FEB-2025 13:20:39)	 (Not Inserted)
2 ,29 , PipeInfra , 1 , R , 1, 	(18-FEB-2025 13:20:39)	 (Not Inserted)
2 ,29 , PipeInfra , 2 , R , 1, 	(18-FEB-2025 13:20:39)	 (Not Inserted)
2 ,29 , PipeInfra , 3 , R , 1, 	(18-FEB-2025 13:20:39)
2 ,29 , PipeInfra , 1 , R , 1, 	(18-FEB-2025 13:20:39)	 (Not Inserted)
2 ,29 , PipeInfra , 2 , R , 1, 	(18-FEB-2025 13:20:39)	 (Not Inserted)
2 ,29 , PipeInfra , 3 , R , 1, 	(18-FEB-2025 13:20:39)	 (Not Inserted)
2 ,29 , PipeInfra , 1 , R , 1, 	(18-FEB-2025 13:20:39)	 (Not Inserted)
2 ,29 , PipeInfra , 2 , R , 1, 	(18-FEB-2025 13:20:39)	 (Not Inserted)
2 ,29 , PipeInfra , 3 , R , 1, 	(18-FEB-2025 13:20:39)	 (Not Inserted)
2 ,4 , Gail , 1 , R , 1, 	(18-FEB-2025 13:20:39)	 (Not Inserted)
2 ,4 , Gail , 2 , R , 1, 	(18-FEB-2025 13:20:39)	 (Not Inserted)
2 ,29 , PipeInfra , 4 , R , 0, 	(18-FEB-2025 13:20:39)
2 ,45 , GSPL , 3 , R , 0, 	(18-FEB-2025 13:20:39)
2 ,4 , Gail , 4 , R , 0, 	(18-FEB-2025 13:20:39)
2 ,4 , Gail , 5 , R , 0, 	(18-FEB-2025 13:20:39)
2 ,4 , Gail , 6 , R , 0, 	(18-FEB-2025 13:20:39)
2 ,29 , PipeInfra , 5 , R , 0, 	(18-FEB-2025 13:20:39)
2 ,29 , PipeInfra , 6 , R , 0, 	(18-FEB-2025 13:20:39)
2 ,29 , PipeInfra , 7 , R , 0, 	(18-FEB-2025 13:20:39)
2 ,29 , PipeInfra , 8 , R , 0, 	(18-FEB-2025 13:20:39)
2 ,4 , Gail , 7 , R , 0, 	(18-FEB-2025 13:20:39)

TOTAL DATA IN EXCEL : ,38,,,,, 	(18-FEB-2025 13:20:39)
 

TOTAL DATA INSERTED : ,25,,,,, 	(18-FEB-2025 13:20:39)
 

TOTAL SKIPPED DATA ,13,,,,, 	(18-FEB-2025 13:20:39)
 
<<END>>,<<FMS_METER_MST>>,,,,, 	(18-FEB-2025 13:20:39)
 
