

<<START>>,<<FMS_COUNTERPARTY_BU_DTL>>,,,,, 	(27-FEB-2025 11:59:38)
 
COMPANY_CD,CD,ABBR,ENTITY,SEQ_NO,EFF_DT,TIMESTAMP
2 , 264 , SSAPL , S , 1 , 01/04/2013 00:00:00, 	(27-FEB-2025 11:59:38)	 (Not Inserted)
2 , 126 , SGSINDIA , S , 1 , 01/04/2007 00:00:00, 	(27-FEB-2025 11:59:38)	 (Not Inserted)
2 , 232 , JBB , V , 1 , 01/04/2007 00:00:00, 	(27-FEB-2025 11:59:38)	 (Not Inserted)
2 , 325 , BOXCO , H , 1 , 11/08/2014 00:00:00, 	(27-FEB-2025 11:59:38)	 (Not Inserted)
2 , 324 , JMB , H , 1 , 01/04/2005 00:00:00, 	(27-FEB-2025 11:59:38)	 (Not Inserted)

TOTAL DATA IN EXCEL : ,5,,,,, 	(27-FEB-2025 11:59:38)
 

TOTAL DATA INSERTED : ,0,,,,, 	(27-FEB-2025 11:59:38)
 

TOTAL SKIPPED DATA ,5,,,,, 	(27-FEB-2025 11:59:38)
 
<<END>>,<<FMS_COUNTERPARTY_BU_DTL>>,,,,, 	(27-FEB-2025 11:59:38)
 

<<START>>,<<FMS_COUNTERPARTY_BU_DTL>>,,,,, 	(27-FEB-2025 11:59:56)
 
COMPANY_CD,CD,ABBR,ENTITY,SEQ_NO,EFF_DT,TIMESTAMP
2 , 264 , SSAPL , S , 1 , 01/04/2013 00:00:00, 	(27-FEB-2025 11:59:56)
2 , 126 , SGSINDIA , S , 1 , 01/04/2007 00:00:00, 	(27-FEB-2025 11:59:56)
2 , 232 , JBB , V , 1 , 01/04/2007 00:00:00, 	(27-FEB-2025 11:59:56)
2 , 325 , BOXCO , H , 1 , 11/08/2014 00:00:00, 	(27-FEB-2025 11:59:56)
2 , 324 , JMB , H , 1 , 01/04/2005 00:00:00, 	(27-FEB-2025 11:59:56)

TOTAL DATA IN EXCEL : ,5,,,,, 	(27-FEB-2025 11:59:56)
 

TOTAL DATA INSERTED : ,5,,,,, 	(27-FEB-2025 11:59:56)
 

TOTAL SKIPPED DATA ,0,,,,, 	(27-FEB-2025 11:59:56)
 
<<END>>,<<FMS_COUNTERPARTY_BU_DTL>>,,,,, 	(27-FEB-2025 11:59:56)
 
