2,0, , ,, ,D,1,1,1,01/01/2023 00:00:00, 15/01/2023 00:00:00,2022-2023,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,2,1,1,01/01/2023 00:00:00, 15/01/2023 00:00:00,2022-2023,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,1,1,1,01/01/2023 00:00:00, 15/01/2023 00:00:00,2022-2023,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,2,1,1,01/01/2023 00:00:00, 15/01/2023 00:00:00,2022-2023,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,1,1,2,16/01/2023 00:00:00, 31/01/2023 00:00:00,2022-2023,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,2,1,2,16/01/2023 00:00:00, 31/01/2023 00:00:00,2022-2023,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,1,1,2,16/01/2023 00:00:00, 31/01/2023 00:00:00,2022-2023,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,2,1,2,16/01/2023 00:00:00, 31/01/2023 00:00:00,2022-2023,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,1,1,1,01/02/2023 00:00:00, 15/02/2023 00:00:00,2022-2023,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,2,1,1,01/02/2023 00:00:00, 15/02/2023 00:00:00,2022-2023,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,1,1,1,01/02/2023 00:00:00, 15/02/2023 00:00:00,2022-2023,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,2,1,1,01/02/2023 00:00:00, 15/02/2023 00:00:00,2022-2023,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,1,1,2,16/02/2023 00:00:00, 28/02/2023 00:00:00,2022-2023,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,2,1,2,16/02/2023 00:00:00, 28/02/2023 00:00:00,2022-2023,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
