

<<START>>,<<FMS_ENTITY_CONTACT_MST>>,,,,,, 	(17-FEB-2025 13:13:57)
 
COMPANY_CD,CD,ABBR,ENTITY,SEQ_NO,EFF_DT,ADDR_FLAG,TIMESTAMP
2 ,6 , RIL , C , 10 , 14/09/2008 00:00:00 , P4, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 10 , 14/09/2008 00:00:00 , P4, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 6 , 14/09/2008 00:00:00 , R, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 6 , 14/09/2008 00:00:00 , R, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 59 , 01/01/2020 00:00:00 , P15, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 59 , 01/01/2020 00:00:00 , P15, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 24 , 14/09/2008 00:00:00 , R, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 24 , 14/09/2008 00:00:00 , R, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 4 , 10/02/2012 00:00:00 , P2, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 4 , 14/09/2008 00:00:00 , P2, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 4 , 10/02/2012 00:00:00 , P2, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 4 , 14/09/2008 00:00:00 , P2, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 15 , 14/09/2008 00:00:00 , P4, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 15 , 14/09/2008 00:00:00 , P4, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 8 , 14/09/2008 00:00:00 , P4, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 8 , 14/09/2008 00:00:00 , P4, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 26 , 14/09/2008 00:00:00 , R, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 26 , 14/09/2008 00:00:00 , R, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 1 , 14/09/2008 00:00:00 , 18, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 1 , 14/09/2008 00:00:00 , 18, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 25 , 14/09/2008 00:00:00 , R, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 25 , 14/09/2008 00:00:00 , R, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 55 , 31/01/2018 00:00:00 , P1, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 55 , 31/01/2018 00:00:00 , P1, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 53 , 31/01/2018 00:00:00 , P8, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 53 , 31/01/2018 00:00:00 , P8, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 3 , 10/02/2012 00:00:00 , R, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 3 , 10/02/2012 00:00:00 , R, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 3 , 14/09/2008 00:00:00 , P2, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 3 , 14/09/2008 00:00:00 , P2, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 3 , 14/09/2008 00:00:00 , P3, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 3 , 14/09/2008 00:00:00 , P3, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 3 , 14/09/2008 00:00:00 , P6, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 3 , 14/09/2008 00:00:00 , P6, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 3 , 14/09/2008 00:00:00 , P4, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 3 , 14/09/2008 00:00:00 , P4, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 3 , 14/09/2008 00:00:00 , P7, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 3 , 21/01/2018 00:00:00 , P7, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 3 , 31/01/2018 00:00:00 , P7, 	(17-FEB-2025 13:13:57)
2 ,6 , RIL , C , 3 , 31/01/2018 00:00:00 , P7, 	(17-FEB-2025 13:13:57)	 (Not Inserted)
2 ,6 , RIL , C , 3 , 01/04/2011 00:00:00 , P7, 	(17-FEB-2025 13:13:57)
