

<<START>>,<<FMS_ENTITY_TURNOVER_DTL>>,,,, 	(17-FEB-2025 15:18:25)
 
COMPANY_CD,CD,ABBR,ENTITY,FINANCIAL_YEAR,TIMESTAMP
2  ,1 , RIL , C , 2020-2021, 	(17-FEB-2025 15:18:25)
2  ,2 , MGL , C , 2020-2021, 	(17-FEB-2025 15:18:25)
2  ,2 , MGL , C , 2021-2022, 	(17-FEB-2025 15:18:25)
2  ,2 , MGL , C , 2022-2023, 	(17-FEB-2025 15:18:25)
2  ,2 , MGL , C , 2023-2024, 	(17-FEB-2025 15:18:25)
2  ,3 , GSPCL , C , 2020-2021, 	(17-FEB-2025 15:18:25)
2  ,3 , GSPCL , C , 2021-2022, 	(17-FEB-2025 15:18:25)
2  ,3 , GSPCL , C , 2023-2024, 	(17-FEB-2025 15:18:25)
2  ,4 , Gail , C , 2020-2021, 	(17-FEB-2025 15:18:25)
2  ,4 , Gail , C , 2021-2022, 	(17-FEB-2025 15:18:25)
2  ,4 , Gail , C , 2022-2023, 	(17-FEB-2025 15:18:25)
2  ,4 , Gail , C , 2023-2024, 	(17-FEB-2025 15:18:25)
2  ,5 , NTPC , C , 2021-2022, 	(17-FEB-2025 15:18:25)
2  ,5 , NTPC , C , 2022-2023, 	(17-FEB-2025 15:18:25)
2  ,5 , NTPC , C , 2023-2024, 	(17-FEB-2025 15:18:25)
2  ,6 , KRIBHCO , C , 2020-2021, 	(17-FEB-2025 15:18:25)
2  ,6 , KRIBHCO , C , 2021-2022, 	(17-FEB-2025 15:18:25)
2  ,6 , KRIBHCO , C , 2022-2023, 	(17-FEB-2025 15:18:25)
2  ,7 , DFPCL , C , 2020-2021, 	(17-FEB-2025 15:18:25)
2  ,7 , DFPCL , C , 2021-2022, 	(17-FEB-2025 15:18:25)
2  ,7 , DFPCL , C , 2022-2023, 	(17-FEB-2025 15:18:25)
2  ,11 , TPL , C , 2022-2023, 	(17-FEB-2025 15:18:25)
2  ,13 , IGL , C , 2021-2022, 	(17-FEB-2025 15:18:25)
2  ,13 , IGL , C , 2022-2023, 	(17-FEB-2025 15:18:25)
2  ,13 , IGL , C , 2023-2024, 	(17-FEB-2025 15:18:25)
2  ,14 , BPCL , C , 2021-2022, 	(17-FEB-2025 15:18:25)
2  ,14 , BPCL , C , 2022-2023, 	(17-FEB-2025 15:18:25)
2  ,14 , BPCL , C , 2023-2024, 	(17-FEB-2025 15:18:25)
2  ,15 , HPCL , C , 2020-2021, 	(17-FEB-2025 15:18:25)
2  ,15 , HPCL , C , 2022-2023, 	(17-FEB-2025 15:18:25)
