

<<START>>,<<FMS_PUR_SG_INV_MST>>,,,,,,,,,,,,,,,,,, 	(03-MAY-2025 17:04:27)
 
COMPANY_CD, COUNTERPARTY_CD, AGMT_NO, AGMT_REV, CONT_NO, CONT_REV, CONTRACT_TYPE, PLANT_SEQ, BU_UNIT, FREQ, PERIOD_START_DT, PERIOD_END_DT, INVOICE_SEQ, FINANCIAL_YEAR, INV_FLAG,CONTACT_PERSON_CD,BU_CONTACT_PERSON_CD,INVOICE_NO,SALE_PRICE,TIMESTAMP
2,270, 1, 0, 725005,0, N, 1, 1,10,22/03/2007 00:00:00, 23/03/2007 00:00:00, 3, 2006-2007,PF,0,0,T0012016,8.234, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725005,0, N, 1, 1,10,22/03/2007 00:00:00, 23/03/2007 00:00:00, 3, 2006-2007,F,0,0,T0012024,8.234, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725005,0, N, 1, 1,10,22/03/2007 00:00:00, 23/03/2007 00:00:00, 3, 2006-2007,CP,0,0,T0012016,8.234, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725002,0, N, 1, 1,10,26/04/2006 00:00:00, 27/04/2006 00:00:00, 4, 2006-2007,P,0,0,T0010045,8, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725002,0, N, 1, 1,10,26/04/2006 00:00:00, 27/04/2006 00:00:00, 4, 2006-2007,PF,0,0,T0010045,8, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725002,0, N, 1, 1,10,26/04/2006 00:00:00, 27/04/2006 00:00:00, 4, 2006-2007,F,0,0,T0010567,8, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725002,0, N, 1, 1,10,26/04/2006 00:00:00, 27/04/2006 00:00:00, 4, 2006-2007,CP,0,0,T0010045,8, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725006,0, N, 1, 1,10,04/05/2007 00:00:00, 05/05/2007 00:00:00, 1, 2007-2008,P,0,0,T0012231,7.4, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725006,0, N, 1, 1,10,04/05/2007 00:00:00, 05/05/2007 00:00:00, 1, 2007-2008,PF,0,0,T0012231,7.4, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725006,0, N, 1, 1,10,04/05/2007 00:00:00, 05/05/2007 00:00:00, 1, 2007-2008,F,0,0,T0012401,7.4, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725006,0, N, 1, 1,10,04/05/2007 00:00:00, 05/05/2007 00:00:00, 1, 2007-2008,CP,0,0,T0012231,7.4, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725006,0, N, 1, 1,10,04/05/2007 00:00:00, 05/05/2007 00:00:00, 1, 2007-2008,CF,0,0,T0012401,7.4, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725010,0, N, 1, 1,10,14/10/2007 00:00:00, 15/10/2007 00:00:00, 2, 2007-2008,P,0,0,T0013340,9.5, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725010,0, N, 1, 1,10,14/10/2007 00:00:00, 15/10/2007 00:00:00, 2, 2007-2008,PF,0,0,T0013340,9.5, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725010,0, N, 1, 1,10,14/10/2007 00:00:00, 15/10/2007 00:00:00, 2, 2007-2008,F,0,0,T0013474,9.5, 	(03-MAY-2025 17:04:28)
