

<<START>>,<<FMS_BUY_DAILY_BUYER_NOM>>,,,,,, 	(31-MAY-2025 17:21:23)
 
COMNPANY_CD,CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP
2,1, 0, 0,823034, 4,D, 	(31-MAY-2025 17:21:23)
2,1, 0, 0,823034, 4,D, 	(31-MAY-2025 17:21:23)
2,1, 0, 0,823034, 4,D, 	(31-MAY-2025 17:21:23)
2,1, 0, 0,823034, 4,D, 	(31-MAY-2025 17:21:23)
2,1, 0, 0,823034, 4,D, 	(31-MAY-2025 17:21:23)
2,1, 0, 0,823034, 4,D, 	(31-MAY-2025 17:21:23)
2,1, 0, 0,823034, 4,D, 	(31-MAY-2025 17:21:23)
2,1, 0, 0,823034, 4,D, 	(31-MAY-2025 17:21:23)
2,1, 0, 0,823034, 4,D, 	(31-MAY-2025 17:21:23)
2,, , ,, ,, 	(31-MAY-2025 17:21:23)	 (Not Inserted)
2,1, 0, 0,823034, 4,D, 	(31-MAY-2025 17:21:23)
2,1, 0, 0,823034, 4,D, 	(31-MAY-2025 17:21:23)
2,1, 0, 0,823034, 4,D, 	(31-MAY-2025 17:21:23)
2,1, 0, 0,823034, 4,D, 	(31-MAY-2025 17:21:23)
2,, , ,, ,, 	(31-MAY-2025 17:21:23)	 (Not Inserted)
2,1, 0, 0,823034, 4,D, 	(31-MAY-2025 17:21:23)
2,1, 0, 0,823034, 4,D, 	(31-MAY-2025 17:21:23)
2,1, 0, 0,823034, 4,D, 	(31-MAY-2025 17:21:23)
2,1, 0, 0,823034, 4,D, 	(31-MAY-2025 17:21:23)
2,1, 0, 0,823034, 4,D, 	(31-MAY-2025 17:21:23)
2,1, 0, 0,823034, 4,D, 	(31-MAY-2025 17:21:23)
2,, , ,, ,, 	(31-MAY-2025 17:21:23)	 (Not Inserted)
2,, , ,, ,, 	(31-MAY-2025 17:21:23)	 (Not Inserted)
2,, , ,, ,, 	(31-MAY-2025 17:21:23)	 (Not Inserted)
2,, , ,, ,, 	(31-MAY-2025 17:21:23)	 (Not Inserted)
2,, , ,, ,, 	(31-MAY-2025 17:21:23)	 (Not Inserted)
2,, , ,, ,, 	(31-MAY-2025 17:21:23)	 (Not Inserted)
2,, , ,, ,, 	(31-MAY-2025 17:21:23)	 (Not Inserted)
2,, , ,, ,, 	(31-MAY-2025 17:21:23)	 (Not Inserted)
2,, , ,, ,, 	(31-MAY-2025 17:21:23)	 (Not Inserted)
2,, , ,, ,, 	(31-MAY-2025 17:21:23)	 (Not Inserted)
2,, , ,, ,, 	(31-MAY-2025 17:21:23)	 (Not Inserted)
2,, , ,, ,, 	(31-MAY-2025 17:21:23)	 (Not Inserted)
2,61, 0, 0,822030, 1,I, 	(31-MAY-2025 17:21:23)
2,61, 0, 0,822030, 1,I, 	(31-MAY-2025 17:21:23)
2,51, 0, 0,822014, 1,I, 	(31-MAY-2025 17:21:23)
2,, , ,, ,, 	(31-MAY-2025 17:21:23)	 (Not Inserted)
2,, , ,, ,, 	(31-MAY-2025 17:21:23)	 (Not Inserted)
2,51, 0, 0,822014, 1,I, 	(31-MAY-2025 17:21:23)
2,51, 0, 0,822014, 1,I, 	(31-MAY-2025 17:21:23)
2,51, 0, 0,822014, 1,I, 	(31-MAY-2025 17:21:23)
2,51, 0, 0,822014, 1,I, 	(31-MAY-2025 17:21:23)
2,51, 0, 0,822014, 1,I, 	(31-MAY-2025 17:21:23)
2,51, 0, 0,822014, 1,I, 	(31-MAY-2025 17:21:23)
2,51, 0, 0,822014, 1,I, 	(31-MAY-2025 17:21:23)
2,, , ,, ,, 	(31-MAY-2025 17:21:23)	 (Not Inserted)
2,, , ,, ,, 	(31-MAY-2025 17:21:23)	 (Not Inserted)
2,, , ,, ,, 	(31-MAY-2025 17:21:23)	 (Not Inserted)
